Identity  : 	id10631
Reference : 	IRcUsBhkvdM
Offset    : 	-1
FV Conf   : 	15.785
ASD Conf  : 	8.611

FRAME 	X 	Y 	W 	H 
001251 	269 	78 	108 	109 
001252 	269 	78 	108 	109 
001253 	269 	78 	108 	109 
001254 	269 	78 	108 	109 
001255 	269 	78 	108 	109 
001256 	269 	78 	108 	109 
001257 	269 	78 	108 	109 
001258 	269 	78 	108 	109 
001259 	269 	78 	108 	109 
001260 	269 	78 	108 	109 
001261 	284 	85 	90 	91 
001262 	269 	66 	108 	109 
001263 	269 	66 	108 	109 
001264 	269 	66 	108 	109 
001265 	269 	66 	108 	109 
001266 	269 	66 	108 	109 
001267 	269 	66 	108 	109 
001268 	269 	66 	108 	109 
001269 	269 	66 	108 	109 
001270 	269 	66 	108 	109 
001271 	284 	85 	90 	91 
001272 	269 	78 	108 	109 
001273 	284 	95 	90 	91 
001274 	284 	105 	90 	91 
001275 	281 	102 	108 	109 
001276 	284 	115 	90 	91 
001277 	284 	115 	90 	91 
001278 	284 	115 	90 	91 
001279 	284 	105 	90 	91 
001280 	284 	105 	90 	91 
001281 	284 	95 	90 	91 
001282 	284 	95 	90 	91 
001283 	284 	85 	90 	91 
001284 	284 	85 	90 	91 
001285 	284 	85 	90 	91 
001286 	269 	66 	108 	109 
001287 	269 	66 	108 	109 
001288 	281 	78 	108 	109 
001289 	269 	66 	108 	109 
001290 	281 	78 	108 	109 
001291 	281 	78 	108 	109 
001292 	281 	66 	108 	109 
001293 	281 	66 	108 	109 
001294 	281 	66 	108 	109 
001295 	281 	78 	108 	109 
001296 	281 	78 	108 	109 
001297 	281 	78 	108 	109 
001298 	281 	78 	108 	109 
001299 	281 	78 	108 	109 
001300 	281 	90 	108 	109 
001301 	281 	90 	108 	109 
001302 	294 	95 	90 	91 
001303 	304 	95 	90 	91 
001304 	294 	95 	90 	91 
001305 	294 	95 	90 	91 
001306 	281 	90 	108 	109 
001307 	281 	78 	108 	109 
001308 	269 	78 	108 	109 
001309 	274 	85 	90 	91 
001310 	257 	78 	109 	109 
001311 	257 	78 	109 	109 
001312 	257 	78 	109 	109 
001313 	257 	78 	109 	109 
001314 	257 	90 	109 	109 
001315 	269 	90 	108 	109 
001316 	269 	90 	108 	109 
001317 	281 	90 	108 	109 
001318 	281 	90 	108 	109 
001319 	293 	90 	108 	109 
001320 	314 	105 	90 	91 
001321 	314 	105 	90 	91 
001322 	323 	105 	91 	91 
001323 	317 	90 	108 	109 
001324 	317 	90 	108 	109 
001325 	317 	90 	108 	109 
001326 	305 	90 	108 	109 
001327 	305 	90 	108 	109 
001328 	293 	90 	108 	109 
001329 	294 	95 	90 	91 
001330 	281 	90 	108 	109 
001331 	269 	78 	108 	109 
001332 	269 	78 	108 	109 
001333 	257 	78 	109 	109 
001334 	257 	78 	109 	109 
001335 	257 	78 	109 	109 
001336 	269 	90 	108 	109 
001337 	281 	90 	108 	109 
001338 	293 	90 	108 	109 
001339 	304 	95 	90 	91 
001340 	305 	78 	108 	109 
001341 	317 	90 	108 	109 
001342 	329 	90 	108 	109 
001343 	341 	90 	108 	109 
001344 	341 	90 	108 	109 
001345 	341 	90 	108 	109 
001346 	341 	90 	108 	109 
001347 	329 	90 	108 	109 
001348 	329 	90 	108 	109 
001349 	329 	90 	108 	109 
001350 	317 	90 	108 	109 
001351 	305 	90 	108 	109 
001352 	305 	90 	108 	109 
001353 	293 	78 	108 	109 
001354 	281 	78 	108 	109 
