Identity  : 	id10631
Reference : 	PWBjwcknq4w
Offset    : 	-3
FV Conf   : 	17.554
ASD Conf  : 	7.496

FRAME 	X 	Y 	W 	H 
004682 	280 	123 	130 	130 
004683 	267 	113 	156 	156 
004684 	280 	123 	130 	130 
004685 	267 	113 	156 	156 
004686 	267 	113 	156 	156 
004687 	267 	113 	156 	156 
004688 	267 	113 	156 	156 
004689 	267 	113 	156 	156 
004690 	267 	113 	156 	156 
004691 	267 	113 	156 	156 
004692 	267 	113 	156 	156 
004693 	267 	113 	156 	156 
004694 	267 	113 	156 	156 
004695 	267 	113 	156 	156 
004696 	267 	113 	156 	156 
004697 	267 	113 	156 	156 
004698 	267 	113 	156 	156 
004699 	267 	96 	156 	156 
004700 	267 	96 	156 	156 
004701 	294 	123 	130 	130 
004702 	294 	109 	130 	130 
004703 	294 	109 	130 	130 
004704 	294 	109 	130 	130 
004705 	285 	96 	155 	156 
004706 	285 	96 	155 	156 
004707 	285 	96 	155 	156 
004708 	285 	96 	155 	156 
004709 	285 	96 	155 	156 
004710 	285 	96 	155 	156 
004711 	285 	96 	155 	156 
004712 	285 	96 	155 	156 
004713 	285 	96 	155 	156 
004714 	285 	96 	155 	156 
004715 	285 	96 	155 	156 
004716 	285 	96 	155 	156 
004717 	285 	96 	155 	156 
004718 	285 	96 	155 	156 
004719 	285 	96 	155 	156 
004720 	285 	96 	155 	156 
004721 	285 	96 	155 	156 
004722 	285 	96 	155 	156 
004723 	285 	96 	155 	156 
004724 	285 	96 	155 	156 
004725 	285 	96 	155 	156 
004726 	285 	96 	155 	156 
004727 	285 	96 	155 	156 
004728 	285 	96 	155 	156 
004729 	285 	96 	155 	156 
004730 	285 	96 	155 	156 
004731 	285 	96 	155 	156 
004732 	294 	109 	130 	130 
004733 	294 	109 	130 	130 
004734 	285 	96 	155 	156 
004735 	285 	96 	155 	156 
004736 	294 	109 	130 	130 
004737 	294 	109 	130 	130 
004738 	294 	109 	130 	130 
004739 	267 	79 	156 	156 
004740 	294 	109 	130 	130 
004741 	294 	94 	130 	130 
004742 	294 	94 	130 	130 
004743 	294 	94 	130 	130 
004744 	294 	94 	130 	130 
004745 	294 	94 	130 	130 
004746 	285 	79 	155 	156 
004747 	285 	79 	155 	156 
004748 	285 	79 	155 	156 
004749 	285 	62 	155 	155 
004750 	285 	62 	155 	155 
004751 	285 	62 	155 	155 
004752 	285 	62 	155 	155 
004753 	285 	62 	155 	155 
004754 	285 	62 	155 	155 
004755 	285 	62 	155 	155 
004756 	294 	80 	130 	130 
004757 	294 	80 	130 	130 
004758 	294 	80 	130 	130 
004759 	267 	62 	156 	155 
004760 	267 	62 	156 	155 
004761 	267 	62 	156 	155 
004762 	267 	62 	156 	155 
004763 	280 	94 	130 	130 
004764 	280 	94 	130 	130 
004765 	280 	109 	130 	130 
004766 	280 	109 	130 	130 
004767 	280 	109 	130 	130 
004768 	280 	109 	130 	130 
004769 	280 	109 	130 	130 
004770 	280 	109 	130 	130 
004771 	294 	109 	130 	130 
004772 	294 	109 	130 	130 
004773 	294 	109 	130 	130 
004774 	294 	109 	130 	130 
004775 	294 	109 	130 	130 
004776 	294 	109 	130 	130 
004777 	294 	109 	130 	130 
004778 	294 	109 	130 	130 
004779 	294 	109 	130 	130 
004780 	294 	109 	130 	130 
004781 	294 	109 	130 	130 
004782 	294 	109 	130 	130 
004783 	294 	109 	130 	130 
004784 	294 	109 	130 	130 
004785 	294 	109 	130 	130 
004786 	294 	109 	130 	130 
004787 	294 	109 	130 	130 
004788 	294 	94 	130 	130 
004789 	294 	94 	130 	130 
004790 	294 	94 	130 	130 
004791 	294 	94 	130 	130 
004792 	294 	94 	130 	130 
004793 	294 	94 	130 	130 
004794 	294 	94 	130 	130 
004795 	294 	94 	130 	130 
004796 	294 	94 	130 	130 
004797 	294 	94 	130 	130 
004798 	285 	79 	155 	156 
004799 	285 	79 	155 	156 
004800 	294 	94 	130 	130 
004801 	285 	79 	155 	156 
004802 	309 	94 	130 	130 
004803 	309 	94 	130 	130 
004804 	309 	94 	130 	130 
004805 	309 	94 	130 	130 
004806 	309 	94 	130 	130 
004807 	309 	94 	130 	130 
004808 	309 	94 	130 	130 
004809 	285 	79 	155 	156 
004810 	285 	79 	155 	156 
004811 	294 	94 	130 	130 
004812 	294 	94 	130 	130 
004813 	294 	94 	130 	130 
004814 	294 	109 	130 	130 
004815 	294 	109 	130 	130 
004816 	294 	109 	130 	130 
004817 	285 	96 	155 	156 
004818 	285 	96 	155 	156 
004819 	309 	109 	130 	130 
004820 	309 	109 	130 	130 
004821 	309 	109 	130 	130 
004822 	302 	96 	156 	156 
004823 	302 	96 	156 	156 
004824 	302 	96 	156 	156 
004825 	309 	109 	130 	130 
004826 	309 	109 	130 	130 
004827 	309 	109 	130 	130 
004828 	309 	109 	130 	130 
004829 	309 	109 	130 	130 
004830 	309 	109 	130 	130 
004831 	309 	109 	130 	130 
004832 	309 	109 	130 	130 
004833 	309 	109 	130 	130 
004834 	309 	109 	130 	130 
004835 	309 	109 	130 	130 
004836 	309 	109 	130 	130 
004837 	309 	109 	130 	130 
004838 	309 	109 	130 	130 
004839 	309 	109 	130 	130 
004840 	309 	109 	130 	130 
004841 	309 	109 	130 	130 
004842 	309 	109 	130 	130 
004843 	309 	109 	130 	130 
004844 	309 	109 	130 	130 
004845 	309 	109 	130 	130 
004846 	309 	109 	130 	130 
004847 	309 	109 	130 	130 
004848 	285 	96 	155 	156 
004849 	285 	96 	155 	156 
004850 	309 	109 	130 	130 
004851 	309 	109 	130 	130 
004852 	309 	94 	130 	130 
004853 	309 	109 	130 	130 
004854 	309 	109 	130 	130 
004855 	309 	109 	130 	130 
004856 	309 	109 	130 	130 
004857 	309 	109 	130 	130 
004858 	309 	109 	130 	130 
