Identity  : 	id10631
Reference : 	RMrDqbsyPPY
Offset    : 	-2
FV Conf   : 	17.315
ASD Conf  : 	6.638

FRAME 	X 	Y 	W 	H 
001375 	223 	80 	130 	130 
001376 	233 	78 	109 	109 
001377 	221 	78 	109 	109 
001378 	208 	80 	130 	130 
001379 	209 	78 	109 	109 
001380 	209 	78 	109 	109 
001381 	197 	78 	109 	109 
001382 	197 	78 	109 	109 
001383 	180 	80 	130 	130 
001384 	180 	80 	130 	130 
001385 	180 	80 	130 	130 
001386 	180 	94 	130 	130 
001387 	180 	94 	130 	130 
001388 	180 	94 	130 	130 
001389 	197 	102 	109 	109 
001390 	197 	102 	109 	109 
001391 	197 	102 	109 	109 
001392 	194 	94 	130 	130 
001393 	209 	102 	109 	109 
001394 	209 	102 	109 	109 
001395 	194 	80 	130 	130 
001396 	221 	102 	109 	109 
001397 	221 	90 	109 	109 
001398 	233 	90 	109 	109 
001399 	245 	90 	109 	109 
001400 	257 	90 	109 	109 
001401 	257 	90 	109 	109 
001402 	251 	80 	130 	130 
001403 	266 	80 	130 	130 
001404 	266 	80 	130 	130 
001405 	281 	90 	108 	109 
001406 	281 	90 	108 	109 
001407 	281 	90 	108 	109 
001408 	280 	80 	130 	130 
001409 	293 	90 	108 	109 
001410 	293 	90 	108 	109 
001411 	293 	90 	108 	109 
001412 	293 	102 	108 	109 
001413 	293 	102 	108 	109 
001414 	293 	102 	108 	109 
001415 	293 	102 	108 	109 
001416 	293 	102 	108 	109 
001417 	293 	102 	108 	109 
001418 	280 	94 	130 	130 
001419 	281 	114 	108 	109 
001420 	281 	114 	108 	109 
001421 	269 	114 	108 	109 
001422 	269 	114 	108 	109 
001423 	269 	114 	108 	109 
001424 	257 	114 	109 	109 
001425 	237 	109 	130 	130 
001426 	237 	109 	130 	130 
001427 	245 	114 	109 	109 
001428 	245 	114 	109 	109 
001429 	223 	94 	130 	130 
001430 	223 	94 	130 	130 
001431 	223 	94 	130 	130 
001432 	223 	94 	130 	130 
001433 	223 	94 	130 	130 
001434 	233 	102 	109 	109 
001435 	221 	102 	109 	109 
001436 	221 	102 	109 	109 
001437 	208 	94 	130 	130 
001438 	208 	94 	130 	130 
001439 	208 	94 	130 	130 
001440 	208 	94 	130 	130 
001441 	221 	90 	109 	109 
001442 	208 	80 	130 	130 
001443 	208 	80 	130 	130 
001444 	208 	94 	130 	130 
001445 	208 	94 	130 	130 
001446 	221 	90 	109 	109 
001447 	221 	90 	109 	109 
001448 	221 	90 	109 	109 
001449 	221 	90 	109 	109 
001450 	223 	80 	130 	130 
001451 	233 	90 	109 	109 
001452 	233 	90 	109 	109 
001453 	233 	90 	109 	109 
001454 	257 	90 	109 	109 
001455 	257 	90 	109 	109 
001456 	257 	90 	109 	109 
001457 	251 	94 	130 	130 
001458 	251 	94 	130 	130 
001459 	257 	102 	109 	109 
001460 	251 	94 	130 	130 
001461 	251 	94 	130 	130 
001462 	251 	94 	130 	130 
001463 	257 	102 	109 	109 
001464 	245 	90 	109 	109 
001465 	245 	90 	109 	109 
001466 	233 	90 	109 	109 
001467 	233 	90 	109 	109 
001468 	223 	80 	130 	130 
001469 	233 	78 	109 	109 
001470 	233 	78 	109 	109 
001471 	245 	78 	109 	109 
001472 	245 	78 	109 	109 
001473 	237 	80 	130 	130 
001474 	245 	78 	109 	109 
001475 	245 	78 	109 	109 
001476 	245 	78 	109 	109 
001477 	245 	78 	109 	109 
001478 	245 	78 	109 	109 
001479 	237 	80 	130 	130 
001480 	257 	90 	109 	109 
001481 	257 	90 	109 	109 
001482 	257 	90 	109 	109 
001483 	237 	80 	130 	130 
001484 	237 	80 	130 	130 
001485 	245 	90 	109 	109 
001486 	237 	80 	130 	130 
001487 	237 	80 	130 	130 
001488 	237 	80 	130 	130 
001489 	245 	90 	109 	109 
001490 	245 	90 	109 	109 
001491 	245 	90 	109 	109 
001492 	237 	80 	130 	130 
001493 	237 	80 	130 	130 
001494 	237 	80 	130 	130 
001495 	237 	80 	130 	130 
001496 	237 	80 	130 	130 
001497 	237 	80 	130 	130 
001498 	245 	78 	109 	109 
001499 	237 	80 	130 	130 
001500 	237 	80 	130 	130 
001501 	237 	80 	130 	130 
001502 	237 	80 	130 	130 
001503 	237 	80 	130 	130 
001504 	237 	80 	130 	130 
001505 	237 	80 	130 	130 
001506 	237 	80 	130 	130 
001507 	237 	80 	130 	130 
001508 	237 	80 	130 	130 
001509 	237 	80 	130 	130 
001510 	237 	80 	130 	130 
001511 	237 	80 	130 	130 
001512 	245 	90 	109 	109 
001513 	237 	80 	130 	130 
001514 	237 	80 	130 	130 
001515 	245 	90 	109 	109 
001516 	245 	90 	109 	109 
001517 	237 	80 	130 	130 
001518 	237 	80 	130 	130 
001519 	237 	80 	130 	130 
001520 	237 	80 	130 	130 
001521 	223 	80 	130 	130 
001522 	223 	80 	130 	130 
001523 	223 	80 	130 	130 
001524 	223 	80 	130 	130 
001525 	223 	80 	130 	130 
001526 	223 	80 	130 	130 
001527 	223 	80 	130 	130 
001528 	223 	80 	130 	130 
001529 	223 	80 	130 	130 
001530 	233 	90 	109 	109 
001531 	233 	90 	109 	109 
001532 	233 	90 	109 	109 
