Identity  : 	id10631
Reference : 	XIY3gei3WEc
Offset    : 	-1
FV Conf   : 	14.056
ASD Conf  : 	8.544

FRAME 	X 	Y 	W 	H 
003480 	284 	55 	90 	91 
003481 	294 	62 	76 	76 
003482 	294 	62 	76 	76 
003483 	294 	62 	76 	76 
003484 	294 	62 	76 	76 
003485 	294 	71 	76 	75 
003486 	294 	71 	76 	75 
003487 	294 	71 	76 	75 
003488 	294 	71 	76 	75 
003489 	286 	71 	76 	75 
003490 	286 	71 	76 	75 
003491 	286 	71 	76 	75 
003492 	286 	71 	76 	75 
003493 	278 	71 	75 	75 
003494 	278 	71 	75 	75 
003495 	269 	62 	76 	76 
003496 	261 	62 	76 	76 
003497 	261 	62 	76 	76 
003498 	253 	62 	75 	76 
003499 	253 	62 	75 	76 
003500 	234 	45 	90 	91 
003501 	234 	45 	90 	91 
003502 	236 	54 	76 	76 
003503 	236 	62 	76 	76 
003504 	224 	55 	91 	91 
003505 	224 	55 	91 	91 
003506 	214 	55 	91 	91 
003507 	220 	71 	75 	75 
003508 	220 	79 	75 	76 
003509 	220 	79 	75 	76 
003510 	220 	79 	75 	76 
003511 	211 	87 	76 	76 
003512 	211 	87 	76 	76 
003513 	211 	79 	76 	76 
003514 	211 	79 	76 	76 
003515 	211 	79 	76 	76 
003516 	211 	71 	76 	75 
003517 	220 	71 	75 	75 
003518 	220 	62 	75 	76 
003519 	228 	62 	76 	76 
003520 	228 	62 	76 	76 
003521 	234 	55 	90 	91 
003522 	244 	54 	76 	76 
003523 	253 	54 	75 	76 
003524 	253 	54 	75 	76 
003525 	253 	54 	75 	76 
003526 	261 	54 	76 	76 
003527 	261 	62 	76 	76 
003528 	261 	62 	76 	76 
003529 	261 	62 	76 	76 
003530 	261 	62 	76 	76 
003531 	269 	71 	76 	75 
003532 	269 	71 	76 	75 
003533 	269 	79 	76 	76 
003534 	269 	79 	76 	76 
003535 	269 	79 	76 	76 
003536 	261 	79 	76 	76 
003537 	261 	79 	76 	76 
003538 	261 	79 	76 	76 
003539 	261 	79 	76 	76 
003540 	261 	87 	76 	76 
003541 	261 	79 	76 	76 
003542 	261 	79 	76 	76 
003543 	253 	79 	75 	76 
003544 	253 	79 	75 	76 
