Identity  : 	id10631
Reference : 	zWig265SViA
Offset    : 	-2
FV Conf   : 	16.817
ASD Conf  : 	8.391

FRAME 	X 	Y 	W 	H 
003828 	269 	54 	108 	109 
003829 	269 	54 	108 	109 
003830 	269 	66 	108 	109 
003831 	251 	51 	130 	130 
003832 	257 	66 	109 	109 
003833 	245 	78 	109 	109 
003834 	245 	78 	109 	109 
003835 	245 	78 	109 	109 
003836 	245 	78 	109 	109 
003837 	233 	78 	109 	109 
003838 	233 	78 	109 	109 
003839 	233 	78 	109 	109 
003840 	233 	78 	109 	109 
003841 	233 	78 	109 	109 
003842 	233 	78 	109 	109 
003843 	221 	78 	109 	109 
003844 	221 	78 	109 	109 
003845 	221 	78 	109 	109 
003846 	221 	66 	109 	109 
003847 	209 	78 	109 	109 
003848 	209 	78 	109 	109 
003849 	209 	78 	109 	109 
003850 	209 	78 	109 	109 
003851 	209 	90 	109 	109 
003852 	209 	90 	109 	109 
003853 	214 	95 	91 	91 
003854 	214 	95 	91 	91 
003855 	197 	90 	109 	109 
003856 	197 	90 	109 	109 
003857 	197 	102 	109 	109 
003858 	197 	102 	109 	109 
003859 	197 	114 	109 	109 
003860 	197 	114 	109 	109 
003861 	197 	114 	109 	109 
003862 	209 	114 	109 	109 
003863 	209 	114 	109 	109 
003864 	209 	114 	109 	109 
003865 	209 	114 	109 	109 
003866 	221 	114 	109 	109 
003867 	221 	114 	109 	109 
003868 	234 	115 	90 	91 
003869 	233 	102 	109 	109 
003870 	233 	102 	109 	109 
003871 	233 	102 	109 	109 
003872 	233 	102 	109 	109 
003873 	221 	102 	109 	109 
003874 	221 	102 	109 	109 
003875 	221 	102 	109 	109 
003876 	209 	102 	109 	109 
003877 	209 	102 	109 	109 
003878 	224 	105 	91 	91 
003879 	224 	105 	91 	91 
003880 	221 	90 	109 	109 
003881 	221 	90 	109 	109 
003882 	224 	95 	91 	91 
003883 	209 	78 	109 	109 
003884 	209 	78 	109 	109 
003885 	224 	85 	91 	91 
003886 	209 	78 	109 	109 
003887 	209 	66 	109 	109 
003888 	209 	66 	109 	109 
003889 	209 	66 	109 	109 
003890 	209 	66 	109 	109 
003891 	209 	66 	109 	109 
003892 	209 	54 	109 	109 
003893 	209 	54 	109 	109 
003894 	209 	54 	109 	109 
003895 	209 	54 	109 	109 
003896 	209 	54 	109 	109 
003897 	209 	54 	109 	109 
003898 	209 	54 	109 	109 
003899 	209 	54 	109 	109 
003900 	209 	54 	109 	109 
003901 	209 	54 	109 	109 
003902 	209 	54 	109 	109 
003903 	209 	54 	109 	109 
003904 	209 	54 	109 	109 
003905 	209 	54 	109 	109 
003906 	209 	54 	109 	109 
003907 	209 	54 	109 	109 
003908 	209 	54 	109 	109 
003909 	209 	54 	109 	109 
003910 	209 	54 	109 	109 
003911 	209 	66 	109 	109 
003912 	224 	65 	91 	91 
003913 	224 	65 	91 	91 
003914 	221 	66 	109 	109 
003915 	221 	66 	109 	109 
003916 	221 	66 	109 	109 
003917 	221 	66 	109 	109 
003918 	234 	75 	90 	91 
003919 	234 	75 	90 	91 
003920 	234 	75 	90 	91 
003921 	234 	75 	90 	91 
003922 	221 	78 	109 	109 
003923 	221 	78 	109 	109 
003924 	221 	78 	109 	109 
003925 	221 	78 	109 	109 
003926 	221 	78 	109 	109 
003927 	221 	78 	109 	109 
003928 	221 	78 	109 	109 
003929 	233 	78 	109 	109 
003930 	233 	78 	109 	109 
003931 	233 	78 	109 	109 
003932 	233 	78 	109 	109 
003933 	233 	78 	109 	109 
003934 	233 	78 	109 	109 
003935 	245 	78 	109 	109 
003936 	245 	78 	109 	109 
003937 	245 	78 	109 	109 
003938 	245 	78 	109 	109 
003939 	245 	78 	109 	109 
003940 	245 	78 	109 	109 
003941 	245 	78 	109 	109 
003942 	245 	78 	109 	109 
003943 	245 	78 	109 	109 
003944 	237 	66 	130 	130 
003945 	257 	78 	109 	109 
003946 	257 	78 	109 	109 
003947 	257 	78 	109 	109 
003948 	257 	78 	109 	109 
003949 	257 	78 	109 	109 
003950 	257 	78 	109 	109 
003951 	257 	78 	109 	109 
003952 	257 	78 	109 	109 
003953 	257 	78 	109 	109 
003954 	257 	78 	109 	109 
003955 	257 	78 	109 	109 
003956 	257 	78 	109 	109 
003957 	257 	78 	109 	109 
003958 	257 	78 	109 	109 
003959 	257 	78 	109 	109 
003960 	257 	66 	109 	109 
003961 	257 	66 	109 	109 
003962 	257 	66 	109 	109 
003963 	257 	66 	109 	109 
003964 	257 	66 	109 	109 
003965 	257 	66 	109 	109 
003966 	274 	75 	90 	91 
003967 	257 	66 	109 	109 
003968 	264 	75 	90 	91 
003969 	245 	78 	109 	109 
003970 	245 	78 	109 	109 
003971 	245 	78 	109 	109 
003972 	264 	85 	90 	91 
003973 	264 	75 	90 	91 
003974 	257 	66 	109 	109 
003975 	274 	75 	90 	91 
003976 	274 	75 	90 	91 
003977 	269 	66 	108 	109 
003978 	269 	66 	108 	109 
003979 	269 	66 	108 	109 
003980 	269 	66 	108 	109 
