Identity  : 	id10634
Reference : 	BBA1XZlnmkA
Offset    : 	-1
FV Conf   : 	28.827
ASD Conf  : 	7.427

FRAME 	X 	Y 	W 	H 
000432 	251 	80 	130 	130 
000433 	251 	80 	130 	130 
000434 	251 	80 	130 	130 
000435 	251 	80 	130 	130 
000436 	251 	80 	130 	130 
000437 	251 	80 	130 	130 
000438 	251 	80 	130 	130 
000439 	251 	80 	130 	130 
000440 	251 	80 	130 	130 
000441 	251 	80 	130 	130 
000442 	251 	80 	130 	130 
000443 	251 	80 	130 	130 
000444 	251 	80 	130 	130 
000445 	251 	80 	130 	130 
000446 	251 	80 	130 	130 
000447 	251 	80 	130 	130 
000448 	251 	80 	130 	130 
000449 	251 	80 	130 	130 
000450 	251 	80 	130 	130 
000451 	251 	80 	130 	130 
000452 	233 	62 	156 	155 
000453 	233 	62 	156 	155 
000454 	233 	62 	156 	155 
000455 	233 	62 	156 	155 
000456 	233 	62 	156 	155 
000457 	233 	62 	156 	155 
000458 	251 	94 	130 	130 
000459 	233 	79 	156 	156 
000460 	233 	79 	156 	156 
000461 	233 	79 	156 	156 
000462 	233 	79 	156 	156 
000463 	233 	79 	156 	156 
000464 	233 	79 	156 	156 
000465 	233 	79 	156 	156 
000466 	233 	79 	156 	156 
000467 	233 	79 	156 	156 
000468 	233 	79 	156 	156 
000469 	233 	79 	156 	156 
000470 	233 	79 	156 	156 
000471 	233 	79 	156 	156 
000472 	233 	79 	156 	156 
000473 	233 	79 	156 	156 
000474 	233 	79 	156 	156 
000475 	233 	79 	156 	156 
000476 	233 	79 	156 	156 
000477 	233 	79 	156 	156 
000478 	233 	79 	156 	156 
000479 	233 	79 	156 	156 
000480 	233 	79 	156 	156 
000481 	233 	79 	156 	156 
000482 	233 	79 	156 	156 
000483 	233 	79 	156 	156 
000484 	237 	94 	130 	130 
000485 	237 	94 	130 	130 
000486 	237 	94 	130 	130 
000487 	237 	94 	130 	130 
000488 	233 	79 	156 	156 
000489 	233 	79 	156 	156 
000490 	233 	79 	156 	156 
000491 	233 	79 	156 	156 
000492 	237 	94 	130 	130 
000493 	237 	94 	130 	130 
000494 	237 	94 	130 	130 
000495 	237 	94 	130 	130 
000496 	237 	94 	130 	130 
000497 	237 	94 	130 	130 
000498 	237 	94 	130 	130 
000499 	237 	94 	130 	130 
000500 	237 	94 	130 	130 
000501 	237 	94 	130 	130 
000502 	237 	94 	130 	130 
000503 	237 	94 	130 	130 
000504 	237 	94 	130 	130 
