Identity  : 	id10634
Reference : 	WW-shEWwol8
Offset    : 	-5
FV Conf   : 	18.089
ASD Conf  : 	7.862

FRAME 	X 	Y 	W 	H 
000847 	173 	66 	109 	109 
000848 	173 	66 	109 	109 
000849 	184 	65 	91 	91 
000850 	194 	65 	91 	91 
000851 	194 	65 	91 	91 
000852 	185 	66 	109 	109 
000853 	185 	66 	109 	109 
000854 	185 	66 	109 	109 
000855 	185 	66 	109 	109 
000856 	185 	66 	109 	109 
000857 	185 	66 	109 	109 
000858 	185 	66 	109 	109 
000859 	185 	66 	109 	109 
000860 	185 	66 	109 	109 
000861 	185 	66 	109 	109 
000862 	185 	66 	109 	109 
000863 	185 	66 	109 	109 
000864 	185 	66 	109 	109 
000865 	185 	66 	109 	109 
000866 	185 	66 	109 	109 
000867 	185 	66 	109 	109 
000868 	185 	66 	109 	109 
000869 	185 	66 	109 	109 
000870 	165 	66 	130 	130 
000871 	165 	66 	130 	130 
000872 	165 	66 	130 	130 
000873 	165 	66 	130 	130 
000874 	173 	66 	109 	109 
000875 	165 	66 	130 	130 
000876 	165 	66 	130 	130 
000877 	165 	66 	130 	130 
000878 	165 	66 	130 	130 
000879 	165 	66 	130 	130 
000880 	185 	78 	109 	109 
000881 	185 	78 	109 	109 
000882 	185 	78 	109 	109 
000883 	185 	78 	109 	109 
000884 	185 	78 	109 	109 
000885 	185 	78 	109 	109 
000886 	194 	75 	91 	91 
000887 	185 	66 	109 	109 
000888 	185 	66 	109 	109 
000889 	185 	66 	109 	109 
000890 	185 	66 	109 	109 
000891 	194 	75 	91 	91 
000892 	185 	78 	109 	109 
000893 	185 	78 	109 	109 
000894 	185 	78 	109 	109 
000895 	173 	78 	109 	109 
000896 	173 	78 	109 	109 
000897 	173 	78 	109 	109 
000898 	173 	78 	109 	109 
000899 	173 	78 	109 	109 
000900 	173 	78 	109 	109 
000901 	173 	78 	109 	109 
000902 	173 	78 	109 	109 
000903 	173 	78 	109 	109 
000904 	173 	78 	109 	109 
000905 	173 	78 	109 	109 
000906 	173 	78 	109 	109 
000907 	185 	78 	109 	109 
000908 	185 	78 	109 	109 
000909 	185 	78 	109 	109 
000910 	185 	78 	109 	109 
000911 	185 	78 	109 	109 
000912 	185 	78 	109 	109 
000913 	185 	78 	109 	109 
000914 	185 	78 	109 	109 
000915 	185 	78 	109 	109 
000916 	185 	78 	109 	109 
000917 	185 	78 	109 	109 
000918 	185 	66 	109 	109 
000919 	185 	66 	109 	109 
000920 	185 	66 	109 	109 
000921 	185 	66 	109 	109 
000922 	185 	66 	109 	109 
000923 	185 	66 	109 	109 
000924 	185 	66 	109 	109 
000925 	185 	66 	109 	109 
000926 	185 	66 	109 	109 
000927 	185 	66 	109 	109 
000928 	185 	78 	109 	109 
000929 	185 	78 	109 	109 
000930 	185 	78 	109 	109 
000931 	197 	78 	109 	109 
000932 	197 	78 	109 	109 
000933 	197 	78 	109 	109 
000934 	197 	78 	109 	109 
000935 	197 	90 	109 	109 
000936 	197 	90 	109 	109 
000937 	197 	90 	109 	109 
000938 	197 	90 	109 	109 
000939 	197 	90 	109 	109 
000940 	197 	90 	109 	109 
000941 	204 	95 	91 	91 
000942 	204 	95 	91 	91 
000943 	185 	90 	109 	109 
000944 	185 	90 	109 	109 
000945 	185 	90 	109 	109 
000946 	185 	90 	109 	109 
000947 	185 	78 	109 	109 
000948 	185 	78 	109 	109 
000949 	185 	78 	109 	109 
000950 	185 	78 	109 	109 
000951 	185 	78 	109 	109 
000952 	185 	78 	109 	109 
000953 	185 	78 	109 	109 
000954 	173 	78 	109 	109 
000955 	173 	90 	109 	109 
000956 	173 	90 	109 	109 
000957 	173 	90 	109 	109 
000958 	173 	90 	109 	109 
000959 	173 	90 	109 	109 
000960 	173 	90 	109 	109 
000961 	173 	90 	109 	109 
000962 	173 	90 	109 	109 
