Identity  : 	id10634
Reference : 	rr9kedqWlFI
Offset    : 	2
FV Conf   : 	30.858
ASD Conf  : 	6.550

FRAME 	X 	Y 	W 	H 
002440 	445 	93 	64 	64 
002441 	445 	93 	64 	64 
002442 	445 	93 	64 	64 
002443 	445 	93 	64 	64 
002444 	435 	87 	76 	76 
002445 	439 	93 	63 	64 
002446 	439 	93 	63 	64 
002447 	439 	93 	63 	64 
002448 	439 	93 	63 	64 
002449 	439 	93 	63 	64 
002450 	439 	93 	63 	64 
002451 	435 	87 	76 	76 
002452 	445 	93 	64 	64 
002453 	445 	93 	64 	64 
002454 	445 	93 	64 	64 
002455 	445 	93 	64 	64 
002456 	445 	93 	64 	64 
002457 	445 	93 	64 	64 
002458 	435 	87 	76 	76 
002459 	439 	93 	63 	64 
002460 	439 	93 	63 	64 
002461 	439 	93 	63 	64 
002462 	439 	93 	63 	64 
002463 	439 	93 	63 	64 
002464 	439 	93 	63 	64 
002465 	439 	93 	63 	64 
002466 	435 	87 	76 	76 
002467 	445 	93 	64 	64 
002468 	445 	93 	64 	64 
002469 	445 	93 	64 	64 
002470 	445 	93 	64 	64 
002471 	445 	93 	64 	64 
002472 	445 	93 	64 	64 
002473 	445 	93 	64 	64 
002474 	435 	87 	76 	76 
002475 	435 	96 	76 	75 
002476 	435 	96 	76 	75 
002477 	445 	93 	64 	64 
002478 	445 	93 	64 	64 
002479 	445 	93 	64 	64 
002480 	452 	93 	64 	64 
002481 	444 	87 	75 	76 
002482 	452 	93 	64 	64 
002483 	452 	93 	64 	64 
002484 	452 	93 	64 	64 
002485 	444 	87 	75 	76 
002486 	444 	87 	75 	76 
002487 	445 	93 	64 	64 
002488 	445 	93 	64 	64 
002489 	445 	93 	64 	64 
002490 	445 	93 	64 	64 
002491 	445 	93 	64 	64 
002492 	444 	87 	75 	76 
002493 	452 	93 	64 	64 
002494 	444 	87 	75 	76 
002495 	444 	87 	75 	76 
002496 	452 	95 	52 	53 
002497 	452 	95 	52 	53 
002498 	445 	93 	64 	64 
002499 	445 	93 	64 	64 
002500 	435 	87 	76 	76 
002501 	435 	87 	76 	76 
002502 	435 	87 	76 	76 
002503 	435 	96 	76 	75 
002504 	439 	93 	63 	64 
002505 	435 	96 	76 	75 
002506 	435 	96 	76 	75 
002507 	445 	100 	64 	64 
002508 	445 	100 	64 	64 
002509 	435 	87 	76 	76 
002510 	435 	87 	76 	76 
002511 	435 	87 	76 	76 
002512 	435 	87 	76 	76 
002513 	435 	87 	76 	76 
002514 	435 	87 	76 	76 
002515 	435 	79 	76 	76 
002516 	435 	79 	76 	76 
002517 	435 	79 	76 	76 
002518 	435 	79 	76 	76 
002519 	435 	79 	76 	76 
002520 	445 	87 	64 	63 
002521 	435 	87 	76 	76 
002522 	435 	87 	76 	76 
002523 	435 	87 	76 	76 
002524 	435 	87 	76 	76 
002525 	435 	87 	76 	76 
002526 	435 	87 	76 	76 
002527 	435 	87 	76 	76 
002528 	435 	87 	76 	76 
002529 	435 	87 	76 	76 
002530 	435 	87 	76 	76 
002531 	435 	87 	76 	76 
002532 	435 	87 	76 	76 
002533 	435 	87 	76 	76 
002534 	439 	87 	63 	63 
002535 	435 	87 	76 	76 
002536 	435 	87 	76 	76 
002537 	435 	87 	76 	76 
002538 	435 	87 	76 	76 
002539 	435 	87 	76 	76 
002540 	435 	87 	76 	76 
002541 	435 	87 	76 	76 
002542 	435 	87 	76 	76 
002543 	435 	87 	76 	76 
002544 	435 	87 	76 	76 
002545 	439 	93 	63 	64 
002546 	439 	93 	63 	64 
002547 	439 	93 	63 	64 
002548 	435 	87 	76 	76 
002549 	435 	87 	76 	76 
002550 	435 	87 	76 	76 
002551 	439 	93 	63 	64 
002552 	427 	87 	76 	76 
002553 	427 	87 	76 	76 
002554 	427 	87 	76 	76 
002555 	427 	87 	76 	76 
002556 	427 	87 	76 	76 
002557 	427 	87 	76 	76 
