Identity  : 	id10639
Reference : 	B__7lgSG-Y0
Offset    : 	-3
FV Conf   : 	19.405
ASD Conf  : 	7.468

FRAME 	X 	Y 	W 	H 
010164 	184 	75 	91 	91 
010165 	184 	75 	91 	91 
010166 	184 	75 	91 	91 
010167 	184 	75 	91 	91 
010168 	184 	75 	91 	91 
010169 	184 	75 	91 	91 
010170 	184 	75 	91 	91 
010171 	184 	75 	91 	91 
010172 	184 	75 	91 	91 
010173 	184 	75 	91 	91 
010174 	184 	75 	91 	91 
010175 	184 	75 	91 	91 
010176 	184 	75 	91 	91 
010177 	184 	75 	91 	91 
010178 	184 	75 	91 	91 
010179 	184 	75 	91 	91 
010180 	184 	75 	91 	91 
010181 	184 	75 	91 	91 
010182 	184 	75 	91 	91 
010183 	184 	75 	91 	91 
010184 	184 	75 	91 	91 
010185 	184 	75 	91 	91 
010186 	184 	75 	91 	91 
010187 	186 	79 	76 	76 
010188 	186 	79 	76 	76 
010189 	186 	79 	76 	76 
010190 	186 	79 	76 	76 
010191 	186 	79 	76 	76 
010192 	186 	79 	76 	76 
010193 	184 	75 	91 	91 
010194 	186 	79 	76 	76 
010195 	186 	79 	76 	76 
010196 	186 	79 	76 	76 
010197 	186 	79 	76 	76 
010198 	186 	79 	76 	76 
010199 	186 	79 	76 	76 
010200 	186 	79 	76 	76 
010201 	186 	79 	76 	76 
010202 	186 	79 	76 	76 
010203 	186 	79 	76 	76 
010204 	186 	79 	76 	76 
010205 	186 	79 	76 	76 
010206 	186 	79 	76 	76 
010207 	186 	79 	76 	76 
010208 	186 	79 	76 	76 
010209 	186 	79 	76 	76 
010210 	186 	79 	76 	76 
010211 	186 	79 	76 	76 
010212 	186 	79 	76 	76 
010213 	186 	79 	76 	76 
010214 	186 	79 	76 	76 
010215 	186 	79 	76 	76 
010216 	186 	79 	76 	76 
010217 	186 	79 	76 	76 
010218 	186 	79 	76 	76 
010219 	186 	79 	76 	76 
010220 	186 	79 	76 	76 
010221 	186 	79 	76 	76 
010222 	186 	79 	76 	76 
010223 	186 	79 	76 	76 
010224 	186 	79 	76 	76 
010225 	186 	79 	76 	76 
010226 	186 	79 	76 	76 
010227 	186 	79 	76 	76 
010228 	186 	79 	76 	76 
010229 	186 	79 	76 	76 
010230 	186 	79 	76 	76 
010231 	186 	79 	76 	76 
010232 	186 	79 	76 	76 
010233 	174 	75 	91 	91 
010234 	186 	79 	76 	76 
010235 	174 	75 	91 	91 
010236 	174 	65 	91 	91 
010237 	174 	65 	91 	91 
010238 	174 	65 	91 	91 
010239 	174 	65 	91 	91 
010240 	186 	79 	76 	76 
010241 	186 	79 	76 	76 
010242 	186 	79 	76 	76 
010243 	186 	79 	76 	76 
010244 	186 	79 	76 	76 
010245 	186 	71 	76 	75 
010246 	186 	71 	76 	75 
010247 	186 	71 	76 	75 
010248 	174 	65 	91 	91 
010249 	174 	65 	91 	91 
010250 	178 	71 	76 	75 
010251 	178 	71 	76 	75 
010252 	170 	71 	75 	75 
010253 	154 	55 	91 	91 
010254 	154 	55 	91 	91 
010255 	162 	71 	75 	75 
010256 	162 	71 	75 	75 
010257 	162 	71 	75 	75 
010258 	162 	71 	75 	75 
010259 	162 	71 	75 	75 
010260 	144 	65 	91 	91 
010261 	144 	65 	91 	91 
010262 	144 	65 	91 	91 
010263 	144 	65 	91 	91 
010264 	144 	65 	91 	91 
010265 	144 	65 	91 	91 
010266 	144 	65 	91 	91 
010267 	144 	65 	91 	91 
010268 	144 	65 	91 	91 
010269 	144 	65 	91 	91 
010270 	153 	79 	76 	76 
010271 	153 	79 	76 	76 
010272 	144 	75 	91 	91 
010273 	144 	75 	91 	91 
010274 	144 	75 	91 	91 
010275 	153 	87 	76 	76 
010276 	153 	87 	76 	76 
010277 	145 	87 	76 	76 
010278 	153 	87 	76 	76 
010279 	153 	87 	76 	76 
010280 	144 	75 	91 	91 
010281 	144 	75 	91 	91 
010282 	144 	75 	91 	91 
010283 	144 	75 	91 	91 
010284 	153 	79 	76 	76 
010285 	144 	65 	91 	91 
010286 	144 	65 	91 	91 
010287 	144 	65 	91 	91 
010288 	144 	65 	91 	91 
010289 	144 	65 	91 	91 
010290 	162 	79 	75 	76 
010291 	162 	79 	75 	76 
010292 	162 	79 	75 	76 
010293 	162 	79 	75 	76 
010294 	162 	79 	75 	76 
010295 	154 	65 	91 	91 
010296 	162 	79 	75 	76 
010297 	162 	79 	75 	76 
010298 	162 	79 	75 	76 
010299 	162 	79 	75 	76 
010300 	162 	79 	75 	76 
010301 	162 	79 	75 	76 
010302 	154 	65 	91 	91 
010303 	162 	79 	75 	76 
010304 	162 	79 	75 	76 
010305 	162 	71 	75 	75 
010306 	162 	71 	75 	75 
010307 	162 	71 	75 	75 
010308 	162 	71 	75 	75 
