Identity  : 	id10647
Reference : 	7fLPbFkaAmE
Offset    : 	-1
FV Conf   : 	12.764
ASD Conf  : 	7.590

FRAME 	X 	Y 	W 	H 
001609 	237 	80 	130 	130 
001610 	237 	80 	130 	130 
001611 	237 	80 	130 	130 
001612 	237 	80 	130 	130 
001613 	237 	80 	130 	130 
001614 	237 	80 	130 	130 
001615 	237 	66 	130 	130 
001616 	237 	66 	130 	130 
001617 	237 	66 	130 	130 
001618 	237 	66 	130 	130 
001619 	257 	78 	109 	109 
001620 	251 	66 	130 	130 
001621 	251 	66 	130 	130 
001622 	237 	66 	130 	130 
001623 	237 	66 	130 	130 
001624 	237 	66 	130 	130 
001625 	237 	66 	130 	130 
001626 	245 	78 	109 	109 
001627 	245 	78 	109 	109 
001628 	245 	78 	109 	109 
001629 	245 	78 	109 	109 
001630 	245 	90 	109 	109 
001631 	245 	90 	109 	109 
001632 	245 	90 	109 	109 
001633 	223 	80 	130 	130 
001634 	223 	80 	130 	130 
001635 	223 	80 	130 	130 
001636 	223 	80 	130 	130 
001637 	223 	80 	130 	130 
001638 	223 	80 	130 	130 
001639 	223 	80 	130 	130 
001640 	223 	80 	130 	130 
001641 	223 	80 	130 	130 
001642 	223 	80 	130 	130 
001643 	223 	80 	130 	130 
001644 	223 	80 	130 	130 
001645 	223 	80 	130 	130 
001646 	223 	80 	130 	130 
001647 	223 	80 	130 	130 
001648 	223 	80 	130 	130 
001649 	237 	80 	130 	130 
001650 	237 	80 	130 	130 
001651 	237 	80 	130 	130 
001652 	237 	66 	130 	130 
001653 	237 	66 	130 	130 
001654 	237 	66 	130 	130 
001655 	237 	66 	130 	130 
001656 	237 	66 	130 	130 
001657 	237 	66 	130 	130 
001658 	223 	66 	130 	130 
001659 	223 	66 	130 	130 
001660 	223 	66 	130 	130 
001661 	223 	66 	130 	130 
001662 	223 	66 	130 	130 
001663 	223 	80 	130 	130 
001664 	223 	80 	130 	130 
001665 	223 	80 	130 	130 
001666 	223 	80 	130 	130 
001667 	223 	80 	130 	130 
001668 	223 	80 	130 	130 
001669 	245 	90 	109 	109 
001670 	245 	90 	109 	109 
001671 	245 	90 	109 	109 
001672 	245 	90 	109 	109 
001673 	245 	90 	109 	109 
001674 	245 	90 	109 	109 
001675 	237 	80 	130 	130 
001676 	245 	90 	109 	109 
001677 	237 	80 	130 	130 
001678 	237 	66 	130 	130 
001679 	237 	66 	130 	130 
001680 	245 	78 	109 	109 
001681 	223 	66 	130 	130 
001682 	245 	78 	109 	109 
001683 	245 	78 	109 	109 
001684 	245 	78 	109 	109 
001685 	245 	78 	109 	109 
001686 	245 	78 	109 	109 
001687 	245 	78 	109 	109 
001688 	245 	78 	109 	109 
001689 	245 	78 	109 	109 
001690 	237 	66 	130 	130 
001691 	245 	78 	109 	109 
001692 	223 	66 	130 	130 
001693 	223 	66 	130 	130 
001694 	223 	66 	130 	130 
001695 	223 	66 	130 	130 
001696 	223 	66 	130 	130 
001697 	223 	66 	130 	130 
001698 	223 	66 	130 	130 
001699 	223 	66 	130 	130 
001700 	223 	80 	130 	130 
001701 	223 	80 	130 	130 
001702 	245 	90 	109 	109 
001703 	237 	80 	130 	130 
001704 	223 	80 	130 	130 
001705 	223 	80 	130 	130 
001706 	223 	80 	130 	130 
001707 	223 	80 	130 	130 
001708 	223 	80 	130 	130 
001709 	223 	80 	130 	130 
001710 	223 	94 	130 	130 
001711 	223 	94 	130 	130 
001712 	223 	94 	130 	130 
001713 	223 	94 	130 	130 
001714 	223 	94 	130 	130 
001715 	223 	94 	130 	130 
001716 	223 	94 	130 	130 
001717 	223 	94 	130 	130 
001718 	223 	94 	130 	130 
001719 	223 	94 	130 	130 
001720 	223 	94 	130 	130 
001721 	223 	94 	130 	130 
001722 	223 	94 	130 	130 
001723 	223 	94 	130 	130 
001724 	223 	80 	130 	130 
001725 	223 	80 	130 	130 
001726 	223 	80 	130 	130 
001727 	223 	80 	130 	130 
001728 	223 	80 	130 	130 
001729 	237 	80 	130 	130 
001730 	237 	80 	130 	130 
001731 	237 	80 	130 	130 
001732 	237 	80 	130 	130 
001733 	237 	66 	130 	130 
001734 	237 	66 	130 	130 
001735 	237 	66 	130 	130 
001736 	237 	66 	130 	130 
001737 	237 	66 	130 	130 
001738 	257 	66 	109 	109 
001739 	257 	66 	109 	109 
001740 	257 	66 	109 	109 
001741 	257 	66 	109 	109 
001742 	257 	66 	109 	109 
001743 	257 	66 	109 	109 
001744 	257 	66 	109 	109 
001745 	257 	66 	109 	109 
001746 	257 	66 	109 	109 
001747 	257 	66 	109 	109 
001748 	257 	66 	109 	109 
001749 	257 	66 	109 	109 
001750 	257 	78 	109 	109 
001751 	257 	78 	109 	109 
001752 	237 	66 	130 	130 
001753 	237 	66 	130 	130 
001754 	237 	66 	130 	130 
001755 	237 	66 	130 	130 
001756 	237 	66 	130 	130 
001757 	237 	80 	130 	130 
001758 	237 	80 	130 	130 
001759 	237 	80 	130 	130 
001760 	237 	80 	130 	130 
001761 	237 	80 	130 	130 
001762 	237 	80 	130 	130 
001763 	237 	80 	130 	130 
001764 	237 	80 	130 	130 
001765 	237 	80 	130 	130 
001766 	237 	80 	130 	130 
001767 	237 	80 	130 	130 
001768 	237 	80 	130 	130 
001769 	237 	80 	130 	130 
001770 	237 	80 	130 	130 
001771 	237 	80 	130 	130 
001772 	237 	80 	130 	130 
001773 	237 	80 	130 	130 
001774 	237 	80 	130 	130 
001775 	237 	66 	130 	130 
001776 	237 	66 	130 	130 
001777 	245 	78 	109 	109 
001778 	223 	66 	130 	130 
001779 	223 	66 	130 	130 
001780 	223 	66 	130 	130 
001781 	223 	66 	130 	130 
001782 	223 	66 	130 	130 
001783 	223 	66 	130 	130 
001784 	223 	66 	130 	130 
001785 	223 	66 	130 	130 
001786 	208 	66 	130 	130 
001787 	208 	66 	130 	130 
001788 	208 	80 	130 	130 
001789 	208 	80 	130 	130 
001790 	208 	80 	130 	130 
001791 	208 	80 	130 	130 
001792 	233 	90 	109 	109 
001793 	223 	80 	130 	130 
001794 	223 	80 	130 	130 
001795 	223 	80 	130 	130 
001796 	223 	80 	130 	130 
001797 	223 	80 	130 	130 
001798 	223 	80 	130 	130 
001799 	223 	80 	130 	130 
001800 	223 	80 	130 	130 
001801 	223 	80 	130 	130 
001802 	223 	80 	130 	130 
001803 	223 	80 	130 	130 
001804 	245 	90 	109 	109 
001805 	245 	90 	109 	109 
001806 	237 	80 	130 	130 
001807 	237 	80 	130 	130 
001808 	237 	80 	130 	130 
001809 	237 	80 	130 	130 
001810 	237 	80 	130 	130 
001811 	237 	80 	130 	130 
001812 	237 	80 	130 	130 
001813 	237 	80 	130 	130 
001814 	237 	80 	130 	130 
001815 	245 	90 	109 	109 
001816 	237 	80 	130 	130 
001817 	237 	80 	130 	130 
001818 	237 	80 	130 	130 
001819 	237 	80 	130 	130 
001820 	237 	80 	130 	130 
001821 	237 	80 	130 	130 
001822 	237 	80 	130 	130 
001823 	237 	80 	130 	130 
001824 	237 	80 	130 	130 
001825 	237 	80 	130 	130 
001826 	237 	80 	130 	130 
001827 	237 	80 	130 	130 
001828 	237 	80 	130 	130 
001829 	237 	80 	130 	130 
001830 	237 	80 	130 	130 
001831 	237 	66 	130 	130 
001832 	237 	66 	130 	130 
001833 	237 	66 	130 	130 
001834 	237 	66 	130 	130 
001835 	237 	80 	130 	130 
001836 	237 	80 	130 	130 
001837 	237 	80 	130 	130 
001838 	237 	80 	130 	130 
001839 	237 	80 	130 	130 
001840 	237 	80 	130 	130 
001841 	237 	80 	130 	130 
001842 	237 	66 	130 	130 
001843 	237 	80 	130 	130 
001844 	237 	66 	130 	130 
001845 	237 	66 	130 	130 
001846 	237 	66 	130 	130 
001847 	237 	66 	130 	130 
001848 	237 	66 	130 	130 
001849 	237 	66 	130 	130 
001850 	237 	66 	130 	130 
001851 	245 	78 	109 	109 
001852 	245 	78 	109 	109 
001853 	223 	66 	130 	130 
001854 	223 	66 	130 	130 
001855 	223 	66 	130 	130 
001856 	245 	78 	109 	109 
001857 	245 	78 	109 	109 
001858 	245 	78 	109 	109 
001859 	245 	78 	109 	109 
001860 	245 	78 	109 	109 
001861 	245 	78 	109 	109 
001862 	237 	66 	130 	130 
001863 	237 	66 	130 	130 
001864 	237 	66 	130 	130 
001865 	237 	66 	130 	130 
001866 	237 	66 	130 	130 
001867 	237 	66 	130 	130 
001868 	237 	66 	130 	130 
001869 	237 	66 	130 	130 
001870 	237 	66 	130 	130 
001871 	237 	66 	130 	130 
001872 	237 	66 	130 	130 
001873 	237 	66 	130 	130 
001874 	245 	78 	109 	109 
001875 	245 	78 	109 	109 
001876 	245 	78 	109 	109 
001877 	223 	66 	130 	130 
001878 	223 	66 	130 	130 
001879 	223 	66 	130 	130 
001880 	223 	66 	130 	130 
001881 	223 	66 	130 	130 
001882 	223 	66 	130 	130 
