Identity  : 	id10656
Reference : 	He5GpEDCEp4
Offset    : 	-1
FV Conf   : 	17.582
ASD Conf  : 	8.319

FRAME 	X 	Y 	W 	H 
000587 	281 	54 	108 	109 
000588 	281 	54 	108 	109 
000589 	281 	54 	108 	109 
000590 	281 	54 	108 	109 
000591 	281 	54 	108 	109 
000592 	281 	54 	108 	109 
000593 	281 	54 	108 	109 
000594 	281 	54 	108 	109 
000595 	281 	54 	108 	109 
000596 	281 	54 	108 	109 
000597 	281 	54 	108 	109 
000598 	294 	75 	90 	91 
000599 	294 	75 	90 	91 
000600 	294 	75 	90 	91 
000601 	294 	75 	90 	91 
000602 	293 	66 	108 	109 
000603 	293 	66 	108 	109 
000604 	293 	66 	108 	109 
000605 	304 	75 	90 	91 
000606 	293 	66 	108 	109 
000607 	304 	75 	90 	91 
000608 	304 	75 	90 	91 
000609 	293 	66 	108 	109 
000610 	293 	66 	108 	109 
000611 	293 	66 	108 	109 
000612 	293 	66 	108 	109 
000613 	304 	75 	90 	91 
000614 	304 	75 	90 	91 
000615 	293 	66 	108 	109 
000616 	293 	66 	108 	109 
000617 	293 	66 	108 	109 
000618 	293 	66 	108 	109 
000619 	293 	66 	108 	109 
000620 	293 	66 	108 	109 
000621 	294 	65 	90 	91 
000622 	294 	65 	90 	91 
000623 	294 	65 	90 	91 
000624 	294 	65 	90 	91 
000625 	294 	65 	90 	91 
000626 	293 	66 	108 	109 
000627 	293 	66 	108 	109 
000628 	294 	65 	90 	91 
000629 	294 	65 	90 	91 
000630 	294 	65 	90 	91 
000631 	294 	65 	90 	91 
000632 	294 	65 	90 	91 
000633 	294 	65 	90 	91 
000634 	293 	66 	108 	109 
000635 	294 	65 	90 	91 
000636 	294 	65 	90 	91 
000637 	294 	75 	90 	91 
000638 	294 	75 	90 	91 
000639 	294 	75 	90 	91 
000640 	293 	66 	108 	109 
000641 	293 	66 	108 	109 
000642 	293 	66 	108 	109 
000643 	293 	66 	108 	109 
000644 	293 	66 	108 	109 
000645 	293 	66 	108 	109 
000646 	293 	66 	108 	109 
000647 	293 	66 	108 	109 
000648 	293 	66 	108 	109 
000649 	293 	66 	108 	109 
000650 	293 	66 	108 	109 
000651 	293 	66 	108 	109 
000652 	293 	66 	108 	109 
000653 	293 	66 	108 	109 
000654 	293 	66 	108 	109 
000655 	293 	66 	108 	109 
000656 	293 	66 	108 	109 
000657 	293 	66 	108 	109 
000658 	293 	66 	108 	109 
000659 	293 	66 	108 	109 
000660 	293 	66 	108 	109 
000661 	293 	66 	108 	109 
000662 	293 	66 	108 	109 
000663 	293 	66 	108 	109 
000664 	293 	66 	108 	109 
000665 	293 	66 	108 	109 
000666 	293 	66 	108 	109 
000667 	293 	66 	108 	109 
000668 	293 	66 	108 	109 
000669 	293 	66 	108 	109 
000670 	304 	75 	90 	91 
000671 	304 	75 	90 	91 
000672 	304 	75 	90 	91 
000673 	304 	75 	90 	91 
000674 	314 	75 	90 	91 
000675 	304 	75 	90 	91 
000676 	304 	75 	90 	91 
000677 	304 	75 	90 	91 
000678 	304 	75 	90 	91 
000679 	304 	75 	90 	91 
000680 	304 	75 	90 	91 
000681 	304 	75 	90 	91 
000682 	304 	75 	90 	91 
000683 	293 	66 	108 	109 
000684 	293 	66 	108 	109 
000685 	293 	66 	108 	109 
000686 	293 	66 	108 	109 
000687 	293 	66 	108 	109 
000688 	293 	66 	108 	109 
000689 	293 	66 	108 	109 
000690 	293 	66 	108 	109 
000691 	293 	66 	108 	109 
000692 	293 	66 	108 	109 
000693 	293 	66 	108 	109 
000694 	294 	75 	90 	91 
000695 	294 	75 	90 	91 
000696 	294 	75 	90 	91 
000697 	294 	75 	90 	91 
000698 	294 	75 	90 	91 
000699 	294 	75 	90 	91 
000700 	294 	75 	90 	91 
000701 	294 	75 	90 	91 
000702 	294 	75 	90 	91 
000703 	294 	75 	90 	91 
000704 	294 	75 	90 	91 
000705 	294 	75 	90 	91 
000706 	294 	75 	90 	91 
000707 	294 	75 	90 	91 
000708 	294 	75 	90 	91 
000709 	294 	75 	90 	91 
000710 	294 	75 	90 	91 
000711 	294 	75 	90 	91 
000712 	294 	75 	90 	91 
000713 	294 	75 	90 	91 
000714 	294 	75 	90 	91 
000715 	294 	75 	90 	91 
000716 	294 	75 	90 	91 
000717 	294 	75 	90 	91 
000718 	294 	75 	90 	91 
000719 	294 	75 	90 	91 
000720 	294 	75 	90 	91 
000721 	294 	75 	90 	91 
000722 	294 	75 	90 	91 
000723 	294 	75 	90 	91 
000724 	294 	75 	90 	91 
000725 	294 	75 	90 	91 
000726 	294 	75 	90 	91 
000727 	294 	75 	90 	91 
000728 	281 	54 	108 	109 
000729 	281 	54 	108 	109 
000730 	281 	54 	108 	109 
000731 	281 	54 	108 	109 
000732 	269 	54 	108 	109 
000733 	269 	54 	108 	109 
000734 	269 	54 	108 	109 
000735 	269 	54 	108 	109 
000736 	269 	54 	108 	109 
000737 	274 	65 	90 	91 
000738 	257 	54 	109 	109 
000739 	257 	54 	109 	109 
000740 	257 	54 	109 	109 
000741 	257 	54 	109 	109 
000742 	257 	54 	109 	109 
000743 	257 	54 	109 	109 
000744 	264 	65 	90 	91 
000745 	264 	65 	90 	91 
000746 	264 	65 	90 	91 
000747 	264 	65 	90 	91 
000748 	264 	65 	90 	91 
000749 	257 	54 	109 	109 
000750 	257 	54 	109 	109 
000751 	257 	54 	109 	109 
000752 	257 	54 	109 	109 
000753 	257 	54 	109 	109 
000754 	257 	54 	109 	109 
000755 	257 	54 	109 	109 
000756 	257 	54 	109 	109 
000757 	257 	54 	109 	109 
000758 	257 	54 	109 	109 
000759 	257 	54 	109 	109 
000760 	274 	65 	90 	91 
000761 	274 	65 	90 	91 
000762 	274 	65 	90 	91 
000763 	257 	54 	109 	109 
