Identity  : 	id10656
Reference : 	oMBySLLIFUg
Offset    : 	-1
FV Conf   : 	14.135
ASD Conf  : 	7.934

FRAME 	X 	Y 	W 	H 
004652 	261 	62 	76 	76 
004653 	261 	62 	76 	76 
004654 	253 	62 	75 	76 
004655 	253 	62 	75 	76 
004656 	253 	62 	75 	76 
004657 	253 	62 	75 	76 
004658 	261 	62 	76 	76 
004659 	261 	62 	76 	76 
004660 	261 	62 	76 	76 
004661 	261 	62 	76 	76 
004662 	261 	62 	76 	76 
004663 	261 	62 	76 	76 
004664 	261 	62 	76 	76 
004665 	261 	62 	76 	76 
004666 	261 	62 	76 	76 
004667 	261 	62 	76 	76 
004668 	261 	62 	76 	76 
004669 	261 	62 	76 	76 
004670 	261 	62 	76 	76 
004671 	261 	62 	76 	76 
004672 	261 	62 	76 	76 
004673 	261 	62 	76 	76 
004674 	261 	62 	76 	76 
004675 	261 	62 	76 	76 
004676 	254 	55 	90 	91 
004677 	254 	55 	90 	91 
004678 	254 	55 	90 	91 
004679 	269 	62 	76 	76 
004680 	269 	62 	76 	76 
004681 	269 	62 	76 	76 
004682 	269 	62 	76 	76 
004683 	269 	62 	76 	76 
004684 	269 	62 	76 	76 
004685 	269 	62 	76 	76 
004686 	269 	62 	76 	76 
004687 	269 	62 	76 	76 
004688 	269 	62 	76 	76 
004689 	269 	62 	76 	76 
004690 	269 	62 	76 	76 
004691 	269 	62 	76 	76 
004692 	269 	62 	76 	76 
004693 	269 	62 	76 	76 
004694 	269 	62 	76 	76 
004695 	269 	62 	76 	76 
004696 	269 	62 	76 	76 
004697 	269 	62 	76 	76 
004698 	264 	55 	90 	91 
004699 	269 	62 	76 	76 
004700 	269 	62 	76 	76 
004701 	264 	65 	90 	91 
004702 	269 	62 	76 	76 
004703 	254 	55 	90 	91 
004704 	254 	55 	90 	91 
004705 	254 	55 	90 	91 
004706 	254 	55 	90 	91 
004707 	254 	55 	90 	91 
004708 	254 	55 	90 	91 
004709 	269 	62 	76 	76 
004710 	269 	62 	76 	76 
004711 	269 	62 	76 	76 
004712 	269 	62 	76 	76 
004713 	264 	55 	90 	91 
004714 	264 	55 	90 	91 
004715 	278 	71 	75 	75 
004716 	274 	65 	90 	91 
004717 	278 	71 	75 	75 
004718 	274 	65 	90 	91 
004719 	274 	65 	90 	91 
004720 	286 	71 	76 	75 
004721 	286 	71 	76 	75 
004722 	286 	71 	76 	75 
004723 	284 	55 	90 	91 
004724 	284 	55 	90 	91 
004725 	284 	55 	90 	91 
004726 	284 	55 	90 	91 
004727 	284 	55 	90 	91 
004728 	286 	62 	76 	76 
004729 	286 	62 	76 	76 
004730 	286 	62 	76 	76 
004731 	286 	62 	76 	76 
004732 	286 	62 	76 	76 
004733 	286 	62 	76 	76 
004734 	286 	62 	76 	76 
004735 	286 	62 	76 	76 
004736 	286 	62 	76 	76 
004737 	286 	62 	76 	76 
004738 	286 	62 	76 	76 
004739 	286 	62 	76 	76 
004740 	286 	62 	76 	76 
004741 	286 	62 	76 	76 
004742 	286 	62 	76 	76 
004743 	286 	62 	76 	76 
004744 	286 	62 	76 	76 
004745 	286 	71 	76 	75 
004746 	286 	71 	76 	75 
004747 	286 	71 	76 	75 
004748 	286 	71 	76 	75 
004749 	286 	71 	76 	75 
004750 	286 	71 	76 	75 
004751 	286 	71 	76 	75 
004752 	286 	71 	76 	75 
004753 	286 	71 	76 	75 
004754 	286 	71 	76 	75 
004755 	286 	71 	76 	75 
004756 	286 	71 	76 	75 
004757 	286 	71 	76 	75 
004758 	286 	71 	76 	75 
004759 	286 	71 	76 	75 
004760 	286 	71 	76 	75 
004761 	274 	65 	90 	91 
004762 	274 	65 	90 	91 
004763 	274 	65 	90 	91 
004764 	274 	55 	90 	91 
004765 	274 	55 	90 	91 
004766 	274 	55 	90 	91 
004767 	274 	55 	90 	91 
004768 	274 	55 	90 	91 
004769 	274 	55 	90 	91 
004770 	274 	55 	90 	91 
004771 	274 	55 	90 	91 
004772 	274 	55 	90 	91 
004773 	274 	55 	90 	91 
004774 	274 	55 	90 	91 
004775 	278 	62 	75 	76 
004776 	274 	55 	90 	91 
004777 	274 	55 	90 	91 
004778 	274 	55 	90 	91 
004779 	274 	55 	90 	91 
004780 	278 	71 	75 	75 
004781 	278 	71 	75 	75 
004782 	278 	71 	75 	75 
004783 	278 	71 	75 	75 
004784 	278 	71 	75 	75 
004785 	278 	71 	75 	75 
004786 	278 	71 	75 	75 
004787 	278 	71 	75 	75 
004788 	278 	71 	75 	75 
004789 	278 	71 	75 	75 
004790 	278 	71 	75 	75 
004791 	278 	71 	75 	75 
004792 	278 	71 	75 	75 
004793 	278 	71 	75 	75 
004794 	278 	62 	75 	76 
004795 	278 	62 	75 	76 
004796 	278 	62 	75 	76 
004797 	278 	62 	75 	76 
004798 	278 	62 	75 	76 
004799 	274 	55 	90 	91 
004800 	274 	55 	90 	91 
004801 	274 	55 	90 	91 
004802 	278 	62 	75 	76 
004803 	278 	71 	75 	75 
004804 	278 	71 	75 	75 
004805 	278 	71 	75 	75 
004806 	278 	71 	75 	75 
004807 	278 	71 	75 	75 
004808 	278 	71 	75 	75 
004809 	278 	71 	75 	75 
004810 	278 	71 	75 	75 
004811 	278 	71 	75 	75 
004812 	278 	71 	75 	75 
004813 	278 	71 	75 	75 
004814 	278 	71 	75 	75 
004815 	274 	55 	90 	91 
004816 	274 	65 	90 	91 
004817 	274 	65 	90 	91 
004818 	274 	65 	90 	91 
004819 	286 	71 	76 	75 
004820 	286 	71 	76 	75 
004821 	286 	71 	76 	75 
004822 	286 	71 	76 	75 
004823 	286 	71 	76 	75 
004824 	286 	71 	76 	75 
004825 	286 	71 	76 	75 
004826 	286 	71 	76 	75 
004827 	286 	71 	76 	75 
004828 	286 	71 	76 	75 
004829 	284 	55 	90 	91 
004830 	284 	55 	90 	91 
004831 	284 	55 	90 	91 
004832 	284 	55 	90 	91 
004833 	284 	55 	90 	91 
004834 	286 	62 	76 	76 
004835 	274 	55 	90 	91 
004836 	274 	55 	90 	91 
004837 	278 	71 	75 	75 
004838 	278 	71 	75 	75 
004839 	264 	65 	90 	91 
004840 	269 	62 	76 	76 
004841 	269 	62 	76 	76 
004842 	269 	62 	76 	76 
004843 	269 	62 	76 	76 
004844 	261 	62 	76 	76 
004845 	261 	62 	76 	76 
004846 	261 	71 	76 	75 
004847 	261 	71 	76 	75 
004848 	261 	71 	76 	75 
004849 	261 	71 	76 	75 
004850 	261 	71 	76 	75 
004851 	261 	71 	76 	75 
004852 	261 	71 	76 	75 
004853 	261 	71 	76 	75 
004854 	261 	71 	76 	75 
