Identity  : 	id10658
Reference : 	epa8xnLXh1U
Offset    : 	0
FV Conf   : 	19.472
ASD Conf  : 	7.517

FRAME 	X 	Y 	W 	H 
003760 	305 	66 	108 	109 
003761 	314 	76 	100 	100 
003762 	323 	85 	91 	91 
003763 	323 	85 	91 	91 
003764 	323 	85 	91 	91 
003765 	323 	85 	91 	91 
003766 	323 	85 	91 	91 
003767 	305 	78 	108 	109 
003768 	314 	85 	90 	91 
003769 	314 	75 	90 	91 
003770 	314 	75 	90 	91 
003771 	293 	66 	108 	109 
003772 	304 	75 	90 	91 
003773 	294 	75 	90 	91 
003774 	281 	66 	108 	109 
003775 	281 	66 	108 	109 
003776 	284 	65 	90 	91 
003777 	284 	65 	90 	91 
003778 	274 	65 	90 	91 
003779 	274 	65 	90 	91 
003780 	274 	65 	90 	91 
003781 	257 	54 	109 	109 
003782 	257 	54 	109 	109 
003783 	257 	54 	109 	109 
003784 	257 	66 	109 	109 
003785 	264 	75 	90 	91 
003786 	245 	54 	109 	109 
003787 	245 	54 	109 	109 
003788 	245 	54 	109 	109 
003789 	245 	54 	109 	109 
003790 	245 	54 	109 	109 
003791 	245 	54 	109 	109 
003792 	245 	54 	109 	109 
003793 	245 	54 	109 	109 
003794 	245 	54 	109 	109 
003795 	245 	66 	109 	109 
003796 	245 	54 	109 	109 
003797 	245 	66 	109 	109 
003798 	245 	66 	109 	109 
003799 	245 	66 	109 	109 
003800 	245 	66 	109 	109 
003801 	245 	66 	109 	109 
003802 	245 	66 	109 	109 
003803 	245 	66 	109 	109 
003804 	245 	66 	109 	109 
003805 	245 	66 	109 	109 
003806 	245 	66 	109 	109 
003807 	245 	66 	109 	109 
003808 	245 	66 	109 	109 
003809 	245 	66 	109 	109 
003810 	245 	66 	109 	109 
003811 	245 	66 	109 	109 
003812 	245 	66 	109 	109 
003813 	264 	85 	90 	91 
003814 	257 	66 	109 	109 
003815 	257 	66 	109 	109 
003816 	274 	75 	90 	91 
003817 	274 	75 	90 	91 
003818 	284 	85 	90 	91 
003819 	284 	85 	90 	91 
003820 	284 	85 	90 	91 
003821 	284 	85 	90 	91 
003822 	284 	85 	90 	91 
003823 	284 	75 	90 	91 
003824 	281 	66 	108 	109 
003825 	294 	75 	90 	91 
003826 	281 	66 	108 	109 
003827 	281 	66 	108 	109 
003828 	284 	85 	90 	91 
003829 	284 	85 	90 	91 
003830 	284 	85 	90 	91 
003831 	284 	85 	90 	91 
003832 	284 	85 	90 	91 
003833 	284 	85 	90 	91 
003834 	284 	85 	90 	91 
003835 	269 	66 	108 	109 
003836 	269 	66 	108 	109 
003837 	269 	66 	108 	109 
003838 	274 	85 	90 	91 
003839 	274 	75 	90 	91 
003840 	274 	75 	90 	91 
003841 	274 	75 	90 	91 
003842 	274 	75 	90 	91 
003843 	257 	66 	109 	109 
003844 	264 	75 	90 	91 
003845 	264 	75 	90 	91 
003846 	264 	75 	90 	91 
003847 	264 	75 	90 	91 
003848 	264 	75 	90 	91 
003849 	264 	75 	90 	91 
003850 	264 	75 	90 	91 
003851 	264 	75 	90 	91 
003852 	264 	75 	90 	91 
003853 	264 	75 	90 	91 
003854 	257 	66 	109 	109 
003855 	264 	75 	90 	91 
003856 	264 	75 	90 	91 
003857 	264 	75 	90 	91 
003858 	264 	75 	90 	91 
003859 	264 	75 	90 	91 
003860 	264 	75 	90 	91 
003861 	264 	75 	90 	91 
003862 	264 	75 	90 	91 
003863 	257 	66 	109 	109 
003864 	257 	66 	109 	109 
003865 	257 	66 	109 	109 
003866 	257 	66 	109 	109 
003867 	257 	66 	109 	109 
003868 	274 	75 	90 	91 
003869 	274 	75 	90 	91 
003870 	274 	75 	90 	91 
003871 	274 	75 	90 	91 
003872 	274 	75 	90 	91 
003873 	274 	75 	90 	91 
003874 	274 	75 	90 	91 
003875 	269 	66 	108 	109 
003876 	269 	66 	108 	109 
003877 	269 	66 	108 	109 
003878 	269 	66 	108 	109 
