Identity  : 	id10663
Reference : 	2L7l_0T4VjA
Offset    : 	0
FV Conf   : 	21.118
ASD Conf  : 	6.928

FRAME 	X 	Y 	W 	H 
002588 	194 	80 	130 	130 
002589 	194 	80 	130 	130 
002590 	194 	80 	130 	130 
002591 	194 	80 	130 	130 
002592 	194 	80 	130 	130 
002593 	194 	80 	130 	130 
002594 	194 	80 	130 	130 
002595 	194 	80 	130 	130 
002596 	194 	80 	130 	130 
002597 	197 	90 	109 	109 
002598 	197 	90 	109 	109 
002599 	197 	90 	109 	109 
002600 	197 	90 	109 	109 
002601 	197 	90 	109 	109 
002602 	197 	90 	109 	109 
002603 	197 	90 	109 	109 
002604 	197 	90 	109 	109 
002605 	197 	90 	109 	109 
002606 	197 	90 	109 	109 
002607 	194 	80 	130 	130 
002608 	194 	80 	130 	130 
002609 	194 	80 	130 	130 
002610 	209 	90 	109 	109 
002611 	209 	90 	109 	109 
002612 	209 	90 	109 	109 
002613 	209 	90 	109 	109 
002614 	209 	90 	109 	109 
002615 	209 	90 	109 	109 
002616 	209 	90 	109 	109 
002617 	208 	80 	130 	130 
002618 	208 	80 	130 	130 
002619 	208 	80 	130 	130 
002620 	209 	90 	109 	109 
002621 	209 	90 	109 	109 
002622 	209 	90 	109 	109 
002623 	209 	90 	109 	109 
002624 	194 	80 	130 	130 
002625 	209 	78 	109 	109 
002626 	194 	66 	130 	130 
002627 	194 	66 	130 	130 
002628 	209 	78 	109 	109 
002629 	194 	80 	130 	130 
002630 	194 	80 	130 	130 
002631 	194 	80 	130 	130 
002632 	209 	90 	109 	109 
002633 	209 	90 	109 	109 
002634 	209 	90 	109 	109 
002635 	209 	90 	109 	109 
002636 	209 	90 	109 	109 
002637 	209 	90 	109 	109 
002638 	209 	90 	109 	109 
002639 	209 	78 	109 	109 
002640 	209 	78 	109 	109 
002641 	194 	66 	130 	130 
002642 	194 	66 	130 	130 
002643 	194 	66 	130 	130 
002644 	194 	66 	130 	130 
002645 	194 	66 	130 	130 
002646 	194 	66 	130 	130 
002647 	180 	66 	130 	130 
002648 	180 	66 	130 	130 
002649 	180 	66 	130 	130 
002650 	180 	66 	130 	130 
002651 	165 	66 	130 	130 
002652 	165 	66 	130 	130 
002653 	165 	66 	130 	130 
002654 	151 	66 	130 	130 
002655 	151 	66 	130 	130 
002656 	150 	78 	108 	109 
002657 	150 	66 	108 	109 
002658 	150 	66 	108 	109 
002659 	137 	51 	130 	130 
002660 	137 	51 	130 	130 
002661 	137 	51 	130 	130 
002662 	137 	51 	130 	130 
002663 	137 	51 	130 	130 
002664 	137 	51 	130 	130 
002665 	151 	51 	130 	130 
002666 	151 	51 	130 	130 
002667 	151 	51 	130 	130 
002668 	151 	51 	130 	130 
002669 	151 	51 	130 	130 
002670 	151 	51 	130 	130 
002671 	173 	66 	109 	109 
002672 	173 	66 	109 	109 
002673 	165 	66 	130 	130 
002674 	165 	66 	130 	130 
002675 	165 	66 	130 	130 
002676 	165 	66 	130 	130 
002677 	165 	66 	130 	130 
002678 	180 	66 	130 	130 
002679 	180 	66 	130 	130 
002680 	180 	66 	130 	130 
002681 	180 	66 	130 	130 
002682 	180 	66 	130 	130 
002683 	180 	66 	130 	130 
002684 	180 	66 	130 	130 
002685 	180 	66 	130 	130 
002686 	180 	80 	130 	130 
002687 	180 	80 	130 	130 
002688 	180 	80 	130 	130 
002689 	180 	80 	130 	130 
002690 	180 	80 	130 	130 
002691 	180 	80 	130 	130 
002692 	180 	80 	130 	130 
002693 	180 	80 	130 	130 
