Identity  : 	id10666
Reference : 	0P0eq2dp_yI
Offset    : 	-4
FV Conf   : 	20.837
ASD Conf  : 	6.493

FRAME 	X 	Y 	W 	H 
013187 	79 	80 	130 	130 
013188 	90 	78 	108 	109 
013189 	79 	80 	130 	130 
013190 	90 	78 	108 	109 
013191 	79 	80 	130 	130 
013192 	79 	80 	130 	130 
013193 	79 	80 	130 	130 
013194 	79 	80 	130 	130 
013195 	94 	80 	130 	130 
013196 	94 	80 	130 	130 
013197 	94 	80 	130 	130 
013198 	94 	80 	130 	130 
013199 	94 	80 	130 	130 
013200 	94 	80 	130 	130 
013201 	94 	80 	130 	130 
013202 	94 	80 	130 	130 
013203 	94 	80 	130 	130 
013204 	94 	80 	130 	130 
013205 	108 	80 	130 	130 
013206 	108 	80 	130 	130 
013207 	108 	80 	130 	130 
013208 	108 	80 	130 	130 
013209 	108 	80 	130 	130 
013210 	122 	80 	130 	130 
013211 	122 	80 	130 	130 
013212 	122 	80 	130 	130 
013213 	122 	80 	130 	130 
013214 	122 	80 	130 	130 
013215 	122 	80 	130 	130 
013216 	122 	80 	130 	130 
013217 	122 	80 	130 	130 
013218 	122 	80 	130 	130 
013219 	138 	90 	108 	109 
013220 	137 	80 	130 	130 
013221 	122 	80 	130 	130 
013222 	138 	78 	108 	109 
013223 	122 	66 	130 	130 
013224 	122 	80 	130 	130 
013225 	126 	78 	108 	109 
013226 	108 	66 	130 	130 
013227 	114 	78 	108 	109 
013228 	94 	66 	130 	130 
013229 	79 	66 	130 	130 
013230 	79 	66 	130 	130 
013231 	79 	80 	130 	130 
013232 	78 	78 	108 	109 
013233 	65 	80 	130 	130 
013234 	65 	80 	130 	130 
013235 	65 	80 	130 	130 
013236 	65 	80 	130 	130 
013237 	65 	80 	130 	130 
013238 	79 	80 	130 	130 
013239 	79 	80 	130 	130 
013240 	79 	80 	130 	130 
013241 	79 	80 	130 	130 
013242 	79 	80 	130 	130 
013243 	79 	80 	130 	130 
013244 	94 	80 	130 	130 
013245 	94 	80 	130 	130 
013246 	108 	80 	130 	130 
013247 	108 	80 	130 	130 
013248 	108 	80 	130 	130 
013249 	122 	80 	130 	130 
013250 	122 	80 	130 	130 
013251 	122 	80 	130 	130 
013252 	122 	80 	130 	130 
013253 	122 	80 	130 	130 
013254 	137 	80 	130 	130 
013255 	137 	80 	130 	130 
013256 	137 	80 	130 	130 
013257 	137 	80 	130 	130 
013258 	137 	80 	130 	130 
013259 	137 	80 	130 	130 
013260 	137 	80 	130 	130 
013261 	137 	94 	130 	130 
013262 	137 	94 	130 	130 
013263 	137 	80 	130 	130 
013264 	137 	80 	130 	130 
013265 	137 	80 	130 	130 
013266 	130 	62 	156 	155 
013267 	137 	80 	130 	130 
013268 	113 	62 	155 	155 
013269 	113 	62 	155 	155 
013270 	113 	62 	155 	155 
013271 	137 	80 	130 	130 
013272 	137 	80 	130 	130 
013273 	137 	80 	130 	130 
013274 	137 	80 	130 	130 
013275 	137 	94 	130 	130 
013276 	137 	94 	130 	130 
013277 	137 	94 	130 	130 
013278 	137 	94 	130 	130 
013279 	137 	94 	130 	130 
013280 	113 	79 	155 	156 
013281 	113 	79 	155 	156 
013282 	113 	79 	155 	156 
013283 	113 	79 	155 	156 
013284 	122 	94 	130 	130 
013285 	122 	109 	130 	130 
013286 	122 	109 	130 	130 
013287 	122 	109 	130 	130 
013288 	95 	79 	156 	156 
013289 	95 	79 	156 	156 
013290 	108 	94 	130 	130 
013291 	108 	94 	130 	130 
013292 	108 	94 	130 	130 
013293 	94 	94 	130 	130 
013294 	78 	96 	156 	156 
013295 	78 	96 	156 	156 
013296 	94 	109 	130 	130 
013297 	94 	109 	130 	130 
013298 	108 	109 	130 	130 
013299 	95 	113 	156 	156 
013300 	108 	123 	130 	130 
013301 	108 	123 	130 	130 
013302 	108 	123 	130 	130 
013303 	95 	113 	156 	156 
013304 	122 	123 	130 	130 
013305 	122 	123 	130 	130 
013306 	113 	113 	155 	156 
013307 	113 	113 	155 	156 
013308 	113 	96 	155 	156 
013309 	137 	109 	130 	130 
013310 	113 	96 	155 	156 
013311 	113 	79 	155 	156 
013312 	113 	79 	155 	156 
013313 	113 	79 	155 	156 
013314 	113 	79 	155 	156 
013315 	113 	79 	155 	156 
013316 	122 	80 	130 	130 
013317 	122 	80 	130 	130 
013318 	122 	80 	130 	130 
013319 	122 	80 	130 	130 
013320 	122 	80 	130 	130 
013321 	122 	80 	130 	130 
013322 	122 	80 	130 	130 
013323 	108 	80 	130 	130 
013324 	108 	80 	130 	130 
013325 	108 	80 	130 	130 
013326 	108 	80 	130 	130 
013327 	108 	80 	130 	130 
013328 	108 	80 	130 	130 
013329 	126 	90 	108 	109 
013330 	122 	94 	130 	130 
013331 	122 	94 	130 	130 
013332 	122 	94 	130 	130 
013333 	108 	80 	130 	130 
013334 	126 	102 	108 	109 
013335 	108 	94 	130 	130 
013336 	108 	94 	130 	130 
013337 	108 	94 	130 	130 
013338 	108 	94 	130 	130 
013339 	108 	94 	130 	130 
013340 	108 	94 	130 	130 
013341 	108 	94 	130 	130 
013342 	108 	94 	130 	130 
013343 	108 	94 	130 	130 
013344 	108 	94 	130 	130 
013345 	108 	80 	130 	130 
013346 	108 	80 	130 	130 
013347 	108 	80 	130 	130 
013348 	108 	94 	130 	130 
013349 	108 	80 	130 	130 
013350 	108 	80 	130 	130 
