Identity  : 	id10672
Reference : 	Fn4pgV_eucw
Offset    : 	-1
FV Conf   : 	15.276
ASD Conf  : 	7.614

FRAME 	X 	Y 	W 	H 
003227 	269 	78 	108 	109 
003228 	269 	78 	108 	109 
003229 	269 	78 	108 	109 
003230 	269 	78 	108 	109 
003231 	269 	78 	108 	109 
003232 	269 	78 	108 	109 
003233 	269 	90 	108 	109 
003234 	269 	90 	108 	109 
003235 	269 	90 	108 	109 
003236 	269 	90 	108 	109 
003237 	269 	90 	108 	109 
003238 	269 	90 	108 	109 
003239 	269 	90 	108 	109 
003240 	269 	90 	108 	109 
003241 	274 	95 	90 	91 
003242 	257 	78 	109 	109 
003243 	257 	78 	109 	109 
003244 	257 	78 	109 	109 
003245 	257 	78 	109 	109 
003246 	257 	78 	109 	109 
003247 	257 	78 	109 	109 
003248 	257 	66 	109 	109 
003249 	257 	66 	109 	109 
003250 	269 	66 	108 	109 
003251 	269 	66 	108 	109 
003252 	269 	66 	108 	109 
003253 	269 	66 	108 	109 
003254 	281 	66 	108 	109 
003255 	281 	66 	108 	109 
003256 	281 	66 	108 	109 
003257 	281 	66 	108 	109 
003258 	281 	66 	108 	109 
003259 	281 	66 	108 	109 
003260 	281 	66 	108 	109 
003261 	293 	66 	108 	109 
003262 	293 	66 	108 	109 
003263 	293 	66 	108 	109 
003264 	293 	66 	108 	109 
003265 	293 	66 	108 	109 
003266 	293 	66 	108 	109 
003267 	293 	66 	108 	109 
003268 	293 	66 	108 	109 
003269 	293 	66 	108 	109 
003270 	293 	66 	108 	109 
003271 	293 	66 	108 	109 
003272 	293 	66 	108 	109 
003273 	293 	66 	108 	109 
003274 	293 	66 	108 	109 
003275 	293 	66 	108 	109 
003276 	281 	66 	108 	109 
003277 	281 	54 	108 	109 
003278 	281 	54 	108 	109 
003279 	281 	54 	108 	109 
003280 	281 	54 	108 	109 
003281 	281 	54 	108 	109 
003282 	281 	54 	108 	109 
003283 	281 	54 	108 	109 
003284 	281 	54 	108 	109 
003285 	293 	54 	108 	109 
003286 	293 	54 	108 	109 
003287 	281 	54 	108 	109 
003288 	281 	54 	108 	109 
003289 	281 	43 	108 	108 
