Identity  : 	id10672
Reference : 	aSQjhy2k4qY
Offset    : 	0
FV Conf   : 	19.330
ASD Conf  : 	8.882

FRAME 	X 	Y 	W 	H 
006294 	365 	78 	108 	109 
006295 	365 	78 	108 	109 
006296 	365 	78 	108 	109 
006297 	383 	95 	91 	91 
006298 	383 	95 	91 	91 
006299 	383 	95 	91 	91 
006300 	383 	95 	91 	91 
006301 	383 	95 	91 	91 
006302 	383 	95 	91 	91 
006303 	383 	95 	91 	91 
006304 	383 	85 	91 	91 
006305 	383 	85 	91 	91 
006306 	383 	85 	91 	91 
006307 	373 	85 	91 	91 
006308 	373 	85 	91 	91 
006309 	373 	75 	91 	91 
006310 	377 	87 	76 	76 
006311 	353 	66 	108 	109 
006312 	353 	66 	108 	109 
006313 	353 	66 	108 	109 
006314 	353 	66 	108 	109 
006315 	353 	85 	91 	91 
006316 	353 	85 	91 	91 
006317 	341 	78 	108 	109 
006318 	341 	78 	108 	109 
006319 	341 	78 	108 	109 
006320 	341 	78 	108 	109 
006321 	341 	78 	108 	109 
006322 	341 	78 	108 	109 
006323 	341 	78 	108 	109 
006324 	341 	78 	108 	109 
006325 	341 	78 	108 	109 
006326 	341 	78 	108 	109 
006327 	341 	66 	108 	109 
006328 	341 	66 	108 	109 
006329 	341 	66 	108 	109 
006330 	341 	66 	108 	109 
006331 	353 	75 	91 	91 
006332 	353 	75 	91 	91 
006333 	353 	66 	108 	109 
006334 	353 	66 	108 	109 
006335 	353 	66 	108 	109 
006336 	353 	66 	108 	109 
006337 	353 	66 	108 	109 
006338 	369 	79 	76 	76 
006339 	363 	85 	91 	91 
006340 	363 	85 	91 	91 
006341 	363 	85 	91 	91 
006342 	363 	85 	91 	91 
006343 	363 	85 	91 	91 
006344 	363 	85 	91 	91 
006345 	365 	78 	108 	109 
006346 	365 	78 	108 	109 
006347 	365 	78 	108 	109 
006348 	365 	78 	108 	109 
006349 	373 	85 	91 	91 
006350 	373 	85 	91 	91 
006351 	365 	78 	108 	109 
006352 	383 	85 	91 	91 
006353 	383 	85 	91 	91 
006354 	376 	78 	109 	109 
006355 	383 	75 	91 	91 
006356 	376 	78 	109 	109 
006357 	376 	78 	109 	109 
006358 	376 	78 	109 	109 
006359 	376 	78 	109 	109 
006360 	376 	78 	109 	109 
006361 	376 	78 	109 	109 
006362 	376 	78 	109 	109 
006363 	383 	85 	91 	91 
006364 	383 	85 	91 	91 
006365 	383 	85 	91 	91 
006366 	376 	78 	109 	109 
006367 	376 	78 	109 	109 
006368 	376 	66 	109 	109 
006369 	376 	66 	109 	109 
006370 	376 	66 	109 	109 
006371 	376 	66 	109 	109 
006372 	376 	66 	109 	109 
006373 	376 	66 	109 	109 
006374 	383 	85 	91 	91 
006375 	383 	85 	91 	91 
006376 	383 	85 	91 	91 
006377 	383 	75 	91 	91 
006378 	373 	75 	91 	91 
006379 	373 	75 	91 	91 
006380 	373 	75 	91 	91 
006381 	363 	75 	91 	91 
006382 	353 	66 	108 	109 
006383 	353 	66 	108 	109 
006384 	353 	66 	108 	109 
006385 	341 	66 	108 	109 
006386 	341 	66 	108 	109 
006387 	341 	66 	108 	109 
006388 	341 	66 	108 	109 
006389 	341 	66 	108 	109 
006390 	341 	66 	108 	109 
006391 	341 	66 	108 	109 
006392 	341 	66 	108 	109 
006393 	341 	66 	108 	109 
006394 	341 	66 	108 	109 
006395 	341 	66 	108 	109 
006396 	353 	85 	91 	91 
006397 	353 	85 	91 	91 
006398 	353 	85 	91 	91 
006399 	341 	78 	108 	109 
006400 	341 	78 	108 	109 
006401 	341 	78 	108 	109 
006402 	341 	78 	108 	109 
006403 	341 	78 	108 	109 
006404 	341 	78 	108 	109 
006405 	341 	78 	108 	109 
006406 	341 	78 	108 	109 
006407 	341 	78 	108 	109 
006408 	341 	78 	108 	109 
006409 	341 	78 	108 	109 
006410 	341 	78 	108 	109 
006411 	353 	85 	91 	91 
006412 	353 	85 	91 	91 
006413 	353 	85 	91 	91 
006414 	363 	85 	91 	91 
006415 	363 	85 	91 	91 
006416 	363 	85 	91 	91 
006417 	363 	85 	91 	91 
006418 	363 	85 	91 	91 
006419 	363 	85 	91 	91 
006420 	363 	85 	91 	91 
006421 	353 	78 	108 	109 
006422 	353 	78 	108 	109 
006423 	353 	78 	108 	109 
006424 	353 	78 	108 	109 
006425 	363 	95 	91 	91 
006426 	353 	78 	108 	109 
006427 	353 	78 	108 	109 
006428 	353 	78 	108 	109 
006429 	363 	95 	91 	91 
006430 	363 	95 	91 	91 
006431 	363 	95 	91 	91 
006432 	363 	95 	91 	91 
006433 	363 	95 	91 	91 
006434 	363 	95 	91 	91 
006435 	353 	78 	108 	109 
006436 	353 	78 	108 	109 
006437 	353 	78 	108 	109 
006438 	353 	78 	108 	109 
006439 	353 	78 	108 	109 
006440 	363 	85 	91 	91 
006441 	363 	85 	91 	91 
006442 	363 	85 	91 	91 
006443 	353 	66 	108 	109 
006444 	353 	66 	108 	109 
006445 	353 	66 	108 	109 
006446 	353 	66 	108 	109 
006447 	353 	66 	108 	109 
006448 	353 	66 	108 	109 
006449 	353 	66 	108 	109 
006450 	353 	66 	108 	109 
006451 	353 	66 	108 	109 
006452 	353 	66 	108 	109 
006453 	353 	66 	108 	109 
006454 	353 	66 	108 	109 
006455 	353 	66 	108 	109 
006456 	353 	66 	108 	109 
006457 	363 	75 	91 	91 
006458 	363 	75 	91 	91 
006459 	363 	75 	91 	91 
006460 	363 	75 	91 	91 
006461 	363 	75 	91 	91 
006462 	363 	75 	91 	91 
006463 	363 	75 	91 	91 
006464 	373 	75 	91 	91 
006465 	373 	75 	91 	91 
006466 	373 	75 	91 	91 
006467 	365 	78 	108 	109 
006468 	373 	85 	91 	91 
006469 	365 	78 	108 	109 
006470 	365 	78 	108 	109 
006471 	365 	78 	108 	109 
006472 	383 	85 	91 	91 
006473 	376 	78 	109 	109 
006474 	376 	78 	109 	109 
006475 	383 	85 	91 	91 
006476 	383 	85 	91 	91 
006477 	383 	85 	91 	91 
006478 	376 	78 	109 	109 
006479 	376 	78 	109 	109 
006480 	383 	85 	91 	91 
006481 	383 	85 	91 	91 
006482 	383 	85 	91 	91 
006483 	376 	78 	109 	109 
006484 	376 	78 	109 	109 
006485 	376 	78 	109 	109 
006486 	383 	95 	91 	91 
006487 	383 	95 	91 	91 
006488 	383 	95 	91 	91 
006489 	383 	95 	91 	91 
006490 	383 	95 	91 	91 
006491 	383 	95 	91 	91 
006492 	373 	95 	91 	91 
006493 	373 	95 	91 	91 
006494 	365 	78 	108 	109 
006495 	373 	95 	91 	91 
006496 	373 	85 	91 	91 
006497 	365 	78 	108 	109 
006498 	363 	85 	91 	91 
006499 	363 	85 	91 	91 
006500 	363 	85 	91 	91 
006501 	353 	66 	108 	109 
006502 	353 	66 	108 	109 
006503 	341 	66 	108 	109 
006504 	341 	66 	108 	109 
006505 	341 	66 	108 	109 
006506 	341 	66 	108 	109 
006507 	341 	66 	108 	109 
006508 	341 	66 	108 	109 
006509 	341 	66 	108 	109 
006510 	341 	54 	108 	109 
006511 	353 	75 	91 	91 
006512 	353 	75 	91 	91 
006513 	353 	75 	91 	91 
006514 	353 	75 	91 	91 
006515 	353 	75 	91 	91 
006516 	353 	75 	91 	91 
006517 	353 	75 	91 	91 
006518 	341 	66 	108 	109 
006519 	353 	75 	91 	91 
006520 	353 	75 	91 	91 
006521 	353 	75 	91 	91 
006522 	353 	75 	91 	91 
006523 	363 	75 	91 	91 
006524 	363 	75 	91 	91 
006525 	363 	75 	91 	91 
006526 	363 	75 	91 	91 
006527 	363 	75 	91 	91 
006528 	363 	75 	91 	91 
006529 	363 	75 	91 	91 
006530 	363 	75 	91 	91 
006531 	363 	75 	91 	91 
006532 	365 	66 	108 	109 
006533 	363 	75 	91 	91 
006534 	363 	75 	91 	91 
006535 	363 	75 	91 	91 
006536 	363 	75 	91 	91 
006537 	363 	75 	91 	91 
006538 	373 	85 	91 	91 
006539 	373 	85 	91 	91 
006540 	373 	85 	91 	91 
006541 	373 	85 	91 	91 
006542 	373 	85 	91 	91 
006543 	373 	85 	91 	91 
006544 	373 	85 	91 	91 
006545 	373 	85 	91 	91 
006546 	373 	85 	91 	91 
006547 	373 	85 	91 	91 
006548 	373 	85 	91 	91 
006549 	373 	75 	91 	91 
006550 	373 	75 	91 	91 
006551 	373 	75 	91 	91 
006552 	373 	85 	91 	91 
006553 	373 	85 	91 	91 
006554 	373 	85 	91 	91 
006555 	373 	85 	91 	91 
006556 	365 	78 	108 	109 
006557 	365 	78 	108 	109 
006558 	365 	78 	108 	109 
006559 	365 	78 	108 	109 
006560 	365 	78 	108 	109 
006561 	373 	85 	91 	91 
006562 	373 	85 	91 	91 
006563 	373 	85 	91 	91 
006564 	373 	85 	91 	91 
006565 	373 	85 	91 	91 
006566 	373 	85 	91 	91 
006567 	373 	85 	91 	91 
006568 	373 	85 	91 	91 
006569 	363 	85 	91 	91 
006570 	363 	85 	91 	91 
006571 	363 	85 	91 	91 
006572 	353 	66 	108 	109 
006573 	363 	75 	91 	91 
006574 	363 	75 	91 	91 
006575 	363 	75 	91 	91 
006576 	353 	54 	108 	109 
006577 	363 	65 	91 	91 
006578 	363 	65 	91 	91 
006579 	363 	65 	91 	91 
006580 	363 	65 	91 	91 
006581 	353 	55 	91 	91 
006582 	341 	54 	108 	109 
006583 	341 	54 	108 	109 
006584 	341 	54 	108 	109 
006585 	341 	54 	108 	109 
006586 	343 	55 	91 	91 
006587 	329 	54 	108 	109 
006588 	329 	54 	108 	109 
006589 	329 	54 	108 	109 
006590 	329 	54 	108 	109 
006591 	333 	65 	91 	91 
006592 	333 	65 	91 	91 
006593 	333 	65 	91 	91 
006594 	333 	65 	91 	91 
006595 	333 	65 	91 	91 
006596 	333 	65 	91 	91 
006597 	329 	54 	108 	109 
006598 	333 	65 	91 	91 
006599 	329 	54 	108 	109 
006600 	343 	65 	91 	91 
006601 	343 	65 	91 	91 
006602 	343 	65 	91 	91 
006603 	343 	65 	91 	91 
006604 	343 	65 	91 	91 
006605 	343 	65 	91 	91 
006606 	343 	65 	91 	91 
006607 	343 	65 	91 	91 
006608 	343 	65 	91 	91 
006609 	343 	65 	91 	91 
006610 	343 	65 	91 	91 
006611 	343 	65 	91 	91 
006612 	343 	65 	91 	91 
006613 	343 	65 	91 	91 
006614 	343 	65 	91 	91 
006615 	341 	54 	108 	109 
006616 	343 	65 	91 	91 
006617 	341 	54 	108 	109 
006618 	341 	54 	108 	109 
006619 	341 	54 	108 	109 
006620 	341 	54 	108 	109 
006621 	353 	65 	91 	91 
006622 	353 	65 	91 	91 
006623 	353 	65 	91 	91 
006624 	353 	65 	91 	91 
006625 	341 	54 	108 	109 
006626 	341 	54 	108 	109 
006627 	341 	54 	108 	109 
006628 	341 	54 	108 	109 
006629 	353 	65 	91 	91 
006630 	353 	65 	91 	91 
006631 	353 	65 	91 	91 
006632 	353 	65 	91 	91 
006633 	353 	65 	91 	91 
006634 	353 	65 	91 	91 
006635 	353 	65 	91 	91 
006636 	353 	65 	91 	91 
006637 	353 	65 	91 	91 
006638 	353 	75 	91 	91 
006639 	353 	75 	91 	91 
006640 	353 	75 	91 	91 
006641 	353 	75 	91 	91 
006642 	353 	75 	91 	91 
006643 	353 	75 	91 	91 
006644 	341 	66 	108 	109 
006645 	341 	66 	108 	109 
006646 	341 	66 	108 	109 
006647 	341 	66 	108 	109 
006648 	341 	66 	108 	109 
006649 	341 	66 	108 	109 
006650 	341 	66 	108 	109 
006651 	341 	66 	108 	109 
006652 	341 	66 	108 	109 
006653 	341 	66 	108 	109 
006654 	353 	75 	91 	91 
006655 	353 	75 	91 	91 
006656 	353 	66 	108 	109 
006657 	363 	75 	91 	91 
006658 	363 	75 	91 	91 
006659 	363 	75 	91 	91 
006660 	363 	75 	91 	91 
006661 	363 	75 	91 	91 
006662 	363 	75 	91 	91 
006663 	363 	75 	91 	91 
006664 	363 	85 	91 	91 
006665 	363 	85 	91 	91 
006666 	373 	85 	91 	91 
006667 	373 	85 	91 	91 
006668 	373 	85 	91 	91 
006669 	373 	85 	91 	91 
006670 	373 	85 	91 	91 
006671 	373 	85 	91 	91 
006672 	373 	85 	91 	91 
006673 	373 	85 	91 	91 
006674 	373 	85 	91 	91 
006675 	373 	85 	91 	91 
006676 	363 	85 	91 	91 
006677 	363 	85 	91 	91 
006678 	363 	85 	91 	91 
006679 	363 	85 	91 	91 
