Identity  : 	id10680
Reference : 	bAHx-JT6BQg
Offset    : 	-2
FV Conf   : 	20.380
ASD Conf  : 	7.809

FRAME 	X 	Y 	W 	H 
006720 	274 	75 	90 	91 
006721 	274 	75 	90 	91 
006722 	274 	65 	90 	91 
006723 	274 	65 	90 	91 
006724 	274 	65 	90 	91 
006725 	274 	65 	90 	91 
006726 	274 	65 	90 	91 
006727 	274 	65 	90 	91 
006728 	274 	65 	90 	91 
006729 	274 	65 	90 	91 
006730 	274 	65 	90 	91 
006731 	269 	54 	108 	109 
006732 	269 	54 	108 	109 
006733 	269 	54 	108 	109 
006734 	284 	65 	90 	91 
006735 	269 	54 	108 	109 
006736 	284 	65 	90 	91 
006737 	284 	65 	90 	91 
006738 	284 	65 	90 	91 
006739 	284 	65 	90 	91 
006740 	284 	65 	90 	91 
006741 	284 	65 	90 	91 
006742 	284 	65 	90 	91 
006743 	284 	65 	90 	91 
006744 	284 	65 	90 	91 
006745 	269 	54 	108 	109 
006746 	284 	65 	90 	91 
006747 	284 	65 	90 	91 
006748 	284 	65 	90 	91 
006749 	284 	65 	90 	91 
006750 	284 	65 	90 	91 
006751 	284 	65 	90 	91 
006752 	269 	54 	108 	109 
006753 	269 	54 	108 	109 
006754 	274 	65 	90 	91 
006755 	264 	65 	90 	91 
006756 	264 	65 	90 	91 
006757 	264 	65 	90 	91 
006758 	264 	65 	90 	91 
006759 	257 	54 	109 	109 
006760 	257 	43 	109 	108 
006761 	257 	43 	109 	108 
006762 	257 	43 	109 	108 
006763 	257 	43 	109 	108 
006764 	274 	65 	90 	91 
006765 	257 	54 	109 	109 
006766 	257 	54 	109 	109 
006767 	257 	54 	109 	109 
006768 	257 	54 	109 	109 
006769 	257 	54 	109 	109 
006770 	264 	65 	90 	91 
006771 	264 	65 	90 	91 
006772 	264 	65 	90 	91 
006773 	264 	65 	90 	91 
006774 	264 	65 	90 	91 
006775 	264 	65 	90 	91 
006776 	264 	65 	90 	91 
006777 	264 	65 	90 	91 
006778 	257 	54 	109 	109 
006779 	257 	54 	109 	109 
006780 	269 	54 	108 	109 
006781 	269 	54 	108 	109 
006782 	269 	54 	108 	109 
006783 	269 	54 	108 	109 
006784 	269 	54 	108 	109 
006785 	269 	54 	108 	109 
006786 	269 	54 	108 	109 
006787 	284 	65 	90 	91 
006788 	284 	65 	90 	91 
006789 	284 	65 	90 	91 
006790 	284 	65 	90 	91 
006791 	284 	65 	90 	91 
006792 	284 	65 	90 	91 
006793 	269 	54 	108 	109 
006794 	269 	54 	108 	109 
006795 	269 	54 	108 	109 
006796 	274 	65 	90 	91 
006797 	274 	65 	90 	91 
006798 	274 	65 	90 	91 
006799 	274 	65 	90 	91 
006800 	274 	65 	90 	91 
006801 	274 	65 	90 	91 
006802 	274 	65 	90 	91 
006803 	274 	65 	90 	91 
006804 	274 	65 	90 	91 
006805 	274 	65 	90 	91 
006806 	274 	65 	90 	91 
006807 	274 	65 	90 	91 
006808 	274 	65 	90 	91 
006809 	274 	65 	90 	91 
006810 	274 	65 	90 	91 
006811 	274 	65 	90 	91 
006812 	274 	65 	90 	91 
006813 	274 	65 	90 	91 
006814 	274 	65 	90 	91 
006815 	274 	65 	90 	91 
006816 	274 	65 	90 	91 
006817 	274 	65 	90 	91 
006818 	274 	65 	90 	91 
006819 	274 	65 	90 	91 
006820 	274 	65 	90 	91 
006821 	274 	65 	90 	91 
006822 	274 	65 	90 	91 
006823 	274 	65 	90 	91 
006824 	274 	65 	90 	91 
006825 	274 	65 	90 	91 
006826 	274 	65 	90 	91 
006827 	274 	65 	90 	91 
006828 	274 	65 	90 	91 
006829 	274 	65 	90 	91 
006830 	274 	65 	90 	91 
006831 	274 	65 	90 	91 
006832 	274 	65 	90 	91 
006833 	274 	65 	90 	91 
006834 	274 	65 	90 	91 
006835 	274 	65 	90 	91 
006836 	274 	65 	90 	91 
006837 	274 	65 	90 	91 
006838 	274 	65 	90 	91 
006839 	274 	65 	90 	91 
006840 	274 	65 	90 	91 
006841 	274 	65 	90 	91 
006842 	274 	65 	90 	91 
006843 	274 	65 	90 	91 
006844 	274 	65 	90 	91 
006845 	274 	65 	90 	91 
006846 	274 	65 	90 	91 
006847 	274 	65 	90 	91 
006848 	274 	65 	90 	91 
006849 	274 	65 	90 	91 
006850 	274 	65 	90 	91 
006851 	274 	65 	90 	91 
006852 	274 	65 	90 	91 
006853 	274 	65 	90 	91 
006854 	274 	65 	90 	91 
006855 	274 	65 	90 	91 
006856 	274 	65 	90 	91 
006857 	274 	65 	90 	91 
006858 	274 	65 	90 	91 
006859 	274 	65 	90 	91 
006860 	274 	65 	90 	91 
006861 	274 	65 	90 	91 
