Identity  : 	id10684
Reference : 	9ssohTMYX1Y
Offset    : 	0
FV Conf   : 	23.115
ASD Conf  : 	6.219

FRAME 	X 	Y 	W 	H 
002261 	194 	85 	91 	91 
002262 	194 	85 	91 	91 
002263 	194 	85 	91 	91 
002264 	194 	85 	91 	91 
002265 	194 	85 	91 	91 
002266 	204 	85 	91 	91 
002267 	204 	85 	91 	91 
002268 	204 	85 	91 	91 
002269 	204 	85 	91 	91 
002270 	204 	85 	91 	91 
002271 	204 	85 	91 	91 
002272 	204 	85 	91 	91 
002273 	204 	85 	91 	91 
002274 	204 	85 	91 	91 
002275 	204 	85 	91 	91 
002276 	204 	85 	91 	91 
002277 	204 	85 	91 	91 
002278 	204 	85 	91 	91 
002279 	204 	85 	91 	91 
002280 	204 	85 	91 	91 
002281 	204 	85 	91 	91 
002282 	204 	85 	91 	91 
002283 	204 	85 	91 	91 
002284 	204 	85 	91 	91 
002285 	204 	85 	91 	91 
002286 	204 	85 	91 	91 
002287 	204 	85 	91 	91 
002288 	204 	85 	91 	91 
002289 	197 	66 	109 	109 
002290 	197 	66 	109 	109 
002291 	197 	66 	109 	109 
002292 	197 	66 	109 	109 
002293 	197 	66 	109 	109 
002294 	197 	66 	109 	109 
002295 	197 	66 	109 	109 
002296 	197 	66 	109 	109 
002297 	197 	66 	109 	109 
002298 	197 	66 	109 	109 
002299 	197 	66 	109 	109 
002300 	197 	66 	109 	109 
002301 	197 	66 	109 	109 
002302 	204 	85 	91 	91 
002303 	204 	85 	91 	91 
002304 	204 	85 	91 	91 
002305 	197 	66 	109 	109 
002306 	197 	66 	109 	109 
002307 	204 	85 	91 	91 
002308 	197 	78 	109 	109 
002309 	204 	85 	91 	91 
002310 	197 	78 	109 	109 
002311 	204 	85 	91 	91 
002312 	197 	78 	109 	109 
002313 	204 	85 	91 	91 
002314 	204 	85 	91 	91 
002315 	204 	85 	91 	91 
002316 	204 	85 	91 	91 
002317 	204 	85 	91 	91 
002318 	204 	85 	91 	91 
002319 	185 	78 	109 	109 
002320 	185 	78 	109 	109 
002321 	185 	78 	109 	109 
002322 	185 	78 	109 	109 
002323 	185 	78 	109 	109 
002324 	185 	78 	109 	109 
002325 	185 	78 	109 	109 
002326 	185 	78 	109 	109 
002327 	185 	78 	109 	109 
002328 	185 	78 	109 	109 
002329 	173 	78 	109 	109 
002330 	173 	78 	109 	109 
002331 	173 	78 	109 	109 
002332 	173 	78 	109 	109 
002333 	173 	78 	109 	109 
002334 	173 	78 	109 	109 
002335 	173 	78 	109 	109 
002336 	173 	78 	109 	109 
002337 	173 	78 	109 	109 
002338 	173 	78 	109 	109 
002339 	173 	78 	109 	109 
002340 	173 	78 	109 	109 
002341 	173 	78 	109 	109 
002342 	173 	78 	109 	109 
002343 	173 	78 	109 	109 
002344 	173 	78 	109 	109 
002345 	173 	78 	109 	109 
002346 	173 	78 	109 	109 
002347 	173 	78 	109 	109 
002348 	173 	78 	109 	109 
002349 	173 	78 	109 	109 
002350 	173 	78 	109 	109 
002351 	173 	78 	109 	109 
002352 	173 	78 	109 	109 
002353 	173 	78 	109 	109 
002354 	173 	78 	109 	109 
002355 	173 	78 	109 	109 
002356 	173 	78 	109 	109 
002357 	173 	78 	109 	109 
002358 	173 	78 	109 	109 
002359 	173 	78 	109 	109 
002360 	173 	78 	109 	109 
002361 	173 	78 	109 	109 
002362 	173 	78 	109 	109 
002363 	173 	90 	109 	109 
002364 	173 	90 	109 	109 
002365 	173 	90 	109 	109 
002366 	173 	90 	109 	109 
002367 	173 	90 	109 	109 
002368 	173 	90 	109 	109 
002369 	173 	90 	109 	109 
002370 	173 	90 	109 	109 
002371 	173 	90 	109 	109 
002372 	173 	90 	109 	109 
