Identity  : 	id10687
Reference : 	lNnZ52QSws4
Offset    : 	-1
FV Conf   : 	16.969
ASD Conf  : 	7.617

FRAME 	X 	Y 	W 	H 
010659 	336 	113 	156 	156 
010660 	336 	113 	156 	156 
010661 	336 	113 	156 	156 
010662 	336 	113 	156 	156 
010663 	336 	113 	156 	156 
010664 	336 	113 	156 	156 
010665 	336 	113 	156 	156 
010666 	336 	113 	156 	156 
010667 	336 	113 	156 	156 
010668 	336 	113 	156 	156 
010669 	336 	113 	156 	156 
010670 	336 	113 	156 	156 
010671 	336 	113 	156 	156 
010672 	336 	113 	156 	156 
010673 	336 	113 	156 	156 
010674 	336 	113 	156 	156 
010675 	336 	113 	156 	156 
010676 	336 	113 	156 	156 
010677 	336 	113 	156 	156 
010678 	336 	113 	156 	156 
010679 	336 	113 	156 	156 
010680 	336 	113 	156 	156 
010681 	336 	113 	156 	156 
010682 	336 	113 	156 	156 
010683 	336 	113 	156 	156 
010684 	336 	113 	156 	156 
010685 	336 	113 	156 	156 
010686 	336 	113 	156 	156 
010687 	336 	113 	156 	156 
010688 	336 	113 	156 	156 
010689 	336 	113 	156 	156 
010690 	336 	113 	156 	156 
010691 	336 	113 	156 	156 
010692 	336 	113 	156 	156 
010693 	336 	113 	156 	156 
010694 	336 	113 	156 	156 
010695 	336 	113 	156 	156 
010696 	336 	113 	156 	156 
010697 	336 	113 	156 	156 
010698 	336 	113 	156 	156 
010699 	336 	113 	156 	156 
010700 	336 	113 	156 	156 
010701 	336 	113 	156 	156 
010702 	336 	113 	156 	156 
010703 	336 	113 	156 	156 
010704 	336 	113 	156 	156 
010705 	336 	113 	156 	156 
010706 	336 	113 	156 	156 
010707 	336 	113 	156 	156 
010708 	336 	113 	156 	156 
010709 	336 	113 	156 	156 
010710 	336 	113 	156 	156 
010711 	336 	113 	156 	156 
010712 	336 	113 	156 	156 
010713 	336 	113 	156 	156 
010714 	336 	113 	156 	156 
010715 	336 	113 	156 	156 
010716 	336 	113 	156 	156 
010717 	336 	113 	156 	156 
010718 	336 	113 	156 	156 
010719 	336 	113 	156 	156 
010720 	336 	113 	156 	156 
010721 	336 	113 	156 	156 
010722 	336 	113 	156 	156 
010723 	336 	113 	156 	156 
010724 	336 	113 	156 	156 
010725 	336 	113 	156 	156 
010726 	336 	113 	156 	156 
010727 	336 	113 	156 	156 
010728 	336 	113 	156 	156 
010729 	336 	113 	156 	156 
010730 	336 	113 	156 	156 
010731 	336 	113 	156 	156 
010732 	336 	113 	156 	156 
010733 	336 	113 	156 	156 
010734 	336 	113 	156 	156 
010735 	336 	113 	156 	156 
010736 	336 	113 	156 	156 
010737 	336 	113 	156 	156 
010738 	336 	113 	156 	156 
010739 	336 	113 	156 	156 
010740 	336 	113 	156 	156 
010741 	336 	113 	156 	156 
010742 	336 	113 	156 	156 
010743 	336 	113 	156 	156 
010744 	336 	113 	156 	156 
010745 	336 	113 	156 	156 
010746 	336 	113 	156 	156 
010747 	336 	113 	156 	156 
010748 	336 	113 	156 	156 
010749 	336 	113 	156 	156 
010750 	336 	113 	156 	156 
010751 	336 	113 	156 	156 
010752 	336 	113 	156 	156 
010753 	336 	113 	156 	156 
010754 	336 	113 	156 	156 
010755 	336 	113 	156 	156 
010756 	336 	113 	156 	156 
010757 	336 	113 	156 	156 
010758 	336 	113 	156 	156 
010759 	336 	113 	156 	156 
010760 	336 	113 	156 	156 
010761 	336 	113 	156 	156 
010762 	336 	113 	156 	156 
010763 	336 	113 	156 	156 
010764 	336 	113 	156 	156 
010765 	336 	113 	156 	156 
010766 	336 	113 	156 	156 
010767 	336 	113 	156 	156 
010768 	336 	113 	156 	156 
010769 	336 	113 	156 	156 
