Identity  : 	id10687
Reference : 	qb9y-E0jdN0
Offset    : 	-2
FV Conf   : 	18.310
ASD Conf  : 	6.449

FRAME 	X 	Y 	W 	H 
001963 	362 	117 	44 	45 
001964 	359 	118 	53 	53 
001965 	354 	118 	53 	53 
001966 	354 	118 	53 	53 
001967 	354 	118 	53 	53 
001968 	354 	118 	53 	53 
001969 	354 	118 	53 	53 
001970 	354 	118 	53 	53 
001971 	354 	118 	53 	53 
001972 	354 	118 	53 	53 
001973 	362 	122 	44 	44 
001974 	354 	118 	53 	53 
001975 	354 	118 	53 	53 
001976 	354 	118 	53 	53 
001977 	354 	118 	53 	53 
001978 	354 	118 	53 	53 
001979 	354 	118 	53 	53 
001980 	354 	118 	53 	53 
001981 	354 	118 	53 	53 
001982 	362 	117 	44 	45 
001983 	362 	117 	44 	45 
001984 	362 	117 	44 	45 
001985 	362 	117 	44 	45 
001986 	362 	117 	44 	45 
001987 	362 	117 	44 	45 
001988 	362 	117 	44 	45 
001989 	362 	117 	44 	45 
001990 	359 	112 	53 	53 
001991 	359 	112 	53 	53 
001992 	359 	112 	53 	53 
001993 	359 	112 	53 	53 
001994 	359 	112 	53 	53 
001995 	359 	112 	53 	53 
001996 	359 	112 	53 	53 
001997 	359 	112 	53 	53 
001998 	359 	112 	53 	53 
001999 	359 	112 	53 	53 
002000 	359 	112 	53 	53 
002001 	359 	112 	53 	53 
002002 	359 	112 	53 	53 
002003 	359 	112 	53 	53 
002004 	359 	112 	53 	53 
002005 	359 	112 	53 	53 
002006 	367 	113 	44 	44 
002007 	367 	113 	44 	44 
002008 	359 	112 	53 	53 
002009 	359 	112 	53 	53 
002010 	359 	112 	53 	53 
002011 	359 	112 	53 	53 
002012 	359 	112 	53 	53 
002013 	359 	112 	53 	53 
002014 	359 	112 	53 	53 
002015 	359 	112 	53 	53 
002016 	359 	112 	53 	53 
002017 	359 	112 	53 	53 
002018 	359 	112 	53 	53 
002019 	359 	112 	53 	53 
002020 	359 	112 	53 	53 
002021 	359 	112 	53 	53 
002022 	359 	112 	53 	53 
002023 	359 	112 	53 	53 
002024 	359 	112 	53 	53 
002025 	359 	112 	53 	53 
002026 	359 	112 	53 	53 
002027 	359 	112 	53 	53 
002028 	359 	112 	53 	53 
002029 	359 	112 	53 	53 
002030 	359 	112 	53 	53 
002031 	359 	112 	53 	53 
002032 	359 	112 	53 	53 
002033 	359 	112 	53 	53 
002034 	359 	112 	53 	53 
002035 	359 	112 	53 	53 
002036 	359 	112 	53 	53 
002037 	359 	112 	53 	53 
002038 	359 	112 	53 	53 
002039 	359 	112 	53 	53 
002040 	359 	112 	53 	53 
002041 	359 	112 	53 	53 
002042 	359 	112 	53 	53 
002043 	359 	112 	53 	53 
002044 	359 	112 	53 	53 
002045 	359 	112 	53 	53 
002046 	359 	112 	53 	53 
002047 	359 	112 	53 	53 
002048 	359 	112 	53 	53 
002049 	359 	112 	53 	53 
002050 	359 	107 	53 	52 
002051 	359 	107 	53 	52 
002052 	359 	107 	53 	52 
002053 	359 	107 	53 	52 
002054 	359 	107 	53 	52 
002055 	359 	107 	53 	52 
002056 	359 	107 	53 	52 
002057 	359 	107 	53 	52 
002058 	359 	107 	53 	52 
002059 	367 	113 	44 	44 
002060 	359 	112 	53 	53 
002061 	359 	112 	53 	53 
002062 	359 	112 	53 	53 
002063 	359 	112 	53 	53 
002064 	359 	112 	53 	53 
002065 	359 	112 	53 	53 
002066 	359 	112 	53 	53 
002067 	359 	112 	53 	53 
002068 	359 	112 	53 	53 
002069 	359 	112 	53 	53 
002070 	359 	112 	53 	53 
002071 	359 	112 	53 	53 
002072 	359 	112 	53 	53 
002073 	359 	112 	53 	53 
002074 	362 	117 	44 	45 
002075 	362 	117 	44 	45 
002076 	362 	117 	44 	45 
002077 	362 	117 	44 	45 
002078 	354 	118 	53 	53 
002079 	359 	118 	53 	53 
002080 	359 	118 	53 	53 
002081 	359 	118 	53 	53 
002082 	362 	122 	44 	44 
002083 	359 	118 	53 	53 
002084 	362 	122 	44 	44 
002085 	362 	122 	44 	44 
002086 	359 	118 	53 	53 
002087 	359 	118 	53 	53 
002088 	359 	118 	53 	53 
002089 	359 	118 	53 	53 
002090 	359 	118 	53 	53 
002091 	359 	118 	53 	53 
002092 	359 	118 	53 	53 
002093 	359 	118 	53 	53 
002094 	359 	118 	53 	53 
002095 	359 	118 	53 	53 
002096 	359 	118 	53 	53 
002097 	359 	118 	53 	53 
002098 	359 	118 	53 	53 
002099 	365 	118 	53 	53 
002100 	365 	118 	53 	53 
002101 	365 	118 	53 	53 
002102 	365 	118 	53 	53 
002103 	365 	118 	53 	53 
002104 	365 	118 	53 	53 
002105 	367 	122 	44 	44 
002106 	359 	118 	53 	53 
002107 	359 	118 	53 	53 
002108 	359 	118 	53 	53 
002109 	359 	118 	53 	53 
002110 	359 	118 	53 	53 
002111 	359 	118 	53 	53 
002112 	359 	118 	53 	53 
002113 	359 	118 	53 	53 
002114 	359 	118 	53 	53 
002115 	359 	112 	53 	53 
002116 	359 	112 	53 	53 
002117 	359 	112 	53 	53 
002118 	362 	117 	44 	45 
002119 	354 	112 	53 	53 
002120 	354 	112 	53 	53 
002121 	354 	112 	53 	53 
002122 	354 	112 	53 	53 
002123 	354 	112 	53 	53 
002124 	354 	112 	53 	53 
002125 	354 	112 	53 	53 
002126 	354 	107 	53 	52 
002127 	354 	107 	53 	52 
002128 	348 	107 	53 	52 
002129 	348 	107 	53 	52 
002130 	354 	107 	53 	52 
002131 	354 	107 	53 	52 
002132 	354 	107 	53 	52 
002133 	354 	107 	53 	52 
002134 	354 	107 	53 	52 
002135 	354 	107 	53 	52 
002136 	348 	107 	53 	52 
002137 	348 	107 	53 	52 
002138 	348 	107 	53 	52 
002139 	348 	107 	53 	52 
002140 	348 	107 	53 	52 
002141 	348 	107 	53 	52 
002142 	348 	107 	53 	52 
002143 	348 	107 	53 	52 
002144 	348 	107 	53 	52 
