Identity  : 	id10688
Reference : 	67CYx74uG80
Offset    : 	-1
FV Conf   : 	15.454
ASD Conf  : 	8.084

FRAME 	X 	Y 	W 	H 
000895 	216 	79 	156 	156 
000896 	216 	79 	156 	156 
000897 	216 	79 	156 	156 
000898 	216 	79 	156 	156 
000899 	216 	79 	156 	156 
000900 	216 	79 	156 	156 
000901 	216 	79 	156 	156 
000902 	237 	94 	130 	130 
000903 	237 	94 	130 	130 
000904 	237 	94 	130 	130 
000905 	237 	94 	130 	130 
000906 	237 	94 	130 	130 
000907 	237 	94 	130 	130 
000908 	237 	94 	130 	130 
000909 	216 	79 	156 	156 
000910 	216 	79 	156 	156 
000911 	216 	79 	156 	156 
000912 	237 	94 	130 	130 
000913 	216 	79 	156 	156 
000914 	237 	94 	130 	130 
000915 	237 	94 	130 	130 
000916 	237 	94 	130 	130 
000917 	237 	94 	130 	130 
000918 	237 	94 	130 	130 
000919 	237 	94 	130 	130 
000920 	237 	94 	130 	130 
000921 	237 	94 	130 	130 
000922 	237 	94 	130 	130 
000923 	237 	94 	130 	130 
000924 	237 	94 	130 	130 
000925 	237 	94 	130 	130 
000926 	237 	94 	130 	130 
000927 	237 	94 	130 	130 
000928 	237 	94 	130 	130 
000929 	233 	79 	156 	156 
000930 	233 	79 	156 	156 
000931 	233 	79 	156 	156 
000932 	233 	79 	156 	156 
000933 	233 	79 	156 	156 
000934 	233 	79 	156 	156 
000935 	233 	79 	156 	156 
000936 	233 	79 	156 	156 
000937 	251 	80 	130 	130 
000938 	251 	80 	130 	130 
000939 	251 	80 	130 	130 
000940 	251 	80 	130 	130 
000941 	250 	62 	156 	155 
000942 	250 	62 	156 	155 
000943 	250 	62 	156 	155 
000944 	250 	62 	156 	155 
000945 	250 	79 	156 	156 
000946 	250 	79 	156 	156 
000947 	266 	80 	130 	130 
000948 	250 	62 	156 	155 
000949 	250 	62 	156 	155 
000950 	250 	62 	156 	155 
000951 	250 	62 	156 	155 
000952 	250 	62 	156 	155 
000953 	250 	62 	156 	155 
000954 	250 	62 	156 	155 
000955 	250 	62 	156 	155 
000956 	267 	62 	156 	155 
000957 	267 	62 	156 	155 
000958 	267 	62 	156 	155 
000959 	266 	80 	130 	130 
000960 	266 	80 	130 	130 
000961 	266 	80 	130 	130 
000962 	266 	80 	130 	130 
000963 	250 	79 	156 	156 
000964 	250 	79 	156 	156 
000965 	250 	79 	156 	156 
000966 	250 	79 	156 	156 
000967 	266 	80 	130 	130 
000968 	250 	79 	156 	156 
000969 	250 	79 	156 	156 
000970 	250 	79 	156 	156 
000971 	250 	79 	156 	156 
000972 	251 	80 	130 	130 
000973 	233 	79 	156 	156 
000974 	233 	79 	156 	156 
000975 	233 	79 	156 	156 
000976 	233 	79 	156 	156 
000977 	233 	79 	156 	156 
000978 	233 	79 	156 	156 
000979 	233 	79 	156 	156 
000980 	251 	80 	130 	130 
000981 	251 	80 	130 	130 
000982 	251 	80 	130 	130 
000983 	251 	80 	130 	130 
000984 	251 	80 	130 	130 
000985 	251 	94 	130 	130 
000986 	251 	94 	130 	130 
000987 	251 	94 	130 	130 
000988 	251 	94 	130 	130 
000989 	251 	80 	130 	130 
000990 	251 	80 	130 	130 
000991 	233 	79 	156 	156 
000992 	233 	79 	156 	156 
000993 	251 	94 	130 	130 
000994 	233 	79 	156 	156 
000995 	233 	79 	156 	156 
000996 	233 	79 	156 	156 
000997 	233 	79 	156 	156 
000998 	251 	80 	130 	130 
000999 	251 	80 	130 	130 
001000 	251 	80 	130 	130 
001001 	250 	79 	156 	156 
001002 	250 	79 	156 	156 
001003 	250 	79 	156 	156 
001004 	250 	79 	156 	156 
001005 	250 	79 	156 	156 
001006 	250 	79 	156 	156 
001007 	250 	79 	156 	156 
001008 	250 	79 	156 	156 
001009 	250 	79 	156 	156 
001010 	250 	79 	156 	156 
001011 	251 	80 	130 	130 
001012 	251 	80 	130 	130 
001013 	251 	80 	130 	130 
001014 	233 	79 	156 	156 
001015 	233 	79 	156 	156 
001016 	233 	79 	156 	156 
001017 	233 	79 	156 	156 
001018 	251 	80 	130 	130 
001019 	250 	79 	156 	156 
001020 	250 	79 	156 	156 
001021 	250 	79 	156 	156 
001022 	250 	79 	156 	156 
001023 	266 	80 	130 	130 
001024 	266 	80 	130 	130 
001025 	266 	80 	130 	130 
001026 	251 	80 	130 	130 
001027 	233 	79 	156 	156 
001028 	233 	79 	156 	156 
001029 	216 	79 	156 	156 
001030 	223 	80 	130 	130 
001031 	208 	80 	130 	130 
001032 	208 	80 	130 	130 
001033 	208 	80 	130 	130 
001034 	208 	80 	130 	130 
001035 	208 	80 	130 	130 
001036 	199 	79 	155 	156 
001037 	199 	79 	155 	156 
001038 	223 	94 	130 	130 
001039 	216 	79 	156 	156 
001040 	216 	79 	156 	156 
001041 	233 	79 	156 	156 
001042 	233 	79 	156 	156 
001043 	233 	79 	156 	156 
001044 	233 	79 	156 	156 
001045 	233 	79 	156 	156 
001046 	237 	94 	130 	130 
001047 	237 	94 	130 	130 
001048 	216 	79 	156 	156 
001049 	216 	79 	156 	156 
001050 	216 	79 	156 	156 
001051 	237 	94 	130 	130 
001052 	233 	79 	156 	156 
001053 	233 	79 	156 	156 
001054 	233 	79 	156 	156 
001055 	233 	79 	156 	156 
001056 	233 	79 	156 	156 
001057 	233 	79 	156 	156 
