Identity  : 	id10688
Reference : 	7C2YbZS9xvo
Offset    : 	-2
FV Conf   : 	13.388
ASD Conf  : 	9.310

FRAME 	X 	Y 	W 	H 
003806 	107 	80 	63 	63 
003807 	107 	80 	63 	63 
003808 	95 	71 	76 	75 
003809 	95 	71 	76 	75 
003810 	95 	71 	76 	75 
003811 	95 	71 	76 	75 
003812 	95 	71 	76 	75 
003813 	107 	80 	63 	63 
003814 	107 	80 	63 	63 
003815 	107 	80 	63 	63 
003816 	107 	80 	63 	63 
003817 	107 	80 	63 	63 
003818 	107 	80 	63 	63 
003819 	107 	80 	63 	63 
003820 	107 	80 	63 	63 
003821 	107 	80 	63 	63 
003822 	107 	80 	63 	63 
003823 	107 	80 	63 	63 
003824 	103 	71 	76 	75 
003825 	107 	80 	63 	63 
003826 	107 	80 	63 	63 
003827 	107 	80 	63 	63 
003828 	103 	71 	76 	75 
003829 	103 	71 	76 	75 
003830 	107 	80 	63 	63 
003831 	107 	80 	63 	63 
003832 	95 	71 	76 	75 
003833 	95 	71 	76 	75 
003834 	95 	71 	76 	75 
003835 	95 	71 	76 	75 
003836 	95 	71 	76 	75 
003837 	107 	80 	63 	63 
003838 	107 	80 	63 	63 
003839 	107 	80 	63 	63 
003840 	107 	80 	63 	63 
003841 	107 	80 	63 	63 
003842 	107 	80 	63 	63 
003843 	107 	80 	63 	63 
003844 	107 	80 	63 	63 
003845 	107 	80 	63 	63 
003846 	107 	80 	63 	63 
003847 	107 	80 	63 	63 
003848 	103 	79 	76 	76 
003849 	103 	79 	76 	76 
003850 	103 	79 	76 	76 
003851 	103 	79 	76 	76 
003852 	103 	79 	76 	76 
003853 	103 	79 	76 	76 
003854 	103 	79 	76 	76 
003855 	103 	79 	76 	76 
003856 	103 	79 	76 	76 
003857 	103 	79 	76 	76 
003858 	103 	79 	76 	76 
003859 	103 	79 	76 	76 
003860 	103 	79 	76 	76 
003861 	103 	79 	76 	76 
003862 	103 	79 	76 	76 
003863 	103 	79 	76 	76 
003864 	103 	79 	76 	76 
003865 	114 	80 	63 	63 
003866 	103 	79 	76 	76 
003867 	103 	79 	76 	76 
003868 	114 	87 	63 	63 
003869 	114 	87 	63 	63 
003870 	114 	87 	63 	63 
003871 	103 	79 	76 	76 
003872 	103 	79 	76 	76 
003873 	103 	79 	76 	76 
003874 	103 	79 	76 	76 
003875 	103 	79 	76 	76 
003876 	103 	79 	76 	76 
003877 	103 	79 	76 	76 
003878 	103 	79 	76 	76 
003879 	103 	79 	76 	76 
003880 	103 	79 	76 	76 
003881 	103 	79 	76 	76 
003882 	103 	79 	76 	76 
003883 	107 	80 	63 	63 
003884 	107 	80 	63 	63 
003885 	103 	71 	76 	75 
003886 	103 	71 	76 	75 
003887 	103 	71 	76 	75 
003888 	107 	80 	63 	63 
003889 	103 	71 	76 	75 
003890 	103 	71 	76 	75 
003891 	103 	71 	76 	75 
003892 	103 	71 	76 	75 
003893 	103 	71 	76 	75 
003894 	103 	71 	76 	75 
003895 	103 	71 	76 	75 
003896 	103 	71 	76 	75 
003897 	103 	71 	76 	75 
003898 	103 	79 	76 	76 
003899 	103 	79 	76 	76 
003900 	114 	87 	63 	63 
003901 	114 	87 	63 	63 
003902 	114 	87 	63 	63 
003903 	112 	79 	75 	76 
003904 	112 	79 	75 	76 
003905 	112 	79 	75 	76 
003906 	114 	80 	63 	63 
003907 	114 	80 	63 	63 
003908 	114 	80 	63 	63 
003909 	103 	71 	76 	75 
003910 	103 	71 	76 	75 
003911 	103 	71 	76 	75 
003912 	103 	71 	76 	75 
003913 	103 	71 	76 	75 
003914 	103 	71 	76 	75 
003915 	103 	71 	76 	75 
003916 	103 	71 	76 	75 
003917 	103 	71 	76 	75 
003918 	103 	71 	76 	75 
003919 	103 	71 	76 	75 
003920 	103 	71 	76 	75 
003921 	103 	71 	76 	75 
003922 	103 	79 	76 	76 
003923 	103 	79 	76 	76 
003924 	103 	79 	76 	76 
003925 	103 	79 	76 	76 
003926 	103 	79 	76 	76 
003927 	114 	87 	63 	63 
003928 	114 	87 	63 	63 
003929 	112 	79 	75 	76 
003930 	112 	79 	75 	76 
003931 	114 	87 	63 	63 
003932 	114 	87 	63 	63 
003933 	103 	79 	76 	76 
003934 	103 	79 	76 	76 
003935 	103 	79 	76 	76 
003936 	103 	71 	76 	75 
003937 	103 	71 	76 	75 
003938 	103 	71 	76 	75 
003939 	107 	80 	63 	63 
003940 	103 	71 	76 	75 
003941 	107 	80 	63 	63 
003942 	95 	71 	76 	75 
003943 	95 	71 	76 	75 
003944 	95 	71 	76 	75 
003945 	95 	71 	76 	75 
003946 	95 	71 	76 	75 
003947 	95 	71 	76 	75 
003948 	107 	80 	63 	63 
003949 	107 	80 	63 	63 
003950 	107 	80 	63 	63 
003951 	103 	71 	76 	75 
003952 	103 	71 	76 	75 
003953 	103 	71 	76 	75 
003954 	103 	71 	76 	75 
003955 	103 	71 	76 	75 
003956 	103 	71 	76 	75 
003957 	103 	71 	76 	75 
003958 	103 	71 	76 	75 
003959 	103 	71 	76 	75 
003960 	103 	71 	76 	75 
003961 	103 	71 	76 	75 
003962 	103 	71 	76 	75 
003963 	103 	71 	76 	75 
003964 	103 	71 	76 	75 
003965 	103 	71 	76 	75 
003966 	103 	71 	76 	75 
003967 	95 	71 	76 	75 
003968 	95 	71 	76 	75 
003969 	100 	80 	63 	63 
003970 	100 	80 	63 	63 
