Identity  : 	id10699
Reference : 	osKRJvoF-K8
Offset    : 	-4
FV Conf   : 	15.258
ASD Conf  : 	8.931

FRAME 	X 	Y 	W 	H 
019044 	237 	80 	130 	130 
019045 	237 	80 	130 	130 
019046 	237 	80 	130 	130 
019047 	237 	80 	130 	130 
019048 	237 	80 	130 	130 
019049 	251 	80 	130 	130 
019050 	251 	80 	130 	130 
019051 	251 	80 	130 	130 
019052 	251 	80 	130 	130 
019053 	251 	80 	130 	130 
019054 	269 	90 	108 	109 
019055 	269 	90 	108 	109 
019056 	269 	90 	108 	109 
019057 	269 	90 	108 	109 
019058 	269 	90 	108 	109 
019059 	269 	90 	108 	109 
019060 	269 	90 	108 	109 
019061 	269 	90 	108 	109 
019062 	269 	90 	108 	109 
019063 	269 	90 	108 	109 
019064 	269 	90 	108 	109 
019065 	269 	90 	108 	109 
019066 	269 	90 	108 	109 
019067 	269 	90 	108 	109 
019068 	269 	102 	108 	109 
019069 	269 	102 	108 	109 
019070 	269 	102 	108 	109 
019071 	269 	90 	108 	109 
019072 	269 	90 	108 	109 
019073 	266 	80 	130 	130 
019074 	266 	80 	130 	130 
019075 	269 	90 	108 	109 
019076 	269 	90 	108 	109 
019077 	269 	90 	108 	109 
019078 	269 	90 	108 	109 
019079 	269 	90 	108 	109 
019080 	269 	90 	108 	109 
019081 	269 	90 	108 	109 
019082 	269 	90 	108 	109 
019083 	269 	90 	108 	109 
019084 	251 	80 	130 	130 
019085 	269 	90 	108 	109 
019086 	269 	90 	108 	109 
019087 	269 	90 	108 	109 
019088 	269 	90 	108 	109 
019089 	269 	90 	108 	109 
019090 	269 	90 	108 	109 
019091 	269 	90 	108 	109 
019092 	269 	90 	108 	109 
019093 	269 	78 	108 	109 
019094 	251 	66 	130 	130 
019095 	251 	66 	130 	130 
019096 	237 	66 	130 	130 
019097 	237 	66 	130 	130 
019098 	237 	66 	130 	130 
019099 	237 	66 	130 	130 
019100 	237 	66 	130 	130 
019101 	237 	66 	130 	130 
019102 	251 	80 	130 	130 
019103 	251 	80 	130 	130 
019104 	251 	80 	130 	130 
019105 	269 	90 	108 	109 
019106 	269 	90 	108 	109 
019107 	269 	90 	108 	109 
019108 	266 	80 	130 	130 
019109 	266 	80 	130 	130 
019110 	266 	80 	130 	130 
019111 	266 	80 	130 	130 
019112 	266 	80 	130 	130 
019113 	266 	80 	130 	130 
019114 	266 	80 	130 	130 
019115 	266 	80 	130 	130 
019116 	266 	80 	130 	130 
019117 	266 	80 	130 	130 
019118 	269 	90 	108 	109 
019119 	269 	90 	108 	109 
019120 	266 	80 	130 	130 
019121 	269 	90 	108 	109 
019122 	269 	90 	108 	109 
019123 	269 	90 	108 	109 
019124 	269 	90 	108 	109 
019125 	251 	80 	130 	130 
019126 	251 	80 	130 	130 
019127 	251 	80 	130 	130 
019128 	251 	80 	130 	130 
019129 	251 	80 	130 	130 
019130 	251 	80 	130 	130 
019131 	251 	80 	130 	130 
019132 	257 	90 	109 	109 
019133 	257 	90 	109 	109 
019134 	251 	80 	130 	130 
019135 	257 	90 	109 	109 
019136 	257 	90 	109 	109 
019137 	257 	90 	109 	109 
019138 	251 	80 	130 	130 
019139 	251 	80 	130 	130 
019140 	269 	78 	108 	109 
019141 	251 	66 	130 	130 
019142 	257 	78 	109 	109 
019143 	257 	78 	109 	109 
019144 	257 	78 	109 	109 
019145 	251 	80 	130 	130 
019146 	251 	80 	130 	130 
019147 	251 	80 	130 	130 
019148 	251 	80 	130 	130 
019149 	257 	90 	109 	109 
019150 	257 	90 	109 	109 
019151 	237 	80 	130 	130 
019152 	237 	80 	130 	130 
019153 	245 	90 	109 	109 
019154 	245 	90 	109 	109 
019155 	245 	90 	109 	109 
019156 	245 	102 	109 	109 
019157 	233 	102 	109 	109 
019158 	233 	102 	109 	109 
019159 	233 	102 	109 	109 
019160 	221 	102 	109 	109 
019161 	221 	102 	109 	109 
019162 	221 	102 	109 	109 
019163 	221 	102 	109 	109 
019164 	221 	102 	109 	109 
019165 	221 	102 	109 	109 
019166 	221 	102 	109 	109 
019167 	221 	90 	109 	109 
019168 	233 	102 	109 	109 
019169 	233 	102 	109 	109 
019170 	233 	90 	109 	109 
019171 	237 	80 	130 	130 
