Identity  : 	id10712
Reference : 	BNF3cazlV_k
Offset    : 	0
FV Conf   : 	13.252
ASD Conf  : 	4.474

FRAME 	X 	Y 	W 	H 
006931 	194 	95 	91 	91 
006932 	194 	95 	91 	91 
006933 	194 	95 	91 	91 
006934 	184 	95 	91 	91 
006935 	184 	95 	91 	91 
006936 	184 	95 	91 	91 
006937 	184 	95 	91 	91 
006938 	184 	95 	91 	91 
006939 	184 	95 	91 	91 
006940 	184 	95 	91 	91 
006941 	184 	95 	91 	91 
006942 	184 	95 	91 	91 
006943 	184 	95 	91 	91 
006944 	184 	95 	91 	91 
006945 	184 	95 	91 	91 
006946 	184 	95 	91 	91 
006947 	184 	95 	91 	91 
006948 	184 	95 	91 	91 
006949 	184 	95 	91 	91 
006950 	184 	95 	91 	91 
006951 	184 	95 	91 	91 
006952 	184 	95 	91 	91 
006953 	184 	95 	91 	91 
006954 	184 	95 	91 	91 
006955 	184 	95 	91 	91 
006956 	184 	95 	91 	91 
006957 	184 	95 	91 	91 
006958 	184 	95 	91 	91 
006959 	184 	85 	91 	91 
006960 	184 	85 	91 	91 
006961 	184 	85 	91 	91 
006962 	184 	85 	91 	91 
006963 	184 	85 	91 	91 
006964 	184 	85 	91 	91 
006965 	186 	87 	76 	76 
006966 	186 	87 	76 	76 
006967 	186 	87 	76 	76 
006968 	186 	87 	76 	76 
006969 	174 	75 	91 	91 
006970 	174 	75 	91 	91 
006971 	174 	75 	91 	91 
006972 	174 	75 	91 	91 
006973 	174 	75 	91 	91 
006974 	178 	79 	76 	76 
006975 	178 	71 	76 	75 
006976 	178 	71 	76 	75 
006977 	178 	71 	76 	75 
006978 	174 	65 	91 	91 
006979 	186 	71 	76 	75 
006980 	186 	71 	76 	75 
006981 	195 	79 	75 	76 
006982 	195 	79 	75 	76 
006983 	194 	75 	91 	91 
006984 	194 	75 	91 	91 
006985 	194 	75 	91 	91 
006986 	204 	75 	91 	91 
006987 	204 	75 	91 	91 
006988 	204 	85 	91 	91 
006989 	204 	85 	91 	91 
006990 	204 	85 	91 	91 
006991 	197 	78 	109 	109 
006992 	204 	95 	91 	91 
006993 	204 	95 	91 	91 
006994 	204 	95 	91 	91 
006995 	204 	95 	91 	91 
006996 	204 	95 	91 	91 
006997 	204 	95 	91 	91 
006998 	204 	95 	91 	91 
006999 	204 	95 	91 	91 
007000 	204 	95 	91 	91 
007001 	204 	95 	91 	91 
007002 	204 	95 	91 	91 
007003 	197 	78 	109 	109 
007004 	197 	78 	109 	109 
007005 	197 	78 	109 	109 
007006 	204 	85 	91 	91 
007007 	204 	85 	91 	91 
007008 	203 	96 	76 	75 
007009 	194 	85 	91 	91 
007010 	194 	85 	91 	91 
007011 	194 	85 	91 	91 
007012 	195 	96 	75 	75 
007013 	195 	96 	75 	75 
007014 	184 	85 	91 	91 
007015 	184 	95 	91 	91 
007016 	184 	95 	91 	91 
007017 	194 	95 	91 	91 
007018 	200 	95 	86 	86 
007019 	205 	96 	81 	80 
007020 	211 	96 	76 	75 
007021 	204 	85 	91 	91 
007022 	204 	85 	91 	91 
007023 	204 	85 	91 	91 
007024 	204 	85 	91 	91 
007025 	204 	85 	91 	91 
007026 	204 	85 	91 	91 
007027 	204 	85 	91 	91 
007028 	204 	75 	91 	91 
007029 	204 	75 	91 	91 
007030 	204 	75 	91 	91 
