Identity  : 	id10712
Reference : 	PUHBYB5mbWE
Offset    : 	-2
FV Conf   : 	19.769
ASD Conf  : 	5.598

FRAME 	X 	Y 	W 	H 
026126 	165 	66 	130 	130 
026127 	165 	66 	130 	130 
026128 	165 	66 	130 	130 
026129 	165 	66 	130 	130 
026130 	165 	66 	130 	130 
026131 	165 	80 	130 	130 
026132 	165 	80 	130 	130 
026133 	165 	80 	130 	130 
026134 	165 	80 	130 	130 
026135 	165 	80 	130 	130 
026136 	165 	80 	130 	130 
026137 	165 	80 	130 	130 
026138 	165 	80 	130 	130 
026139 	165 	80 	130 	130 
026140 	165 	80 	130 	130 
026141 	165 	80 	130 	130 
026142 	165 	80 	130 	130 
026143 	165 	80 	130 	130 
026144 	165 	80 	130 	130 
026145 	165 	80 	130 	130 
026146 	165 	80 	130 	130 
026147 	165 	80 	130 	130 
026148 	165 	80 	130 	130 
026149 	165 	80 	130 	130 
026150 	165 	80 	130 	130 
026151 	165 	80 	130 	130 
026152 	165 	80 	130 	130 
026153 	165 	94 	130 	130 
026154 	165 	94 	130 	130 
026155 	165 	94 	130 	130 
026156 	165 	94 	130 	130 
026157 	165 	94 	130 	130 
026158 	165 	80 	130 	130 
026159 	165 	80 	130 	130 
026160 	165 	80 	130 	130 
026161 	165 	94 	130 	130 
026162 	165 	94 	130 	130 
026163 	165 	94 	130 	130 
026164 	180 	80 	130 	130 
026165 	180 	80 	130 	130 
026166 	180 	80 	130 	130 
026167 	180 	80 	130 	130 
026168 	165 	80 	130 	130 
026169 	165 	80 	130 	130 
026170 	165 	94 	130 	130 
026171 	165 	94 	130 	130 
026172 	165 	94 	130 	130 
026173 	165 	94 	130 	130 
026174 	165 	94 	130 	130 
026175 	165 	94 	130 	130 
026176 	165 	80 	130 	130 
026177 	180 	80 	130 	130 
026178 	180 	80 	130 	130 
026179 	180 	80 	130 	130 
026180 	180 	80 	130 	130 
026181 	180 	80 	130 	130 
026182 	194 	94 	130 	130 
026183 	201 	94 	130 	130 
026184 	208 	94 	130 	130 
026185 	208 	94 	130 	130 
026186 	223 	94 	130 	130 
026187 	223 	94 	130 	130 
026188 	223 	94 	130 	130 
026189 	223 	94 	130 	130 
026190 	223 	94 	130 	130 
026191 	223 	94 	130 	130 
026192 	223 	94 	130 	130 
026193 	223 	94 	130 	130 
026194 	223 	94 	130 	130 
026195 	223 	94 	130 	130 
026196 	223 	94 	130 	130 
026197 	223 	94 	130 	130 
026198 	223 	94 	130 	130 
026199 	223 	94 	130 	130 
026200 	223 	80 	130 	130 
026201 	208 	80 	130 	130 
026202 	208 	80 	130 	130 
026203 	208 	80 	130 	130 
026204 	208 	80 	130 	130 
026205 	208 	80 	130 	130 
026206 	208 	80 	130 	130 
026207 	209 	90 	109 	109 
026208 	194 	80 	130 	130 
026209 	197 	90 	109 	109 
026210 	180 	80 	130 	130 
026211 	180 	80 	130 	130 
026212 	172 	80 	130 	130 
026213 	165 	80 	130 	130 
026214 	165 	66 	130 	130 
026215 	165 	66 	130 	130 
026216 	165 	80 	130 	130 
026217 	165 	80 	130 	130 
026218 	151 	80 	130 	130 
026219 	151 	94 	130 	130 
026220 	151 	94 	130 	130 
026221 	151 	80 	130 	130 
026222 	165 	80 	130 	130 
026223 	165 	80 	130 	130 
026224 	165 	80 	130 	130 
026225 	165 	80 	130 	130 
026226 	165 	80 	130 	130 
026227 	165 	80 	130 	130 
026228 	165 	94 	130 	130 
026229 	165 	94 	130 	130 
026230 	165 	80 	130 	130 
026231 	165 	80 	130 	130 
026232 	165 	80 	130 	130 
026233 	165 	66 	130 	130 
026234 	165 	66 	130 	130 
