Identity  : 	id10712
Reference : 	pnmAzF6nEOA
Offset    : 	-2
FV Conf   : 	12.476
ASD Conf  : 	4.718

FRAME 	X 	Y 	W 	H 
001754 	365 	102 	108 	109 
001755 	365 	102 	108 	109 
001756 	365 	102 	108 	109 
001757 	373 	115 	91 	91 
001758 	373 	115 	91 	91 
001759 	363 	105 	91 	91 
001760 	363 	105 	91 	91 
001761 	363 	105 	91 	91 
001762 	363 	105 	91 	91 
001763 	353 	105 	91 	91 
001764 	353 	105 	91 	91 
001765 	353 	105 	91 	91 
001766 	353 	105 	91 	91 
001767 	353 	95 	91 	91 
001768 	353 	95 	91 	91 
001769 	353 	95 	91 	91 
001770 	353 	95 	91 	91 
001771 	353 	95 	91 	91 
001772 	353 	95 	91 	91 
001773 	353 	85 	91 	91 
001774 	353 	85 	91 	91 
001775 	353 	85 	91 	91 
001776 	353 	85 	91 	91 
001777 	353 	85 	91 	91 
001778 	353 	85 	91 	91 
001779 	353 	85 	91 	91 
001780 	353 	85 	91 	91 
001781 	353 	85 	91 	91 
001782 	353 	75 	91 	91 
001783 	353 	75 	91 	91 
001784 	363 	75 	91 	91 
001785 	363 	75 	91 	91 
001786 	363 	75 	91 	91 
001787 	363 	75 	91 	91 
001788 	363 	75 	91 	91 
001789 	363 	75 	91 	91 
001790 	363 	75 	91 	91 
001791 	363 	75 	91 	91 
001792 	363 	75 	91 	91 
001793 	363 	75 	91 	91 
001794 	363 	85 	91 	91 
001795 	363 	85 	91 	91 
001796 	363 	85 	91 	91 
001797 	353 	85 	91 	91 
001798 	353 	85 	91 	91 
001799 	353 	85 	91 	91 
001800 	353 	75 	91 	91 
001801 	353 	85 	91 	91 
001802 	353 	85 	91 	91 
001803 	353 	85 	91 	91 
001804 	341 	66 	108 	109 
001805 	352 	87 	76 	76 
001806 	343 	85 	91 	91 
001807 	343 	85 	91 	91 
001808 	343 	85 	91 	91 
001809 	343 	85 	91 	91 
001810 	343 	85 	91 	91 
001811 	343 	85 	91 	91 
001812 	343 	85 	91 	91 
001813 	343 	85 	91 	91 
001814 	343 	85 	91 	91 
001815 	343 	85 	91 	91 
001816 	343 	85 	91 	91 
001817 	343 	85 	91 	91 
001818 	343 	85 	91 	91 
001819 	343 	85 	91 	91 
001820 	343 	85 	91 	91 
001821 	343 	85 	91 	91 
001822 	343 	85 	91 	91 
001823 	343 	85 	91 	91 
001824 	343 	85 	91 	91 
001825 	343 	85 	91 	91 
001826 	343 	85 	91 	91 
001827 	343 	85 	91 	91 
001828 	343 	85 	91 	91 
001829 	343 	85 	91 	91 
001830 	343 	85 	91 	91 
001831 	343 	85 	91 	91 
001832 	343 	85 	91 	91 
001833 	343 	85 	91 	91 
001834 	343 	85 	91 	91 
001835 	343 	85 	91 	91 
001836 	343 	85 	91 	91 
001837 	343 	85 	91 	91 
001838 	343 	85 	91 	91 
001839 	343 	85 	91 	91 
001840 	343 	85 	91 	91 
001841 	353 	85 	91 	91 
001842 	353 	85 	91 	91 
001843 	353 	85 	91 	91 
001844 	353 	85 	91 	91 
001845 	353 	85 	91 	91 
001846 	353 	85 	91 	91 
001847 	353 	85 	91 	91 
001848 	353 	85 	91 	91 
001849 	353 	85 	91 	91 
001850 	353 	85 	91 	91 
001851 	353 	85 	91 	91 
001852 	353 	85 	91 	91 
001853 	353 	85 	91 	91 
001854 	353 	85 	91 	91 
001855 	353 	85 	91 	91 
001856 	353 	85 	91 	91 
001857 	353 	85 	91 	91 
001858 	353 	85 	91 	91 
001859 	353 	85 	91 	91 
001860 	353 	85 	91 	91 
001861 	353 	85 	91 	91 
001862 	353 	85 	91 	91 
001863 	353 	85 	91 	91 
001864 	353 	85 	91 	91 
001865 	353 	85 	91 	91 
001866 	353 	85 	91 	91 
001867 	343 	85 	91 	91 
001868 	343 	85 	91 	91 
001869 	343 	85 	91 	91 
001870 	343 	85 	91 	91 
001871 	343 	85 	91 	91 
001872 	343 	85 	91 	91 
001873 	343 	85 	91 	91 
001874 	343 	85 	91 	91 
001875 	343 	85 	91 	91 
001876 	343 	85 	91 	91 
001877 	343 	85 	91 	91 
001878 	343 	85 	91 	91 
001879 	343 	85 	91 	91 
001880 	343 	85 	91 	91 
001881 	343 	85 	91 	91 
001882 	343 	85 	91 	91 
001883 	343 	85 	91 	91 
001884 	343 	85 	91 	91 
001885 	343 	85 	91 	91 
001886 	343 	85 	91 	91 
001887 	343 	85 	91 	91 
001888 	343 	85 	91 	91 
001889 	343 	85 	91 	91 
001890 	343 	85 	91 	91 
001891 	343 	85 	91 	91 
001892 	343 	85 	91 	91 
001893 	343 	85 	91 	91 
001894 	343 	85 	91 	91 
001895 	343 	85 	91 	91 
001896 	343 	95 	91 	91 
