Identity  : 	id10750
Reference : 	377w7_cw5U0
Offset    : 	-1
FV Conf   : 	17.039
ASD Conf  : 	7.941

FRAME 	X 	Y 	W 	H 
004917 	304 	55 	90 	91 
004918 	304 	55 	90 	91 
004919 	304 	65 	90 	91 
004920 	304 	65 	90 	91 
004921 	304 	65 	90 	91 
004922 	304 	65 	90 	91 
004923 	304 	65 	90 	91 
004924 	304 	65 	90 	91 
004925 	304 	55 	90 	91 
004926 	304 	55 	90 	91 
004927 	304 	55 	90 	91 
004928 	304 	55 	90 	91 
004929 	304 	55 	90 	91 
004930 	304 	55 	90 	91 
004931 	319 	62 	76 	76 
004932 	314 	65 	90 	91 
004933 	314 	65 	90 	91 
004934 	314 	65 	90 	91 
004935 	319 	79 	76 	76 
004936 	319 	79 	76 	76 
004937 	319 	79 	76 	76 
004938 	304 	65 	90 	91 
004939 	304 	65 	90 	91 
004940 	304 	65 	90 	91 
004941 	294 	65 	90 	91 
004942 	294 	65 	90 	91 
004943 	294 	55 	90 	91 
004944 	294 	55 	90 	91 
004945 	284 	55 	90 	91 
004946 	284 	55 	90 	91 
004947 	284 	55 	90 	91 
004948 	284 	45 	90 	91 
004949 	284 	45 	90 	91 
004950 	284 	45 	90 	91 
004951 	284 	55 	90 	91 
004952 	284 	55 	90 	91 
004953 	284 	55 	90 	91 
004954 	284 	55 	90 	91 
004955 	284 	55 	90 	91 
004956 	284 	55 	90 	91 
004957 	284 	55 	90 	91 
004958 	284 	55 	90 	91 
004959 	284 	55 	90 	91 
004960 	294 	55 	90 	91 
004961 	294 	55 	90 	91 
004962 	294 	55 	90 	91 
004963 	294 	55 	90 	91 
004964 	294 	55 	90 	91 
004965 	294 	55 	90 	91 
004966 	294 	65 	90 	91 
004967 	294 	65 	90 	91 
004968 	294 	65 	90 	91 
004969 	294 	65 	90 	91 
004970 	294 	65 	90 	91 
004971 	294 	65 	90 	91 
004972 	294 	65 	90 	91 
004973 	294 	65 	90 	91 
004974 	294 	65 	90 	91 
004975 	284 	65 	90 	91 
004976 	284 	65 	90 	91 
004977 	284 	65 	90 	91 
004978 	274 	65 	90 	91 
004979 	274 	65 	90 	91 
004980 	274 	55 	90 	91 
004981 	274 	55 	90 	91 
004982 	274 	55 	90 	91 
004983 	257 	54 	109 	109 
004984 	257 	54 	109 	109 
004985 	264 	65 	90 	91 
004986 	245 	66 	109 	109 
004987 	245 	66 	109 	109 
004988 	254 	75 	90 	91 
004989 	264 	75 	90 	91 
004990 	264 	65 	90 	91 
004991 	264 	65 	90 	91 
004992 	264 	55 	90 	91 
004993 	264 	55 	90 	91 
004994 	274 	55 	90 	91 
004995 	274 	55 	90 	91 
004996 	274 	55 	90 	91 
004997 	264 	55 	90 	91 
004998 	264 	55 	90 	91 
004999 	264 	55 	90 	91 
005000 	274 	55 	90 	91 
005001 	274 	55 	90 	91 
005002 	274 	55 	90 	91 
005003 	274 	55 	90 	91 
005004 	274 	55 	90 	91 
005005 	284 	55 	90 	91 
005006 	284 	55 	90 	91 
005007 	284 	55 	90 	91 
005008 	284 	55 	90 	91 
005009 	284 	55 	90 	91 
005010 	284 	55 	90 	91 
005011 	294 	55 	90 	91 
005012 	294 	55 	90 	91 
005013 	294 	55 	90 	91 
005014 	294 	55 	90 	91 
005015 	294 	55 	90 	91 
005016 	294 	55 	90 	91 
005017 	294 	55 	90 	91 
005018 	294 	55 	90 	91 
005019 	294 	55 	90 	91 
005020 	294 	55 	90 	91 
005021 	304 	55 	90 	91 
005022 	281 	43 	108 	108 
005023 	281 	43 	108 	108 
005024 	294 	55 	90 	91 
005025 	294 	55 	90 	91 
005026 	294 	55 	90 	91 
005027 	294 	55 	90 	91 
005028 	294 	55 	90 	91 
005029 	294 	55 	90 	91 
005030 	294 	55 	90 	91 
005031 	294 	55 	90 	91 
005032 	294 	55 	90 	91 
005033 	294 	55 	90 	91 
005034 	294 	55 	90 	91 
005035 	294 	55 	90 	91 
005036 	294 	55 	90 	91 
005037 	294 	55 	90 	91 
005038 	294 	55 	90 	91 
005039 	294 	55 	90 	91 
005040 	294 	55 	90 	91 
005041 	294 	55 	90 	91 
005042 	294 	55 	90 	91 
