Identity  : 	id10750
Reference : 	u2tORrLDvNc
Offset    : 	-1
FV Conf   : 	14.111
ASD Conf  : 	8.108

FRAME 	X 	Y 	W 	H 
000803 	293 	52 	64 	63 
000804 	293 	52 	64 	63 
000805 	294 	54 	76 	76 
000806 	294 	54 	76 	76 
000807 	294 	54 	76 	76 
000808 	294 	54 	76 	76 
000809 	294 	62 	76 	76 
000810 	294 	62 	76 	76 
000811 	294 	62 	76 	76 
000812 	294 	62 	76 	76 
000813 	294 	62 	76 	76 
000814 	294 	62 	76 	76 
000815 	294 	62 	76 	76 
000816 	294 	62 	76 	76 
000817 	294 	54 	76 	76 
000818 	294 	54 	76 	76 
000819 	294 	54 	76 	76 
000820 	294 	46 	76 	76 
000821 	294 	46 	76 	76 
000822 	294 	38 	76 	75 
000823 	300 	45 	63 	63 
000824 	294 	38 	76 	75 
000825 	294 	29 	76 	76 
000826 	300 	38 	63 	63 
000827 	300 	38 	63 	63 
000828 	300 	38 	63 	63 
000829 	300 	38 	63 	63 
000830 	294 	29 	76 	76 
000831 	300 	38 	63 	63 
000832 	300 	38 	63 	63 
000833 	300 	38 	63 	63 
000834 	300 	38 	63 	63 
000835 	300 	38 	63 	63 
000836 	300 	38 	63 	63 
000837 	300 	38 	63 	63 
000838 	300 	38 	63 	63 
000839 	300 	38 	63 	63 
000840 	300 	38 	63 	63 
000841 	294 	29 	76 	76 
000842 	300 	38 	63 	63 
000843 	294 	29 	76 	76 
000844 	294 	29 	76 	76 
000845 	294 	29 	76 	76 
000846 	294 	29 	76 	76 
000847 	294 	29 	76 	76 
000848 	294 	29 	76 	76 
000849 	294 	29 	76 	76 
000850 	294 	29 	76 	76 
000851 	294 	29 	76 	76 
000852 	294 	29 	76 	76 
000853 	294 	29 	76 	76 
000854 	294 	29 	76 	76 
000855 	294 	38 	76 	75 
000856 	294 	38 	76 	75 
000857 	294 	38 	76 	75 
000858 	294 	38 	76 	75 
000859 	294 	38 	76 	75 
000860 	294 	38 	76 	75 
000861 	294 	38 	76 	75 
000862 	294 	38 	76 	75 
000863 	294 	38 	76 	75 
000864 	294 	38 	76 	75 
000865 	294 	38 	76 	75 
000866 	294 	38 	76 	75 
000867 	294 	38 	76 	75 
000868 	294 	38 	76 	75 
000869 	294 	38 	76 	75 
000870 	307 	45 	63 	63 
000871 	307 	45 	63 	63 
000872 	307 	45 	63 	63 
000873 	303 	38 	75 	75 
000874 	303 	38 	75 	75 
000875 	307 	45 	63 	63 
000876 	300 	45 	63 	63 
000877 	294 	38 	76 	75 
000878 	300 	45 	63 	63 
000879 	294 	38 	76 	75 
000880 	303 	38 	75 	75 
000881 	303 	38 	75 	75 
000882 	294 	38 	76 	75 
000883 	294 	38 	76 	75 
000884 	294 	38 	76 	75 
000885 	294 	38 	76 	75 
000886 	294 	38 	76 	75 
000887 	294 	38 	76 	75 
000888 	294 	38 	76 	75 
000889 	294 	38 	76 	75 
000890 	294 	38 	76 	75 
000891 	294 	38 	76 	75 
000892 	294 	38 	76 	75 
000893 	294 	38 	76 	75 
000894 	294 	38 	76 	75 
000895 	300 	45 	63 	63 
000896 	294 	38 	76 	75 
000897 	294 	38 	76 	75 
000898 	300 	38 	63 	63 
000899 	294 	29 	76 	76 
000900 	294 	29 	76 	76 
000901 	294 	29 	76 	76 
000902 	286 	29 	76 	76 
000903 	293 	31 	64 	63 
000904 	293 	38 	64 	63 
000905 	294 	29 	76 	76 
000906 	294 	38 	76 	75 
000907 	294 	38 	76 	75 
000908 	294 	46 	76 	76 
000909 	294 	46 	76 	76 
000910 	294 	46 	76 	76 
000911 	294 	46 	76 	76 
000912 	303 	46 	75 	76 
000913 	303 	46 	75 	76 
000914 	294 	46 	76 	76 
000915 	294 	46 	76 	76 
000916 	294 	46 	76 	76 
000917 	294 	46 	76 	76 
000918 	294 	46 	76 	76 
000919 	294 	46 	76 	76 
000920 	294 	46 	76 	76 
000921 	294 	46 	76 	76 
000922 	294 	46 	76 	76 
000923 	294 	46 	76 	76 
000924 	294 	38 	76 	75 
000925 	294 	38 	76 	75 
000926 	294 	38 	76 	75 
000927 	294 	46 	76 	76 
000928 	294 	46 	76 	76 
000929 	294 	46 	76 	76 
000930 	300 	45 	63 	63 
000931 	300 	45 	63 	63 
000932 	294 	38 	76 	75 
000933 	300 	45 	63 	63 
000934 	300 	45 	63 	63 
000935 	294 	46 	76 	76 
000936 	294 	46 	76 	76 
000937 	294 	38 	76 	75 
000938 	286 	46 	76 	76 
000939 	286 	46 	76 	76 
000940 	286 	46 	76 	76 
000941 	286 	46 	76 	76 
000942 	294 	46 	76 	76 
000943 	294 	38 	76 	75 
000944 	294 	38 	76 	75 
000945 	294 	38 	76 	75 
000946 	294 	38 	76 	75 
000947 	294 	38 	76 	75 
000948 	294 	46 	76 	76 
000949 	294 	46 	76 	76 
000950 	294 	54 	76 	76 
000951 	294 	54 	76 	76 
000952 	294 	54 	76 	76 
000953 	294 	54 	76 	76 
000954 	294 	54 	76 	76 
000955 	294 	54 	76 	76 
000956 	294 	46 	76 	76 
000957 	294 	46 	76 	76 
000958 	294 	46 	76 	76 
000959 	294 	46 	76 	76 
000960 	294 	46 	76 	76 
000961 	294 	46 	76 	76 
000962 	294 	46 	76 	76 
000963 	294 	46 	76 	76 
000964 	294 	46 	76 	76 
000965 	294 	46 	76 	76 
000966 	294 	46 	76 	76 
000967 	300 	45 	63 	63 
000968 	300 	45 	63 	63 
000969 	300 	45 	63 	63 
000970 	300 	45 	63 	63 
000971 	300 	45 	63 	63 
000972 	300 	45 	63 	63 
000973 	300 	45 	63 	63 
000974 	300 	45 	63 	63 
000975 	300 	45 	63 	63 
000976 	300 	45 	63 	63 
000977 	300 	45 	63 	63 
000978 	300 	45 	63 	63 
000979 	300 	45 	63 	63 
000980 	300 	45 	63 	63 
000981 	300 	45 	63 	63 
000982 	300 	45 	63 	63 
000983 	300 	38 	63 	63 
000984 	300 	45 	63 	63 
000985 	300 	38 	63 	63 
000986 	300 	38 	63 	63 
000987 	300 	38 	63 	63 
000988 	300 	38 	63 	63 
000989 	300 	38 	63 	63 
000990 	300 	45 	63 	63 
000991 	300 	45 	63 	63 
000992 	294 	38 	76 	75 
000993 	300 	38 	63 	63 
000994 	300 	38 	63 	63 
000995 	300 	38 	63 	63 
000996 	300 	45 	63 	63 
000997 	300 	38 	63 	63 
000998 	300 	38 	63 	63 
000999 	300 	45 	63 	63 
001000 	300 	45 	63 	63 
001001 	300 	45 	63 	63 
001002 	300 	45 	63 	63 
001003 	300 	45 	63 	63 
001004 	300 	45 	63 	63 
001005 	300 	45 	63 	63 
001006 	300 	45 	63 	63 
001007 	300 	45 	63 	63 
001008 	300 	45 	63 	63 
001009 	300 	45 	63 	63 
001010 	294 	38 	76 	75 
001011 	294 	38 	76 	75 
001012 	294 	38 	76 	75 
001013 	294 	38 	76 	75 
001014 	294 	38 	76 	75 
001015 	294 	38 	76 	75 
001016 	294 	38 	76 	75 
001017 	294 	38 	76 	75 
001018 	294 	38 	76 	75 
001019 	294 	38 	76 	75 
001020 	303 	38 	75 	75 
001021 	303 	38 	75 	75 
001022 	303 	38 	75 	75 
001023 	303 	38 	75 	75 
001024 	303 	38 	75 	75 
001025 	294 	38 	76 	75 
001026 	303 	38 	75 	75 
001027 	303 	38 	75 	75 
001028 	303 	38 	75 	75 
001029 	303 	38 	75 	75 
001030 	303 	38 	75 	75 
001031 	303 	38 	75 	75 
001032 	303 	38 	75 	75 
001033 	303 	38 	75 	75 
001034 	303 	38 	75 	75 
001035 	303 	38 	75 	75 
001036 	303 	38 	75 	75 
001037 	303 	38 	75 	75 
001038 	303 	38 	75 	75 
001039 	303 	38 	75 	75 
001040 	303 	38 	75 	75 
001041 	303 	38 	75 	75 
001042 	303 	38 	75 	75 
001043 	303 	38 	75 	75 
001044 	303 	38 	75 	75 
001045 	303 	38 	75 	75 
001046 	303 	38 	75 	75 
001047 	303 	38 	75 	75 
001048 	303 	38 	75 	75 
001049 	294 	38 	76 	75 
001050 	303 	38 	75 	75 
001051 	303 	38 	75 	75 
001052 	307 	38 	63 	63 
001053 	294 	29 	76 	76 
001054 	294 	29 	76 	76 
001055 	286 	38 	76 	75 
001056 	286 	38 	76 	75 
001057 	293 	45 	64 	63 
001058 	293 	45 	64 	63 
001059 	294 	38 	76 	75 
001060 	293 	52 	64 	63 
001061 	293 	52 	64 	63 
001062 	286 	46 	76 	76 
001063 	286 	46 	76 	76 
001064 	286 	46 	76 	76 
001065 	294 	38 	76 	75 
001066 	294 	38 	76 	75 
001067 	294 	38 	76 	75 
001068 	300 	45 	63 	63 
001069 	293 	45 	64 	63 
001070 	293 	45 	64 	63 
001071 	293 	45 	64 	63 
001072 	300 	45 	63 	63 
001073 	300 	45 	63 	63 
001074 	300 	45 	63 	63 
001075 	293 	45 	64 	63 
001076 	293 	45 	64 	63 
001077 	286 	38 	76 	75 
001078 	293 	45 	64 	63 
001079 	294 	38 	76 	75 
001080 	293 	45 	64 	63 
001081 	293 	45 	64 	63 
001082 	293 	45 	64 	63 
001083 	300 	45 	63 	63 
001084 	300 	45 	63 	63 
001085 	300 	45 	63 	63 
001086 	300 	45 	63 	63 
001087 	300 	45 	63 	63 
001088 	293 	45 	64 	63 
001089 	293 	45 	64 	63 
001090 	294 	38 	76 	75 
001091 	300 	45 	63 	63 
001092 	300 	45 	63 	63 
001093 	300 	45 	63 	63 
001094 	286 	38 	76 	75 
001095 	294 	29 	76 	76 
001096 	294 	29 	76 	76 
001097 	294 	29 	76 	76 
001098 	294 	29 	76 	76 
001099 	294 	29 	76 	76 
001100 	286 	38 	76 	75 
001101 	286 	45 	64 	63 
001102 	278 	46 	75 	76 
