Identity  : 	id10774
Reference : 	9Dy--S4cFOw
Offset    : 	-2
FV Conf   : 	12.937
ASD Conf  : 	8.128

FRAME 	X 	Y 	W 	H 
001153 	341 	114 	108 	109 
001154 	342 	120 	100 	100 
001155 	343 	125 	91 	90 
001156 	343 	125 	91 	90 
001157 	343 	125 	91 	90 
001158 	343 	115 	91 	91 
001159 	343 	115 	91 	91 
001160 	343 	115 	91 	91 
001161 	341 	114 	108 	109 
001162 	353 	115 	91 	91 
001163 	353 	115 	91 	91 
001164 	353 	115 	91 	91 
001165 	353 	115 	91 	91 
001166 	353 	115 	91 	91 
001167 	353 	105 	91 	91 
001168 	363 	105 	91 	91 
001169 	363 	105 	91 	91 
001170 	363 	105 	91 	91 
001171 	363 	105 	91 	91 
001172 	363 	105 	91 	91 
001173 	363 	105 	91 	91 
001174 	363 	105 	91 	91 
001175 	363 	105 	91 	91 
001176 	363 	105 	91 	91 
001177 	363 	105 	91 	91 
001178 	363 	105 	91 	91 
001179 	363 	105 	91 	91 
001180 	363 	105 	91 	91 
001181 	363 	105 	91 	91 
001182 	363 	105 	91 	91 
001183 	363 	105 	91 	91 
001184 	363 	105 	91 	91 
001185 	353 	105 	91 	91 
001186 	353 	105 	91 	91 
001187 	353 	105 	91 	91 
001188 	353 	105 	91 	91 
001189 	353 	105 	91 	91 
001190 	353 	105 	91 	91 
001191 	353 	105 	91 	91 
001192 	353 	105 	91 	91 
001193 	353 	105 	91 	91 
001194 	353 	105 	91 	91 
001195 	353 	105 	91 	91 
001196 	353 	105 	91 	91 
001197 	353 	105 	91 	91 
001198 	353 	105 	91 	91 
001199 	353 	105 	91 	91 
001200 	353 	105 	91 	91 
001201 	353 	105 	91 	91 
001202 	353 	105 	91 	91 
001203 	353 	105 	91 	91 
001204 	353 	105 	91 	91 
001205 	353 	105 	91 	91 
001206 	353 	105 	91 	91 
001207 	353 	105 	91 	91 
001208 	353 	105 	91 	91 
001209 	353 	105 	91 	91 
001210 	353 	105 	91 	91 
001211 	353 	105 	91 	91 
001212 	341 	90 	108 	109 
001213 	353 	95 	91 	91 
001214 	353 	95 	91 	91 
001215 	353 	95 	91 	91 
001216 	353 	95 	91 	91 
001217 	353 	95 	91 	91 
001218 	353 	95 	91 	91 
001219 	353 	95 	91 	91 
001220 	353 	95 	91 	91 
001221 	341 	78 	108 	109 
001222 	353 	85 	91 	91 
001223 	353 	85 	91 	91 
001224 	353 	85 	91 	91 
001225 	353 	85 	91 	91 
001226 	353 	75 	91 	91 
001227 	353 	75 	91 	91 
001228 	341 	66 	108 	109 
001229 	341 	66 	108 	109 
001230 	341 	66 	108 	109 
001231 	353 	75 	91 	91 
001232 	353 	75 	91 	91 
001233 	341 	66 	108 	109 
001234 	341 	66 	108 	109 
001235 	343 	75 	91 	91 
001236 	343 	75 	91 	91 
001237 	343 	75 	91 	91 
001238 	343 	75 	91 	91 
001239 	343 	75 	91 	91 
001240 	343 	75 	91 	91 
001241 	343 	75 	91 	91 
001242 	343 	75 	91 	91 
001243 	343 	75 	91 	91 
001244 	343 	75 	91 	91 
001245 	353 	75 	91 	91 
001246 	341 	66 	108 	109 
001247 	353 	85 	91 	91 
001248 	353 	85 	91 	91 
001249 	353 	85 	91 	91 
001250 	353 	85 	91 	91 
001251 	353 	85 	91 	91 
001252 	353 	85 	91 	91 
001253 	353 	85 	91 	91 
001254 	353 	85 	91 	91 
001255 	353 	85 	91 	91 
001256 	353 	85 	91 	91 
001257 	353 	85 	91 	91 
001258 	341 	78 	108 	109 
001259 	341 	78 	108 	109 
001260 	341 	78 	108 	109 
001261 	341 	78 	108 	109 
001262 	353 	85 	91 	91 
001263 	353 	95 	91 	91 
001264 	353 	95 	91 	91 
001265 	353 	95 	91 	91 
001266 	341 	90 	108 	109 
001267 	341 	90 	108 	109 
001268 	341 	90 	108 	109 
001269 	343 	105 	91 	91 
001270 	343 	105 	91 	91 
001271 	343 	105 	91 	91 
001272 	343 	105 	91 	91 
001273 	343 	105 	91 	91 
001274 	329 	102 	108 	109 
001275 	329 	102 	108 	109 
001276 	343 	105 	91 	91 
001277 	343 	105 	91 	91 
001278 	343 	105 	91 	91 
001279 	343 	105 	91 	91 
001280 	329 	102 	108 	109 
001281 	343 	115 	91 	91 
