Identity  : 	id10774
Reference : 	RAseM9BZ6QI
Offset    : 	-1
FV Conf   : 	17.455
ASD Conf  : 	7.028

FRAME 	X 	Y 	W 	H 
013767 	209 	126 	109 	109 
013768 	214 	135 	91 	90 
013769 	212 	136 	100 	100 
013770 	209 	138 	109 	109 
013771 	209 	126 	109 	109 
013772 	209 	126 	109 	109 
013773 	209 	126 	109 	109 
013774 	209 	126 	109 	109 
013775 	209 	114 	109 	109 
013776 	221 	114 	109 	109 
013777 	221 	102 	109 	109 
013778 	221 	102 	109 	109 
013779 	221 	90 	109 	109 
013780 	221 	90 	109 	109 
013781 	233 	90 	109 	109 
013782 	233 	90 	109 	109 
013783 	233 	90 	109 	109 
013784 	244 	105 	90 	91 
013785 	245 	102 	109 	109 
013786 	245 	102 	109 	109 
013787 	245 	102 	109 	109 
013788 	257 	102 	109 	109 
013789 	257 	102 	109 	109 
013790 	257 	102 	109 	109 
013791 	257 	102 	109 	109 
013792 	257 	102 	109 	109 
013793 	257 	102 	109 	109 
013794 	245 	102 	109 	109 
013795 	245 	102 	109 	109 
013796 	245 	102 	109 	109 
013797 	245 	102 	109 	109 
013798 	245 	102 	109 	109 
013799 	245 	102 	109 	109 
013800 	245 	102 	109 	109 
013801 	245 	102 	109 	109 
013802 	245 	102 	109 	109 
013803 	245 	102 	109 	109 
013804 	233 	90 	109 	109 
013805 	233 	90 	109 	109 
013806 	221 	78 	109 	109 
013807 	221 	78 	109 	109 
013808 	221 	78 	109 	109 
013809 	224 	85 	91 	91 
013810 	224 	85 	91 	91 
013811 	224 	75 	91 	91 
013812 	224 	75 	91 	91 
013813 	224 	75 	91 	91 
013814 	221 	66 	109 	109 
013815 	221 	66 	109 	109 
013816 	221 	66 	109 	109 
013817 	221 	66 	109 	109 
013818 	221 	66 	109 	109 
013819 	221 	66 	109 	109 
013820 	221 	66 	109 	109 
013821 	221 	66 	109 	109 
013822 	221 	66 	109 	109 
013823 	221 	66 	109 	109 
013824 	224 	75 	91 	91 
013825 	224 	75 	91 	91 
013826 	224 	75 	91 	91 
013827 	224 	75 	91 	91 
013828 	224 	75 	91 	91 
013829 	224 	75 	91 	91 
013830 	224 	75 	91 	91 
013831 	224 	75 	91 	91 
013832 	224 	75 	91 	91 
013833 	224 	75 	91 	91 
013834 	224 	75 	91 	91 
013835 	224 	75 	91 	91 
013836 	221 	78 	109 	109 
013837 	221 	78 	109 	109 
013838 	221 	78 	109 	109 
013839 	221 	78 	109 	109 
013840 	221 	78 	109 	109 
013841 	221 	78 	109 	109 
013842 	221 	78 	109 	109 
013843 	221 	78 	109 	109 
013844 	221 	78 	109 	109 
013845 	221 	78 	109 	109 
013846 	221 	78 	109 	109 
013847 	221 	78 	109 	109 
013848 	221 	78 	109 	109 
013849 	221 	78 	109 	109 
013850 	221 	78 	109 	109 
013851 	221 	78 	109 	109 
013852 	221 	78 	109 	109 
013853 	221 	78 	109 	109 
013854 	221 	78 	109 	109 
013855 	221 	78 	109 	109 
013856 	221 	90 	109 	109 
013857 	221 	90 	109 	109 
013858 	221 	90 	109 	109 
013859 	221 	90 	109 	109 
013860 	221 	90 	109 	109 
013861 	221 	90 	109 	109 
013862 	221 	90 	109 	109 
013863 	221 	90 	109 	109 
013864 	221 	90 	109 	109 
013865 	221 	90 	109 	109 
013866 	221 	90 	109 	109 
013867 	221 	90 	109 	109 
013868 	221 	90 	109 	109 
013869 	221 	90 	109 	109 
013870 	221 	90 	109 	109 
013871 	221 	90 	109 	109 
013872 	221 	90 	109 	109 
013873 	221 	90 	109 	109 
013874 	221 	90 	109 	109 
013875 	221 	90 	109 	109 
013876 	221 	90 	109 	109 
013877 	221 	90 	109 	109 
013878 	221 	90 	109 	109 
013879 	221 	90 	109 	109 
013880 	221 	90 	109 	109 
013881 	221 	90 	109 	109 
013882 	221 	90 	109 	109 
013883 	221 	90 	109 	109 
013884 	221 	90 	109 	109 
013885 	221 	90 	109 	109 
013886 	221 	90 	109 	109 
013887 	221 	90 	109 	109 
013888 	221 	90 	109 	109 
013889 	221 	90 	109 	109 
013890 	221 	90 	109 	109 
013891 	221 	90 	109 	109 
013892 	221 	90 	109 	109 
013893 	221 	102 	109 	109 
013894 	221 	102 	109 	109 
013895 	221 	102 	109 	109 
013896 	221 	102 	109 	109 
013897 	221 	102 	109 	109 
013898 	221 	102 	109 	109 
013899 	221 	102 	109 	109 
013900 	221 	102 	109 	109 
013901 	221 	102 	109 	109 
013902 	221 	102 	109 	109 
013903 	221 	102 	109 	109 
013904 	221 	102 	109 	109 
013905 	234 	115 	90 	91 
013906 	234 	115 	90 	91 
013907 	234 	115 	90 	91 
013908 	234 	115 	90 	91 
013909 	233 	102 	109 	109 
013910 	233 	102 	109 	109 
013911 	233 	102 	109 	109 
