Identity  : 	id10774
Reference : 	bNcM73Gfxvg
Offset    : 	-3
FV Conf   : 	14.504
ASD Conf  : 	5.777

FRAME 	X 	Y 	W 	H 
002639 	321 	115 	187 	187 
002640 	321 	136 	187 	187 
002641 	321 	136 	187 	187 
002642 	321 	136 	187 	187 
002643 	321 	136 	187 	187 
002644 	321 	136 	187 	187 
002645 	321 	136 	187 	187 
002646 	321 	136 	187 	187 
002647 	321 	136 	187 	187 
002648 	321 	136 	187 	187 
002649 	321 	136 	187 	187 
002650 	321 	136 	187 	187 
002651 	321 	136 	187 	187 
002652 	321 	136 	187 	187 
002653 	321 	136 	187 	187 
002654 	321 	136 	187 	187 
002655 	321 	136 	187 	187 
002656 	321 	136 	187 	187 
002657 	321 	136 	187 	187 
002658 	321 	136 	187 	187 
002659 	321 	136 	187 	187 
002660 	321 	136 	187 	187 
002661 	321 	136 	187 	187 
002662 	321 	136 	187 	187 
002663 	321 	136 	187 	187 
002664 	321 	136 	187 	187 
002665 	321 	136 	187 	187 
002666 	301 	115 	186 	187 
002667 	301 	115 	186 	187 
002668 	301 	115 	186 	187 
002669 	301 	115 	186 	187 
002670 	301 	115 	186 	187 
002671 	301 	115 	186 	187 
002672 	301 	115 	186 	187 
002673 	301 	115 	186 	187 
002674 	301 	136 	186 	187 
002675 	321 	136 	187 	187 
002676 	321 	136 	187 	187 
002677 	321 	136 	187 	187 
002678 	321 	136 	187 	187 
002679 	321 	136 	187 	187 
002680 	321 	136 	187 	187 
002681 	321 	136 	187 	187 
002682 	321 	136 	187 	187 
002683 	301 	136 	186 	187 
002684 	301 	115 	186 	187 
002685 	280 	115 	187 	187 
002686 	280 	115 	187 	187 
002687 	259 	115 	187 	187 
002688 	259 	115 	187 	187 
002689 	259 	115 	187 	187 
002690 	239 	115 	186 	187 
002691 	239 	115 	186 	187 
002692 	218 	136 	187 	187 
002693 	218 	136 	187 	187 
002694 	197 	136 	187 	187 
002695 	197 	136 	187 	187 
002696 	197 	136 	187 	187 
002697 	197 	136 	187 	187 
002698 	197 	136 	187 	187 
002699 	177 	136 	187 	187 
002700 	177 	136 	187 	187 
002701 	177 	136 	187 	187 
002702 	156 	115 	187 	187 
002703 	156 	115 	187 	187 
002704 	156 	115 	187 	187 
002705 	135 	115 	187 	187 
002706 	135 	115 	187 	187 
002707 	135 	115 	187 	187 
002708 	135 	115 	187 	187 
002709 	135 	115 	187 	187 
002710 	135 	115 	187 	187 
002711 	135 	115 	187 	187 
002712 	135 	115 	187 	187 
002713 	135 	115 	187 	187 
002714 	135 	115 	187 	187 
002715 	156 	136 	187 	187 
002716 	156 	136 	187 	187 
002717 	156 	136 	187 	187 
002718 	156 	136 	187 	187 
002719 	156 	136 	187 	187 
002720 	156 	136 	187 	187 
002721 	177 	136 	187 	187 
002722 	177 	136 	187 	187 
002723 	177 	136 	187 	187 
002724 	177 	136 	187 	187 
002725 	177 	136 	187 	187 
002726 	177 	136 	187 	187 
002727 	177 	136 	187 	187 
002728 	177 	136 	187 	187 
002729 	177 	136 	187 	187 
002730 	199 	165 	155 	156 
002731 	197 	136 	187 	187 
002732 	197 	157 	187 	186 
002733 	197 	157 	187 	186 
002734 	197 	157 	187 	186 
002735 	197 	157 	187 	186 
002736 	197 	157 	187 	186 
002737 	197 	157 	187 	186 
002738 	216 	165 	156 	156 
002739 	197 	157 	187 	186 
002740 	197 	136 	187 	187 
002741 	197 	136 	187 	187 
002742 	197 	136 	187 	187 
002743 	197 	136 	187 	187 
002744 	197 	136 	187 	187 
002745 	197 	136 	187 	187 
002746 	197 	136 	187 	187 
002747 	197 	136 	187 	187 
002748 	197 	136 	187 	187 
002749 	197 	136 	187 	187 
002750 	197 	157 	187 	186 
002751 	197 	157 	187 	186 
002752 	197 	157 	187 	186 
002753 	197 	157 	187 	186 
002754 	197 	157 	187 	186 
002755 	197 	157 	187 	186 
002756 	197 	157 	187 	186 
002757 	197 	157 	187 	186 
002758 	197 	157 	187 	186 
002759 	197 	157 	187 	186 
002760 	197 	157 	187 	186 
002761 	197 	157 	187 	186 
002762 	197 	157 	187 	186 
002763 	197 	136 	187 	187 
002764 	197 	136 	187 	187 
002765 	197 	136 	187 	187 
002766 	197 	136 	187 	187 
002767 	197 	136 	187 	187 
002768 	197 	136 	187 	187 
002769 	197 	136 	187 	187 
002770 	197 	136 	187 	187 
002771 	197 	136 	187 	187 
002772 	197 	136 	187 	187 
002773 	197 	136 	187 	187 
002774 	197 	136 	187 	187 
002775 	197 	136 	187 	187 
002776 	218 	136 	187 	187 
002777 	233 	165 	156 	156 
002778 	233 	165 	156 	156 
002779 	218 	136 	187 	187 
002780 	218 	136 	187 	187 
002781 	233 	165 	156 	156 
002782 	218 	136 	187 	187 
002783 	233 	165 	156 	156 
002784 	233 	165 	156 	156 
002785 	233 	165 	156 	156 
002786 	233 	165 	156 	156 
002787 	233 	165 	156 	156 
002788 	233 	165 	156 	156 
002789 	233 	165 	156 	156 
002790 	233 	165 	156 	156 
002791 	218 	136 	187 	187 
002792 	233 	165 	156 	156 
002793 	218 	136 	187 	187 
002794 	218 	136 	187 	187 
002795 	218 	136 	187 	187 
002796 	218 	136 	187 	187 
002797 	218 	136 	187 	187 
002798 	218 	136 	187 	187 
002799 	218 	136 	187 	187 
002800 	218 	136 	187 	187 
002801 	218 	136 	187 	187 
002802 	218 	136 	187 	187 
002803 	218 	136 	187 	187 
002804 	218 	136 	187 	187 
002805 	218 	136 	187 	187 
