Identity  : 	id10783
Reference : 	2WD4NIXbLjI
Offset    : 	2
FV Conf   : 	19.512
ASD Conf  : 	6.671

FRAME 	X 	Y 	W 	H 
001241 	209 	54 	109 	109 
001242 	209 	54 	109 	109 
001243 	221 	54 	109 	109 
001244 	221 	54 	109 	109 
001245 	221 	54 	109 	109 
001246 	221 	54 	109 	109 
001247 	221 	54 	109 	109 
001248 	221 	54 	109 	109 
001249 	221 	54 	109 	109 
001250 	221 	54 	109 	109 
001251 	221 	54 	109 	109 
001252 	221 	54 	109 	109 
001253 	221 	54 	109 	109 
001254 	221 	54 	109 	109 
001255 	208 	51 	130 	130 
001256 	208 	51 	130 	130 
001257 	208 	37 	130 	130 
001258 	208 	37 	130 	130 
001259 	208 	37 	130 	130 
001260 	233 	54 	109 	109 
001261 	223 	51 	130 	130 
001262 	223 	51 	130 	130 
001263 	208 	51 	130 	130 
001264 	221 	54 	109 	109 
001265 	208 	37 	130 	130 
001266 	208 	37 	130 	130 
001267 	194 	37 	130 	130 
001268 	194 	37 	130 	130 
001269 	209 	54 	109 	109 
001270 	209 	54 	109 	109 
001271 	209 	54 	109 	109 
001272 	209 	54 	109 	109 
001273 	197 	54 	109 	109 
001274 	197 	54 	109 	109 
001275 	197 	54 	109 	109 
001276 	197 	54 	109 	109 
001277 	197 	54 	109 	109 
001278 	197 	54 	109 	109 
001279 	197 	54 	109 	109 
001280 	197 	54 	109 	109 
001281 	197 	54 	109 	109 
001282 	197 	54 	109 	109 
001283 	209 	54 	109 	109 
001284 	194 	37 	130 	130 
001285 	194 	37 	130 	130 
001286 	194 	37 	130 	130 
001287 	194 	37 	130 	130 
001288 	209 	54 	109 	109 
001289 	209 	54 	109 	109 
001290 	209 	54 	109 	109 
001291 	209 	54 	109 	109 
001292 	209 	54 	109 	109 
001293 	209 	54 	109 	109 
001294 	209 	54 	109 	109 
001295 	209 	54 	109 	109 
001296 	197 	54 	109 	109 
001297 	197 	54 	109 	109 
001298 	197 	54 	109 	109 
001299 	197 	54 	109 	109 
001300 	197 	54 	109 	109 
001301 	209 	54 	109 	109 
001302 	209 	54 	109 	109 
001303 	209 	54 	109 	109 
001304 	209 	54 	109 	109 
001305 	209 	54 	109 	109 
001306 	209 	54 	109 	109 
001307 	209 	54 	109 	109 
001308 	221 	54 	109 	109 
001309 	221 	54 	109 	109 
001310 	221 	54 	109 	109 
001311 	221 	54 	109 	109 
001312 	194 	51 	130 	130 
001313 	209 	54 	109 	109 
001314 	209 	54 	109 	109 
001315 	209 	54 	109 	109 
001316 	209 	54 	109 	109 
001317 	221 	54 	109 	109 
001318 	221 	54 	109 	109 
001319 	221 	54 	109 	109 
001320 	221 	54 	109 	109 
001321 	221 	54 	109 	109 
001322 	221 	54 	109 	109 
001323 	221 	54 	109 	109 
001324 	221 	54 	109 	109 
001325 	221 	54 	109 	109 
001326 	221 	54 	109 	109 
001327 	221 	54 	109 	109 
001328 	221 	54 	109 	109 
001329 	221 	54 	109 	109 
001330 	221 	54 	109 	109 
001331 	194 	37 	130 	130 
001332 	209 	54 	109 	109 
001333 	209 	54 	109 	109 
001334 	209 	54 	109 	109 
001335 	209 	54 	109 	109 
001336 	209 	54 	109 	109 
001337 	209 	54 	109 	109 
001338 	209 	54 	109 	109 
001339 	194 	51 	130 	130 
001340 	194 	51 	130 	130 
001341 	194 	51 	130 	130 
001342 	194 	51 	130 	130 
001343 	194 	51 	130 	130 
001344 	209 	54 	109 	109 
001345 	209 	54 	109 	109 
001346 	209 	54 	109 	109 
001347 	209 	54 	109 	109 
001348 	209 	54 	109 	109 
001349 	209 	54 	109 	109 
001350 	209 	54 	109 	109 
001351 	209 	54 	109 	109 
001352 	209 	54 	109 	109 
001353 	221 	54 	109 	109 
001354 	221 	54 	109 	109 
001355 	221 	54 	109 	109 
001356 	221 	54 	109 	109 
001357 	221 	54 	109 	109 
001358 	221 	54 	109 	109 
001359 	209 	54 	109 	109 
001360 	209 	54 	109 	109 
001361 	209 	54 	109 	109 
001362 	209 	54 	109 	109 
001363 	194 	37 	130 	130 
001364 	194 	37 	130 	130 
001365 	209 	43 	109 	108 
001366 	194 	37 	130 	130 
001367 	194 	37 	130 	130 
001368 	194 	37 	130 	130 
001369 	194 	37 	130 	130 
001370 	194 	37 	130 	130 
001371 	209 	54 	109 	109 
001372 	209 	54 	109 	109 
001373 	209 	54 	109 	109 
001374 	209 	54 	109 	109 
001375 	209 	54 	109 	109 
001376 	209 	54 	109 	109 
001377 	209 	54 	109 	109 
001378 	209 	54 	109 	109 
001379 	209 	54 	109 	109 
001380 	209 	54 	109 	109 
001381 	209 	54 	109 	109 
001382 	209 	54 	109 	109 
001383 	209 	54 	109 	109 
001384 	194 	37 	130 	130 
001385 	194 	37 	130 	130 
001386 	221 	54 	109 	109 
001387 	221 	54 	109 	109 
001388 	221 	54 	109 	109 
001389 	221 	54 	109 	109 
001390 	221 	54 	109 	109 
001391 	194 	37 	130 	130 
001392 	194 	37 	130 	130 
001393 	221 	54 	109 	109 
001394 	221 	43 	109 	108 
001395 	208 	37 	130 	130 
001396 	208 	37 	130 	130 
001397 	208 	37 	130 	130 
001398 	221 	43 	109 	108 
001399 	221 	43 	109 	108 
001400 	194 	37 	130 	130 
001401 	194 	37 	130 	130 
001402 	209 	54 	109 	109 
001403 	209 	54 	109 	109 
001404 	209 	54 	109 	109 
001405 	209 	54 	109 	109 
001406 	221 	54 	109 	109 
001407 	221 	54 	109 	109 
001408 	208 	37 	130 	130 
001409 	223 	37 	130 	130 
001410 	223 	37 	130 	130 
001411 	223 	37 	130 	130 
001412 	223 	37 	130 	130 
001413 	223 	37 	130 	130 
001414 	233 	54 	109 	109 
001415 	233 	54 	109 	109 
001416 	221 	54 	109 	109 
001417 	221 	54 	109 	109 
001418 	221 	54 	109 	109 
001419 	221 	54 	109 	109 
001420 	221 	54 	109 	109 
001421 	221 	54 	109 	109 
001422 	208 	37 	130 	130 
001423 	208 	37 	130 	130 
001424 	208 	37 	130 	130 
001425 	208 	37 	130 	130 
001426 	208 	37 	130 	130 
001427 	208 	37 	130 	130 
001428 	208 	37 	130 	130 
001429 	194 	37 	130 	130 
001430 	209 	54 	109 	109 
001431 	209 	54 	109 	109 
001432 	209 	54 	109 	109 
001433 	209 	54 	109 	109 
001434 	209 	54 	109 	109 
001435 	194 	37 	130 	130 
001436 	194 	37 	130 	130 
001437 	194 	37 	130 	130 
001438 	208 	37 	130 	130 
001439 	208 	37 	130 	130 
001440 	208 	37 	130 	130 
001441 	208 	37 	130 	130 
001442 	208 	37 	130 	130 
001443 	208 	37 	130 	130 
001444 	208 	37 	130 	130 
001445 	208 	37 	130 	130 
001446 	208 	37 	130 	130 
001447 	208 	37 	130 	130 
001448 	208 	37 	130 	130 
001449 	208 	37 	130 	130 
001450 	208 	37 	130 	130 
001451 	221 	54 	109 	109 
001452 	221 	54 	109 	109 
001453 	221 	54 	109 	109 
001454 	208 	51 	130 	130 
001455 	221 	54 	109 	109 
001456 	221 	54 	109 	109 
001457 	221 	54 	109 	109 
001458 	221 	54 	109 	109 
001459 	208 	51 	130 	130 
001460 	233 	54 	109 	109 
001461 	233 	54 	109 	109 
001462 	233 	54 	109 	109 
001463 	233 	54 	109 	109 
001464 	233 	54 	109 	109 
001465 	208 	51 	130 	130 
001466 	208 	51 	130 	130 
001467 	208 	51 	130 	130 
001468 	208 	51 	130 	130 
001469 	221 	54 	109 	109 
001470 	221 	54 	109 	109 
001471 	221 	54 	109 	109 
001472 	208 	51 	130 	130 
001473 	208 	51 	130 	130 
001474 	208 	51 	130 	130 
001475 	208 	51 	130 	130 
001476 	208 	37 	130 	130 
001477 	208 	37 	130 	130 
001478 	208 	37 	130 	130 
001479 	221 	43 	109 	108 
001480 	221 	43 	109 	108 
