Identity  : 	id10783
Reference : 	5wjs7zYczO0
Offset    : 	-12
FV Conf   : 	19.557
ASD Conf  : 	6.199

FRAME 	X 	Y 	W 	H 
010403 	376 	31 	109 	108 
010404 	376 	31 	109 	108 
010405 	388 	31 	109 	108 
010406 	388 	31 	109 	108 
010407 	388 	31 	109 	108 
010408 	388 	31 	109 	108 
010409 	388 	31 	109 	108 
010410 	388 	31 	109 	108 
010411 	366 	23 	130 	130 
010412 	366 	23 	130 	130 
010413 	376 	31 	109 	108 
010414 	376 	31 	109 	108 
010415 	376 	31 	109 	108 
010416 	376 	31 	109 	108 
010417 	352 	8 	130 	130 
010418 	352 	8 	130 	130 
010419 	352 	8 	130 	130 
010420 	365 	19 	108 	108 
010421 	365 	19 	108 	108 
010422 	365 	19 	108 	108 
010423 	365 	31 	108 	108 
010424 	365 	31 	108 	108 
010425 	365 	43 	108 	108 
010426 	373 	45 	91 	91 
010427 	373 	45 	91 	91 
010428 	373 	45 	91 	91 
010429 	373 	45 	91 	91 
010430 	373 	45 	91 	91 
010431 	373 	45 	91 	91 
010432 	373 	45 	91 	91 
010433 	373 	45 	91 	91 
010434 	373 	45 	91 	91 
010435 	374 	45 	92 	92 
010436 	374 	45 	92 	92 
010437 	374 	45 	92 	92 
010438 	374 	45 	92 	92 
010439 	374 	45 	93 	93 
010440 	375 	45 	93 	93 
010441 	375 	45 	93 	93 
010442 	375 	45 	93 	93 
010443 	375 	45 	94 	93 
010444 	375 	45 	94 	94 
010445 	375 	45 	94 	94 
010446 	376 	45 	94 	94 
010447 	376 	45 	94 	94 
010448 	376 	45 	95 	94 
010449 	376 	45 	95 	95 
010450 	376 	45 	95 	95 
010451 	377 	45 	95 	95 
010452 	377 	44 	96 	95 
010453 	377 	44 	96 	96 
010454 	377 	44 	96 	96 
010455 	377 	44 	96 	96 
010456 	378 	44 	96 	96 
010457 	378 	44 	97 	96 
010458 	378 	44 	97 	97 
010459 	378 	44 	97 	97 
010460 	378 	44 	97 	97 
010461 	379 	44 	98 	97 
010462 	379 	44 	98 	97 
010463 	379 	44 	98 	98 
010464 	379 	44 	98 	98 
010465 	379 	44 	99 	98 
010466 	379 	44 	99 	98 
010467 	380 	44 	99 	99 
010468 	380 	44 	99 	99 
010469 	380 	44 	99 	99 
010470 	380 	44 	100 	99 
010471 	380 	44 	100 	99 
010472 	381 	44 	100 	100 
010473 	381 	44 	100 	100 
010474 	381 	44 	101 	100 
010475 	381 	44 	101 	100 
010476 	381 	44 	101 	100 
010477 	382 	44 	101 	101 
010478 	382 	44 	101 	101 
010479 	382 	44 	102 	101 
010480 	382 	44 	102 	101 
010481 	382 	44 	102 	102 
010482 	382 	44 	102 	102 
010483 	383 	44 	103 	102 
010484 	383 	44 	103 	102 
010485 	383 	44 	103 	102 
010486 	383 	44 	103 	103 
010487 	383 	44 	104 	103 
010488 	384 	44 	104 	103 
010489 	384 	44 	104 	103 
010490 	384 	44 	104 	103 
010491 	384 	44 	104 	104 
010492 	384 	43 	105 	104 
010493 	385 	43 	105 	104 
010494 	385 	43 	105 	104 
010495 	385 	43 	105 	105 
010496 	385 	43 	106 	105 
010497 	385 	43 	106 	105 
010498 	386 	43 	106 	105 
010499 	386 	43 	106 	105 
010500 	386 	43 	106 	106 
010501 	386 	43 	107 	106 
010502 	386 	43 	107 	106 
010503 	386 	43 	107 	106 
010504 	387 	43 	107 	106 
010505 	387 	43 	108 	107 
010506 	387 	43 	108 	107 
010507 	387 	43 	108 	107 
010508 	387 	43 	108 	107 
010509 	388 	43 	109 	108 
010510 	388 	43 	109 	108 
010511 	388 	43 	109 	108 
010512 	388 	43 	109 	108 
