Identity  : 	id10783
Reference : 	P0fcl9-MGE8
Offset    : 	-2
FV Conf   : 	18.035
ASD Conf  : 	7.434

FRAME 	X 	Y 	W 	H 
010371 	180 	80 	130 	130 
010372 	180 	80 	130 	130 
010373 	180 	80 	130 	130 
010374 	180 	80 	130 	130 
010375 	180 	80 	130 	130 
010376 	194 	66 	130 	130 
010377 	194 	80 	130 	130 
010378 	194 	80 	130 	130 
010379 	194 	94 	130 	130 
010380 	194 	94 	130 	130 
010381 	209 	114 	109 	109 
010382 	209 	114 	109 	109 
010383 	209 	114 	109 	109 
010384 	209 	114 	109 	109 
010385 	209 	114 	109 	109 
010386 	194 	94 	130 	130 
010387 	197 	102 	109 	109 
010388 	180 	94 	130 	130 
010389 	180 	94 	130 	130 
010390 	180 	94 	130 	130 
010391 	180 	94 	130 	130 
010392 	180 	94 	130 	130 
010393 	180 	94 	130 	130 
010394 	180 	94 	130 	130 
010395 	180 	94 	130 	130 
010396 	180 	80 	130 	130 
010397 	180 	80 	130 	130 
010398 	180 	80 	130 	130 
010399 	180 	80 	130 	130 
010400 	180 	80 	130 	130 
010401 	180 	80 	130 	130 
010402 	197 	102 	109 	109 
010403 	197 	102 	109 	109 
010404 	197 	90 	109 	109 
010405 	180 	80 	130 	130 
010406 	180 	80 	130 	130 
010407 	180 	80 	130 	130 
010408 	180 	80 	130 	130 
010409 	180 	80 	130 	130 
010410 	180 	80 	130 	130 
010411 	180 	80 	130 	130 
010412 	180 	80 	130 	130 
010413 	180 	80 	130 	130 
010414 	180 	80 	130 	130 
010415 	180 	80 	130 	130 
010416 	180 	80 	130 	130 
010417 	180 	80 	130 	130 
010418 	180 	80 	130 	130 
010419 	180 	80 	130 	130 
010420 	180 	80 	130 	130 
010421 	180 	80 	130 	130 
010422 	180 	80 	130 	130 
010423 	180 	80 	130 	130 
010424 	180 	80 	130 	130 
010425 	180 	80 	130 	130 
010426 	180 	80 	130 	130 
010427 	180 	80 	130 	130 
010428 	180 	80 	130 	130 
010429 	180 	80 	130 	130 
010430 	180 	80 	130 	130 
010431 	180 	80 	130 	130 
010432 	180 	80 	130 	130 
010433 	180 	80 	130 	130 
010434 	180 	80 	130 	130 
010435 	180 	80 	130 	130 
010436 	194 	80 	130 	130 
010437 	180 	80 	130 	130 
010438 	180 	80 	130 	130 
010439 	180 	80 	130 	130 
010440 	180 	66 	130 	130 
010441 	180 	66 	130 	130 
010442 	180 	66 	130 	130 
010443 	180 	66 	130 	130 
010444 	180 	66 	130 	130 
010445 	180 	66 	130 	130 
010446 	180 	66 	130 	130 
010447 	180 	66 	130 	130 
010448 	180 	80 	130 	130 
010449 	180 	80 	130 	130 
010450 	180 	80 	130 	130 
010451 	180 	80 	130 	130 
010452 	180 	80 	130 	130 
010453 	180 	80 	130 	130 
010454 	180 	80 	130 	130 
010455 	180 	80 	130 	130 
010456 	180 	94 	130 	130 
010457 	180 	94 	130 	130 
010458 	180 	94 	130 	130 
010459 	180 	94 	130 	130 
010460 	180 	94 	130 	130 
010461 	180 	94 	130 	130 
010462 	180 	94 	130 	130 
010463 	180 	94 	130 	130 
010464 	180 	94 	130 	130 
010465 	180 	80 	130 	130 
010466 	180 	80 	130 	130 
010467 	180 	80 	130 	130 
010468 	194 	80 	130 	130 
010469 	194 	80 	130 	130 
010470 	180 	80 	130 	130 
010471 	180 	80 	130 	130 
010472 	180 	80 	130 	130 
010473 	180 	94 	130 	130 
010474 	180 	94 	130 	130 
010475 	180 	94 	130 	130 
010476 	180 	94 	130 	130 
010477 	180 	80 	130 	130 
010478 	180 	80 	130 	130 
010479 	180 	80 	130 	130 
010480 	180 	80 	130 	130 
010481 	180 	80 	130 	130 
010482 	180 	80 	130 	130 
010483 	180 	80 	130 	130 
010484 	180 	80 	130 	130 
010485 	180 	80 	130 	130 
010486 	180 	80 	130 	130 
010487 	180 	80 	130 	130 
010488 	180 	80 	130 	130 
010489 	180 	80 	130 	130 
010490 	180 	80 	130 	130 
010491 	194 	80 	130 	130 
010492 	194 	80 	130 	130 
010493 	194 	80 	130 	130 
