Identity  : 	id10783
Reference : 	wKpYLlZVGrI
Offset    : 	-1
FV Conf   : 	18.985
ASD Conf  : 	5.400

FRAME 	X 	Y 	W 	H 
006272 	266 	109 	130 	130 
006273 	233 	79 	156 	156 
006274 	216 	79 	156 	156 
006275 	216 	79 	156 	156 
006276 	199 	79 	155 	156 
006277 	199 	79 	155 	156 
006278 	199 	96 	155 	156 
006279 	199 	96 	155 	156 
006280 	199 	113 	155 	156 
006281 	216 	113 	156 	156 
006282 	233 	113 	156 	156 
006283 	266 	123 	130 	130 
006284 	267 	113 	156 	156 
006285 	267 	113 	156 	156 
006286 	285 	113 	155 	156 
006287 	285 	113 	155 	156 
006288 	309 	123 	130 	130 
006289 	302 	113 	156 	156 
006290 	309 	123 	130 	130 
006291 	285 	113 	155 	156 
006292 	285 	96 	155 	156 
006293 	285 	96 	155 	156 
006294 	285 	96 	155 	156 
006295 	285 	96 	155 	156 
006296 	285 	96 	155 	156 
006297 	285 	96 	155 	156 
006298 	285 	96 	155 	156 
006299 	267 	96 	156 	156 
006300 	267 	79 	156 	156 
006301 	267 	79 	156 	156 
006302 	266 	94 	130 	130 
006303 	251 	94 	130 	130 
006304 	251 	94 	130 	130 
006305 	233 	96 	156 	156 
006306 	251 	109 	130 	130 
006307 	251 	109 	130 	130 
006308 	250 	96 	156 	156 
006309 	267 	79 	156 	156 
006310 	267 	79 	156 	156 
006311 	267 	79 	156 	156 
006312 	267 	79 	156 	156 
006313 	267 	96 	156 	156 
006314 	267 	96 	156 	156 
006315 	267 	96 	156 	156 
006316 	267 	96 	156 	156 
006317 	267 	96 	156 	156 
006318 	267 	96 	156 	156 
006319 	267 	96 	156 	156 
006320 	285 	113 	155 	156 
006321 	285 	113 	155 	156 
006322 	285 	113 	155 	156 
006323 	259 	95 	187 	186 
006324 	259 	95 	187 	186 
006325 	285 	96 	155 	156 
006326 	285 	96 	155 	156 
006327 	285 	96 	155 	156 
006328 	285 	113 	155 	156 
006329 	285 	113 	155 	156 
006330 	285 	96 	155 	156 
006331 	285 	96 	155 	156 
006332 	285 	96 	155 	156 
006333 	285 	96 	155 	156 
006334 	285 	96 	155 	156 
006335 	285 	96 	155 	156 
006336 	309 	109 	130 	130 
006337 	309 	109 	130 	130 
006338 	285 	96 	155 	156 
006339 	285 	96 	155 	156 
006340 	285 	96 	155 	156 
006341 	285 	96 	155 	156 
006342 	285 	96 	155 	156 
006343 	267 	113 	156 	156 
006344 	267 	130 	156 	156 
006345 	267 	130 	156 	156 
006346 	267 	130 	156 	156 
006347 	267 	113 	156 	156 
006348 	250 	96 	156 	156 
006349 	250 	96 	156 	156 
006350 	267 	96 	156 	156 
006351 	267 	96 	156 	156 
006352 	267 	113 	156 	156 
006353 	285 	113 	155 	156 
006354 	302 	130 	156 	156 
006355 	302 	130 	156 	156 
006356 	302 	113 	156 	156 
006357 	302 	113 	156 	156 
006358 	302 	113 	156 	156 
006359 	302 	113 	156 	156 
006360 	302 	130 	156 	156 
006361 	302 	130 	156 	156 
006362 	309 	152 	130 	130 
006363 	309 	152 	130 	130 
006364 	309 	152 	130 	130 
006365 	309 	152 	130 	130 
006366 	302 	148 	156 	155 
006367 	323 	152 	130 	130 
006368 	319 	130 	156 	156 
006369 	319 	130 	156 	156 
006370 	323 	152 	130 	130 
006371 	323 	137 	130 	130 
006372 	319 	130 	156 	156 
006373 	337 	137 	130 	130 
006374 	336 	130 	156 	156 
006375 	336 	130 	156 	156 
006376 	353 	130 	156 	156 
006377 	353 	130 	156 	156 
006378 	353 	130 	156 	156 
006379 	353 	130 	156 	156 
006380 	353 	130 	156 	156 
006381 	353 	130 	156 	156 
006382 	352 	137 	130 	130 
006383 	336 	130 	156 	156 
006384 	337 	137 	130 	130 
