Identity  : 	id10795
Reference : 	eudw4116xgQ
Offset    : 	0
FV Conf   : 	11.614
ASD Conf  : 	6.951

FRAME 	X 	Y 	W 	H 
008422 	194 	55 	91 	91 
008423 	194 	55 	91 	91 
008424 	194 	55 	91 	91 
008425 	194 	55 	91 	91 
008426 	194 	55 	91 	91 
008427 	194 	65 	91 	91 
008428 	194 	65 	91 	91 
008429 	173 	54 	109 	109 
008430 	184 	65 	91 	91 
008431 	184 	65 	91 	91 
008432 	184 	65 	91 	91 
008433 	184 	65 	91 	91 
008434 	184 	65 	91 	91 
008435 	184 	65 	91 	91 
008436 	184 	65 	91 	91 
008437 	184 	65 	91 	91 
008438 	173 	54 	109 	109 
008439 	173 	54 	109 	109 
008440 	173 	54 	109 	109 
008441 	173 	54 	109 	109 
008442 	194 	55 	91 	91 
008443 	194 	55 	91 	91 
008444 	194 	55 	91 	91 
008445 	194 	55 	91 	91 
008446 	194 	65 	91 	91 
008447 	194 	65 	91 	91 
008448 	185 	54 	109 	109 
008449 	185 	54 	109 	109 
008450 	185 	54 	109 	109 
008451 	185 	54 	109 	109 
008452 	185 	54 	109 	109 
008453 	185 	54 	109 	109 
008454 	185 	54 	109 	109 
008455 	204 	55 	91 	91 
008456 	204 	55 	91 	91 
008457 	204 	55 	91 	91 
008458 	204 	55 	91 	91 
008459 	204 	55 	91 	91 
008460 	204 	55 	91 	91 
008461 	204 	55 	91 	91 
008462 	204 	55 	91 	91 
008463 	204 	55 	91 	91 
008464 	204 	55 	91 	91 
008465 	197 	43 	109 	108 
008466 	197 	43 	109 	108 
008467 	197 	43 	109 	108 
008468 	197 	43 	109 	108 
008469 	197 	43 	109 	108 
008470 	197 	43 	109 	108 
008471 	197 	43 	109 	108 
008472 	197 	43 	109 	108 
008473 	197 	43 	109 	108 
008474 	197 	43 	109 	108 
008475 	197 	43 	109 	108 
008476 	197 	43 	109 	108 
008477 	197 	43 	109 	108 
008478 	197 	43 	109 	108 
008479 	197 	43 	109 	108 
008480 	197 	43 	109 	108 
008481 	197 	43 	109 	108 
008482 	197 	43 	109 	108 
008483 	197 	43 	109 	108 
008484 	197 	43 	109 	108 
008485 	197 	43 	109 	108 
008486 	204 	55 	91 	91 
008487 	204 	55 	91 	91 
008488 	204 	55 	91 	91 
008489 	204 	55 	91 	91 
008490 	204 	55 	91 	91 
008491 	204 	55 	91 	91 
008492 	204 	55 	91 	91 
008493 	204 	55 	91 	91 
008494 	204 	55 	91 	91 
008495 	204 	55 	91 	91 
008496 	185 	43 	109 	108 
008497 	185 	43 	109 	108 
008498 	185 	43 	109 	108 
008499 	185 	43 	109 	108 
008500 	194 	55 	91 	91 
008501 	173 	43 	109 	108 
008502 	184 	55 	91 	91 
008503 	184 	55 	91 	91 
008504 	174 	55 	91 	91 
008505 	174 	55 	91 	91 
008506 	174 	55 	91 	91 
008507 	174 	55 	91 	91 
008508 	174 	55 	91 	91 
008509 	161 	43 	109 	108 
008510 	161 	43 	109 	108 
008511 	161 	43 	109 	108 
008512 	174 	55 	91 	91 
008513 	174 	55 	91 	91 
008514 	174 	55 	91 	91 
008515 	174 	55 	91 	91 
008516 	174 	55 	91 	91 
008517 	161 	54 	109 	109 
008518 	161 	54 	109 	109 
008519 	174 	65 	91 	91 
008520 	174 	55 	91 	91 
008521 	161 	54 	109 	109 
008522 	161 	54 	109 	109 
008523 	161 	54 	109 	109 
008524 	161 	54 	109 	109 
008525 	161 	54 	109 	109 
008526 	161 	54 	109 	109 
008527 	161 	54 	109 	109 
008528 	161 	54 	109 	109 
008529 	161 	54 	109 	109 
008530 	161 	54 	109 	109 
008531 	161 	54 	109 	109 
008532 	174 	65 	91 	91 
008533 	174 	65 	91 	91 
008534 	161 	54 	109 	109 
008535 	161 	54 	109 	109 
008536 	161 	54 	109 	109 
008537 	161 	54 	109 	109 
008538 	161 	54 	109 	109 
008539 	184 	65 	91 	91 
008540 	184 	65 	91 	91 
008541 	173 	54 	109 	109 
008542 	173 	54 	109 	109 
008543 	173 	54 	109 	109 
008544 	173 	54 	109 	109 
008545 	173 	54 	109 	109 
008546 	184 	65 	91 	91 
008547 	173 	54 	109 	109 
008548 	184 	65 	91 	91 
008549 	184 	65 	91 	91 
008550 	184 	65 	91 	91 
008551 	184 	65 	91 	91 
008552 	184 	65 	91 	91 
008553 	173 	54 	109 	109 
008554 	184 	65 	91 	91 
008555 	184 	65 	91 	91 
008556 	184 	65 	91 	91 
008557 	184 	65 	91 	91 
008558 	184 	65 	91 	91 
008559 	184 	65 	91 	91 
008560 	184 	65 	91 	91 
008561 	184 	65 	91 	91 
008562 	184 	65 	91 	91 
008563 	184 	75 	91 	91 
008564 	184 	75 	91 	91 
008565 	184 	75 	91 	91 
008566 	184 	75 	91 	91 
008567 	184 	75 	91 	91 
008568 	173 	54 	109 	109 
008569 	173 	54 	109 	109 
008570 	173 	54 	109 	109 
008571 	173 	54 	109 	109 
008572 	173 	54 	109 	109 
008573 	173 	54 	109 	109 
008574 	173 	54 	109 	109 
008575 	173 	54 	109 	109 
008576 	173 	54 	109 	109 
008577 	173 	54 	109 	109 
008578 	173 	54 	109 	109 
008579 	173 	54 	109 	109 
