Identity  : 	id10795
Reference : 	iAz_9ts9BRc
Offset    : 	-1
FV Conf   : 	20.154
ASD Conf  : 	5.128

FRAME 	X 	Y 	W 	H 
014941 	164 	55 	91 	91 
014942 	164 	55 	91 	91 
014943 	164 	55 	91 	91 
014944 	164 	55 	91 	91 
014945 	169 	60 	91 	91 
014946 	174 	65 	91 	91 
014947 	174 	55 	91 	91 
014948 	174 	55 	91 	91 
014949 	174 	55 	91 	91 
014950 	180 	58 	84 	84 
014951 	186 	62 	76 	76 
014952 	186 	62 	76 	76 
014953 	186 	62 	76 	76 
014954 	186 	62 	76 	76 
014955 	180 	63 	84 	84 
014956 	174 	64 	92 	92 
014957 	167 	65 	101 	101 
014958 	161 	66 	109 	109 
014959 	161 	66 	109 	109 
014960 	161 	66 	109 	109 
014961 	161 	66 	109 	109 
014962 	161 	66 	109 	109 
014963 	161 	66 	109 	109 
014964 	161 	66 	109 	109 
014965 	173 	66 	109 	109 
014966 	173 	66 	109 	109 
014967 	173 	66 	109 	109 
014968 	173 	66 	109 	109 
014969 	173 	66 	109 	109 
014970 	173 	66 	109 	109 
014971 	173 	66 	109 	109 
014972 	173 	66 	109 	109 
014973 	173 	78 	109 	109 
014974 	173 	78 	109 	109 
014975 	173 	78 	109 	109 
014976 	173 	78 	109 	109 
014977 	173 	78 	109 	109 
014978 	173 	78 	109 	109 
014979 	173 	66 	109 	109 
014980 	173 	66 	109 	109 
014981 	194 	75 	91 	91 
014982 	185 	66 	109 	109 
014983 	185 	66 	109 	109 
014984 	185 	66 	109 	109 
014985 	185 	66 	109 	109 
014986 	185 	66 	109 	109 
014987 	194 	75 	91 	91 
014988 	173 	66 	109 	109 
014989 	173 	66 	109 	109 
014990 	173 	66 	109 	109 
014991 	173 	66 	109 	109 
014992 	173 	66 	109 	109 
014993 	173 	66 	109 	109 
014994 	173 	66 	109 	109 
014995 	173 	66 	109 	109 
014996 	185 	66 	109 	109 
014997 	185 	66 	109 	109 
014998 	173 	66 	109 	109 
014999 	173 	66 	109 	109 
015000 	173 	66 	109 	109 
015001 	173 	66 	109 	109 
015002 	173 	66 	109 	109 
015003 	173 	66 	109 	109 
015004 	173 	66 	109 	109 
015005 	185 	78 	109 	109 
015006 	185 	78 	109 	109 
015007 	185 	78 	109 	109 
015008 	185 	78 	109 	109 
015009 	173 	78 	109 	109 
015010 	173 	78 	109 	109 
015011 	173 	78 	109 	109 
015012 	173 	78 	109 	109 
015013 	173 	78 	109 	109 
015014 	173 	78 	109 	109 
015015 	173 	78 	109 	109 
015016 	173 	78 	109 	109 
015017 	173 	78 	109 	109 
015018 	173 	78 	109 	109 
015019 	173 	78 	109 	109 
015020 	173 	78 	109 	109 
015021 	173 	78 	109 	109 
015022 	173 	78 	109 	109 
015023 	173 	78 	109 	109 
015024 	173 	78 	109 	109 
015025 	173 	78 	109 	109 
015026 	173 	78 	109 	109 
015027 	173 	78 	109 	109 
015028 	173 	78 	109 	109 
015029 	173 	78 	109 	109 
015030 	173 	78 	109 	109 
015031 	173 	78 	109 	109 
015032 	173 	78 	109 	109 
015033 	173 	78 	109 	109 
015034 	173 	78 	109 	109 
015035 	173 	78 	109 	109 
015036 	173 	78 	109 	109 
015037 	173 	78 	109 	109 
015038 	173 	78 	109 	109 
015039 	173 	66 	109 	109 
015040 	173 	66 	109 	109 
015041 	185 	66 	109 	109 
015042 	185 	66 	109 	109 
015043 	185 	66 	109 	109 
015044 	185 	66 	109 	109 
015045 	185 	66 	109 	109 
015046 	185 	66 	109 	109 
015047 	185 	66 	109 	109 
015048 	185 	66 	109 	109 
015049 	185 	66 	109 	109 
015050 	185 	78 	109 	109 
015051 	185 	78 	109 	109 
015052 	185 	78 	109 	109 
015053 	185 	78 	109 	109 
015054 	173 	78 	109 	109 
015055 	173 	78 	109 	109 
015056 	173 	66 	109 	109 
015057 	173 	66 	109 	109 
015058 	173 	66 	109 	109 
015059 	173 	66 	109 	109 
015060 	173 	66 	109 	109 
015061 	173 	66 	109 	109 
015062 	173 	66 	109 	109 
015063 	173 	66 	109 	109 
015064 	173 	54 	109 	109 
015065 	161 	66 	109 	109 
015066 	161 	54 	109 	109 
015067 	173 	54 	109 	109 
015068 	173 	54 	109 	109 
015069 	173 	54 	109 	109 
015070 	173 	54 	109 	109 
015071 	173 	54 	109 	109 
015072 	173 	66 	109 	109 
015073 	173 	66 	109 	109 
015074 	173 	66 	109 	109 
015075 	185 	66 	109 	109 
015076 	185 	66 	109 	109 
015077 	185 	66 	109 	109 
015078 	185 	66 	109 	109 
015079 	185 	66 	109 	109 
015080 	185 	66 	109 	109 
015081 	185 	66 	109 	109 
015082 	173 	66 	109 	109 
015083 	173 	66 	109 	109 
015084 	173 	66 	109 	109 
015085 	173 	66 	109 	109 
015086 	173 	66 	109 	109 
