Identity  : 	id10809
Reference : 	mMqxJPT264Q
Offset    : 	-2
FV Conf   : 	17.316
ASD Conf  : 	5.312

FRAME 	X 	Y 	W 	H 
000185 	309 	66 	130 	130 
000186 	309 	66 	130 	130 
000187 	309 	66 	130 	130 
000188 	294 	66 	130 	130 
000189 	294 	66 	130 	130 
000190 	294 	66 	130 	130 
000191 	280 	66 	130 	130 
000192 	280 	66 	130 	130 
000193 	293 	78 	108 	109 
000194 	293 	78 	108 	109 
000195 	293 	78 	108 	109 
000196 	281 	90 	108 	109 
000197 	281 	90 	108 	109 
000198 	266 	80 	130 	130 
000199 	269 	90 	108 	109 
000200 	269 	102 	108 	109 
000201 	251 	80 	130 	130 
000202 	251 	94 	130 	130 
000203 	251 	80 	130 	130 
000204 	257 	102 	109 	109 
000205 	257 	102 	109 	109 
000206 	257 	102 	109 	109 
000207 	257 	102 	109 	109 
000208 	257 	102 	109 	109 
000209 	257 	102 	109 	109 
000210 	257 	102 	109 	109 
000211 	257 	102 	109 	109 
000212 	257 	102 	109 	109 
000213 	257 	102 	109 	109 
000214 	257 	102 	109 	109 
000215 	257 	102 	109 	109 
000216 	257 	114 	109 	109 
000217 	257 	114 	109 	109 
000218 	237 	109 	130 	130 
000219 	245 	114 	109 	109 
000220 	245 	114 	109 	109 
000221 	245 	114 	109 	109 
000222 	245 	114 	109 	109 
000223 	233 	114 	109 	109 
000224 	233 	114 	109 	109 
000225 	233 	114 	109 	109 
000226 	233 	114 	109 	109 
000227 	233 	114 	109 	109 
000228 	221 	114 	109 	109 
000229 	221 	114 	109 	109 
000230 	221 	114 	109 	109 
000231 	221 	114 	109 	109 
000232 	221 	114 	109 	109 
000233 	221 	114 	109 	109 
000234 	221 	114 	109 	109 
000235 	209 	114 	109 	109 
000236 	209 	114 	109 	109 
000237 	209 	102 	109 	109 
000238 	209 	102 	109 	109 
000239 	209 	102 	109 	109 
000240 	209 	102 	109 	109 
000241 	208 	94 	130 	130 
000242 	221 	114 	109 	109 
000243 	208 	109 	130 	130 
000244 	208 	109 	130 	130 
000245 	208 	109 	130 	130 
000246 	208 	109 	130 	130 
000247 	223 	109 	130 	130 
000248 	223 	109 	130 	130 
000249 	223 	109 	130 	130 
000250 	223 	109 	130 	130 
000251 	223 	109 	130 	130 
000252 	223 	109 	130 	130 
000253 	223 	109 	130 	130 
000254 	223 	109 	130 	130 
000255 	223 	109 	130 	130 
000256 	208 	109 	130 	130 
000257 	221 	126 	109 	109 
000258 	208 	123 	130 	130 
000259 	208 	123 	130 	130 
000260 	221 	126 	109 	109 
000261 	221 	126 	109 	109 
000262 	221 	126 	109 	109 
000263 	221 	126 	109 	109 
000264 	233 	126 	109 	109 
000265 	223 	109 	130 	130 
000266 	223 	109 	130 	130 
000267 	233 	126 	109 	109 
000268 	233 	126 	109 	109 
000269 	208 	109 	130 	130 
000270 	221 	126 	109 	109 
000271 	208 	109 	130 	130 
000272 	208 	109 	130 	130 
000273 	208 	109 	130 	130 
000274 	208 	109 	130 	130 
000275 	208 	109 	130 	130 
000276 	208 	109 	130 	130 
000277 	221 	126 	109 	109 
000278 	221 	126 	109 	109 
000279 	208 	109 	130 	130 
000280 	208 	109 	130 	130 
000281 	208 	109 	130 	130 
000282 	233 	114 	109 	109 
000283 	233 	114 	109 	109 
000284 	223 	109 	130 	130 
000285 	223 	94 	130 	130 
000286 	223 	94 	130 	130 
000287 	216 	79 	156 	156 
000288 	223 	94 	130 	130 
000289 	233 	114 	109 	109 
000290 	233 	114 	109 	109 
000291 	233 	114 	109 	109 
000292 	233 	114 	109 	109 
000293 	223 	109 	130 	130 
000294 	233 	114 	109 	109 
000295 	233 	114 	109 	109 
000296 	233 	114 	109 	109 
