Identity  : 	id10820
Reference : 	Nkq8JkpR5z0
Offset    : 	-1
FV Conf   : 	20.624
ASD Conf  : 	6.236

FRAME 	X 	Y 	W 	H 
003486 	254 	105 	90 	91 
003487 	254 	105 	90 	91 
003488 	254 	105 	90 	91 
003489 	254 	105 	90 	91 
003490 	254 	105 	90 	91 
003491 	254 	105 	90 	91 
003492 	254 	105 	90 	91 
003493 	254 	105 	90 	91 
003494 	254 	105 	90 	91 
003495 	254 	105 	90 	91 
003496 	254 	105 	90 	91 
003497 	254 	105 	90 	91 
003498 	264 	105 	90 	91 
003499 	264 	105 	90 	91 
003500 	264 	105 	90 	91 
003501 	264 	105 	90 	91 
003502 	264 	105 	90 	91 
003503 	264 	105 	90 	91 
003504 	264 	105 	90 	91 
003505 	264 	105 	90 	91 
003506 	264 	105 	90 	91 
003507 	264 	105 	90 	91 
003508 	264 	105 	90 	91 
003509 	264 	105 	90 	91 
003510 	274 	105 	90 	91 
003511 	274 	105 	90 	91 
003512 	274 	105 	90 	91 
003513 	274 	105 	90 	91 
003514 	274 	105 	90 	91 
003515 	274 	105 	90 	91 
003516 	274 	105 	90 	91 
003517 	274 	105 	90 	91 
003518 	274 	105 	90 	91 
003519 	274 	105 	90 	91 
003520 	274 	105 	90 	91 
003521 	274 	105 	90 	91 
003522 	274 	105 	90 	91 
003523 	274 	105 	90 	91 
003524 	284 	105 	90 	91 
003525 	269 	90 	108 	109 
003526 	269 	90 	108 	109 
003527 	274 	95 	90 	91 
003528 	274 	95 	90 	91 
003529 	274 	95 	90 	91 
003530 	274 	95 	90 	91 
003531 	274 	95 	90 	91 
003532 	274 	95 	90 	91 
003533 	274 	105 	90 	91 
003534 	274 	105 	90 	91 
003535 	274 	105 	90 	91 
003536 	274 	105 	90 	91 
003537 	274 	105 	90 	91 
003538 	274 	105 	90 	91 
003539 	274 	95 	90 	91 
003540 	286 	104 	76 	76 
003541 	274 	95 	90 	91 
003542 	274 	95 	90 	91 
003543 	286 	104 	76 	76 
003544 	274 	105 	90 	91 
003545 	274 	105 	90 	91 
003546 	274 	105 	90 	91 
003547 	274 	95 	90 	91 
003548 	274 	95 	90 	91 
003549 	274 	95 	90 	91 
003550 	274 	105 	90 	91 
003551 	274 	105 	90 	91 
003552 	274 	105 	90 	91 
003553 	274 	105 	90 	91 
003554 	274 	105 	90 	91 
003555 	274 	105 	90 	91 
003556 	274 	105 	90 	91 
003557 	274 	105 	90 	91 
003558 	274 	105 	90 	91 
003559 	274 	105 	90 	91 
003560 	274 	105 	90 	91 
003561 	274 	105 	90 	91 
003562 	274 	105 	90 	91 
003563 	274 	105 	90 	91 
003564 	274 	105 	90 	91 
003565 	274 	105 	90 	91 
003566 	274 	105 	90 	91 
003567 	274 	105 	90 	91 
003568 	274 	105 	90 	91 
003569 	274 	105 	90 	91 
003570 	274 	105 	90 	91 
003571 	274 	105 	90 	91 
003572 	274 	105 	90 	91 
003573 	274 	105 	90 	91 
003574 	274 	105 	90 	91 
003575 	274 	105 	90 	91 
003576 	274 	105 	90 	91 
003577 	284 	105 	90 	91 
003578 	274 	105 	90 	91 
003579 	274 	95 	90 	91 
003580 	274 	95 	90 	91 
003581 	264 	95 	90 	91 
003582 	264 	95 	90 	91 
003583 	264 	105 	90 	91 
003584 	264 	105 	90 	91 
003585 	264 	105 	90 	91 
003586 	264 	105 	90 	91 
003587 	264 	105 	90 	91 
003588 	264 	105 	90 	91 
003589 	264 	105 	90 	91 
003590 	264 	105 	90 	91 
003591 	264 	105 	90 	91 
003592 	264 	105 	90 	91 
003593 	264 	105 	90 	91 
003594 	264 	105 	90 	91 
003595 	264 	105 	90 	91 
003596 	264 	105 	90 	91 
003597 	264 	105 	90 	91 
003598 	264 	105 	90 	91 
003599 	264 	105 	90 	91 
003600 	264 	105 	90 	91 
003601 	264 	105 	90 	91 
003602 	264 	105 	90 	91 
003603 	264 	105 	90 	91 
003604 	264 	105 	90 	91 
003605 	264 	105 	90 	91 
003606 	264 	105 	90 	91 
003607 	264 	105 	90 	91 
003608 	264 	105 	90 	91 
003609 	264 	105 	90 	91 
003610 	264 	105 	90 	91 
003611 	264 	105 	90 	91 
003612 	264 	105 	90 	91 
003613 	264 	105 	90 	91 
003614 	264 	105 	90 	91 
003615 	264 	105 	90 	91 
003616 	264 	105 	90 	91 
003617 	264 	105 	90 	91 
003618 	264 	105 	90 	91 
003619 	264 	105 	90 	91 
003620 	264 	105 	90 	91 
003621 	264 	105 	90 	91 
003622 	264 	105 	90 	91 
003623 	264 	105 	90 	91 
003624 	264 	105 	90 	91 
003625 	264 	105 	90 	91 
003626 	264 	105 	90 	91 
003627 	264 	105 	90 	91 
003628 	264 	105 	90 	91 
003629 	264 	105 	90 	91 
003630 	264 	105 	90 	91 
003631 	264 	105 	90 	91 
003632 	264 	105 	90 	91 
003633 	264 	105 	90 	91 
003634 	264 	105 	90 	91 
003635 	264 	105 	90 	91 
003636 	264 	105 	90 	91 
003637 	264 	105 	90 	91 
003638 	264 	105 	90 	91 
003639 	264 	105 	90 	91 
003640 	264 	105 	90 	91 
003641 	264 	105 	90 	91 
003642 	264 	105 	90 	91 
003643 	274 	105 	90 	91 
003644 	274 	105 	90 	91 
003645 	274 	105 	90 	91 
003646 	274 	105 	90 	91 
003647 	274 	105 	90 	91 
003648 	274 	105 	90 	91 
003649 	274 	105 	90 	91 
003650 	274 	105 	90 	91 
003651 	274 	105 	90 	91 
003652 	274 	105 	90 	91 
003653 	274 	105 	90 	91 
003654 	274 	105 	90 	91 
003655 	274 	105 	90 	91 
003656 	274 	105 	90 	91 
003657 	274 	105 	90 	91 
003658 	274 	105 	90 	91 
003659 	274 	105 	90 	91 
003660 	274 	105 	90 	91 
003661 	274 	105 	90 	91 
003662 	274 	105 	90 	91 
003663 	274 	105 	90 	91 
003664 	274 	105 	90 	91 
003665 	274 	105 	90 	91 
003666 	274 	105 	90 	91 
003667 	274 	105 	90 	91 
003668 	274 	105 	90 	91 
003669 	274 	105 	90 	91 
003670 	274 	105 	90 	91 
003671 	274 	105 	90 	91 
003672 	274 	105 	90 	91 
003673 	274 	105 	90 	91 
003674 	274 	105 	90 	91 
003675 	274 	105 	90 	91 
003676 	274 	105 	90 	91 
003677 	274 	105 	90 	91 
003678 	274 	105 	90 	91 
003679 	274 	105 	90 	91 
003680 	274 	105 	90 	91 
003681 	274 	105 	90 	91 
003682 	274 	105 	90 	91 
003683 	274 	105 	90 	91 
003684 	274 	105 	90 	91 
003685 	274 	105 	90 	91 
003686 	274 	105 	90 	91 
003687 	274 	105 	90 	91 
003688 	274 	105 	90 	91 
003689 	274 	105 	90 	91 
003690 	274 	105 	90 	91 
003691 	274 	105 	90 	91 
003692 	274 	105 	90 	91 
003693 	274 	105 	90 	91 
003694 	274 	105 	90 	91 
003695 	274 	105 	90 	91 
003696 	274 	105 	90 	91 
003697 	274 	105 	90 	91 
003698 	274 	105 	90 	91 
003699 	274 	105 	90 	91 
003700 	274 	105 	90 	91 
003701 	274 	105 	90 	91 
003702 	274 	105 	90 	91 
003703 	274 	105 	90 	91 
003704 	274 	105 	90 	91 
003705 	274 	105 	90 	91 
003706 	274 	105 	90 	91 
003707 	274 	105 	90 	91 
003708 	274 	105 	90 	91 
003709 	274 	105 	90 	91 
003710 	274 	105 	90 	91 
003711 	274 	105 	90 	91 
003712 	284 	105 	90 	91 
003713 	284 	105 	90 	91 
003714 	284 	105 	90 	91 
003715 	284 	105 	90 	91 
003716 	284 	105 	90 	91 
003717 	274 	105 	90 	91 
003718 	274 	105 	90 	91 
003719 	274 	105 	90 	91 
003720 	274 	105 	90 	91 
003721 	274 	105 	90 	91 
003722 	274 	105 	90 	91 
003723 	274 	105 	90 	91 
003724 	274 	105 	90 	91 
003725 	274 	105 	90 	91 
003726 	274 	105 	90 	91 
003727 	274 	105 	90 	91 
003728 	274 	105 	90 	91 
003729 	274 	105 	90 	91 
003730 	274 	105 	90 	91 
003731 	274 	105 	90 	91 
003732 	274 	105 	90 	91 
003733 	274 	105 	90 	91 
003734 	274 	105 	90 	91 
