Identity  : 	id10820
Reference : 	x8UcNlFaqiE
Offset    : 	-2
FV Conf   : 	17.832
ASD Conf  : 	7.369

FRAME 	X 	Y 	W 	H 
001940 	373 	85 	91 	91 
001941 	373 	85 	91 	91 
001942 	373 	85 	91 	91 
001943 	373 	85 	91 	91 
001944 	373 	95 	91 	91 
001945 	373 	95 	91 	91 
001946 	373 	95 	91 	91 
001947 	373 	85 	91 	91 
001948 	373 	85 	91 	91 
001949 	373 	85 	91 	91 
001950 	373 	85 	91 	91 
001951 	373 	95 	91 	91 
001952 	373 	85 	91 	91 
001953 	373 	85 	91 	91 
001954 	373 	85 	91 	91 
001955 	373 	85 	91 	91 
001956 	373 	85 	91 	91 
001957 	373 	85 	91 	91 
001958 	373 	85 	91 	91 
001959 	373 	85 	91 	91 
001960 	373 	85 	91 	91 
001961 	373 	85 	91 	91 
001962 	373 	85 	91 	91 
001963 	363 	85 	91 	91 
001964 	363 	85 	91 	91 
001965 	363 	85 	91 	91 
001966 	363 	85 	91 	91 
001967 	353 	85 	91 	91 
001968 	341 	66 	108 	109 
001969 	343 	75 	91 	91 
001970 	343 	85 	91 	91 
001971 	343 	85 	91 	91 
001972 	344 	85 	91 	91 
001973 	345 	85 	91 	91 
001974 	346 	85 	91 	91 
001975 	346 	85 	91 	91 
001976 	347 	85 	91 	91 
001977 	348 	85 	91 	91 
001978 	349 	85 	91 	91 
001979 	350 	85 	91 	91 
001980 	350 	85 	91 	91 
001981 	351 	85 	91 	91 
001982 	352 	85 	91 	91 
001983 	353 	85 	91 	91 
001984 	354 	85 	91 	91 
001985 	355 	85 	91 	91 
001986 	356 	85 	91 	91 
001987 	356 	85 	91 	91 
001988 	357 	85 	91 	91 
001989 	358 	85 	91 	91 
001990 	359 	85 	91 	91 
001991 	360 	85 	91 	91 
001992 	360 	85 	91 	91 
001993 	361 	85 	91 	91 
001994 	362 	85 	91 	91 
001995 	363 	85 	91 	91 
001996 	363 	85 	91 	91 
001997 	363 	85 	91 	91 
001998 	363 	95 	91 	91 
001999 	363 	95 	91 	91 
002000 	363 	95 	91 	91 
002001 	363 	85 	91 	91 
002002 	363 	85 	91 	91 
002003 	363 	85 	91 	91 
002004 	363 	85 	91 	91 
002005 	363 	95 	91 	91 
002006 	363 	95 	91 	91 
002007 	363 	95 	91 	91 
002008 	373 	95 	91 	91 
002009 	373 	95 	91 	91 
002010 	373 	95 	91 	91 
002011 	373 	95 	91 	91 
002012 	373 	95 	91 	91 
002013 	373 	95 	91 	91 
002014 	373 	95 	91 	91 
002015 	373 	95 	91 	91 
002016 	383 	95 	91 	91 
002017 	383 	95 	91 	91 
002018 	383 	95 	91 	91 
002019 	383 	95 	91 	91 
002020 	383 	95 	91 	91 
002021 	383 	85 	91 	91 
002022 	383 	85 	91 	91 
002023 	383 	85 	91 	91 
002024 	383 	85 	91 	91 
002025 	383 	85 	91 	91 
002026 	383 	85 	91 	91 
002027 	383 	85 	91 	91 
002028 	383 	85 	91 	91 
002029 	383 	85 	91 	91 
002030 	383 	85 	91 	91 
002031 	383 	85 	91 	91 
002032 	383 	85 	91 	91 
002033 	383 	85 	91 	91 
002034 	383 	85 	91 	91 
002035 	383 	85 	91 	91 
002036 	383 	85 	91 	91 
002037 	383 	85 	91 	91 
002038 	383 	85 	91 	91 
002039 	383 	85 	91 	91 
002040 	383 	85 	91 	91 
002041 	383 	85 	91 	91 
002042 	383 	85 	91 	91 
002043 	383 	85 	91 	91 
002044 	383 	85 	91 	91 
002045 	383 	85 	91 	91 
002046 	383 	85 	91 	91 
002047 	383 	85 	91 	91 
002048 	383 	85 	91 	91 
002049 	373 	85 	91 	91 
002050 	373 	85 	91 	91 
002051 	373 	85 	91 	91 
002052 	383 	85 	91 	91 
002053 	383 	85 	91 	91 
002054 	383 	85 	91 	91 
002055 	383 	85 	91 	91 
002056 	383 	85 	91 	91 
002057 	383 	85 	91 	91 
002058 	383 	85 	91 	91 
002059 	393 	85 	91 	91 
002060 	393 	85 	91 	91 
002061 	393 	85 	91 	91 
002062 	393 	85 	91 	91 
002063 	403 	85 	91 	91 
002064 	403 	85 	91 	91 
002065 	403 	85 	91 	91 
002066 	403 	85 	91 	91 
002067 	403 	85 	91 	91 
002068 	403 	85 	91 	91 
002069 	413 	85 	91 	91 
002070 	413 	85 	91 	91 
002071 	413 	85 	91 	91 
002072 	413 	85 	91 	91 
