Identity  : 	id10830
Reference : 	5r2lSmUG0po
Offset    : 	-4
FV Conf   : 	17.549
ASD Conf  : 	7.248

FRAME 	X 	Y 	W 	H 
005177 	274 	75 	90 	91 
005178 	274 	75 	90 	91 
005179 	274 	75 	90 	91 
005180 	274 	75 	90 	91 
005181 	274 	75 	90 	91 
005182 	274 	75 	90 	91 
005183 	274 	75 	90 	91 
005184 	274 	75 	90 	91 
005185 	274 	75 	90 	91 
005186 	274 	75 	90 	91 
005187 	274 	75 	90 	91 
005188 	274 	75 	90 	91 
005189 	274 	75 	90 	91 
005190 	274 	75 	90 	91 
005191 	274 	75 	90 	91 
005192 	269 	66 	108 	109 
005193 	269 	66 	108 	109 
005194 	284 	75 	90 	91 
005195 	269 	66 	108 	109 
005196 	269 	66 	108 	109 
005197 	284 	75 	90 	91 
005198 	284 	75 	90 	91 
005199 	284 	75 	90 	91 
005200 	284 	75 	90 	91 
005201 	284 	75 	90 	91 
005202 	284 	75 	90 	91 
005203 	284 	75 	90 	91 
005204 	284 	75 	90 	91 
005205 	281 	66 	108 	109 
005206 	281 	66 	108 	109 
005207 	281 	66 	108 	109 
005208 	281 	66 	108 	109 
005209 	281 	66 	108 	109 
005210 	281 	66 	108 	109 
005211 	281 	66 	108 	109 
005212 	281 	66 	108 	109 
005213 	281 	66 	108 	109 
005214 	281 	66 	108 	109 
005215 	266 	51 	130 	130 
005216 	284 	75 	90 	91 
005217 	284 	75 	90 	91 
005218 	284 	75 	90 	91 
005219 	284 	75 	90 	91 
005220 	284 	75 	90 	91 
005221 	284 	75 	90 	91 
005222 	284 	75 	90 	91 
005223 	284 	75 	90 	91 
005224 	284 	75 	90 	91 
005225 	284 	75 	90 	91 
005226 	284 	75 	90 	91 
005227 	284 	75 	90 	91 
005228 	284 	75 	90 	91 
005229 	284 	75 	90 	91 
005230 	284 	75 	90 	91 
005231 	284 	75 	90 	91 
005232 	284 	75 	90 	91 
005233 	284 	75 	90 	91 
005234 	281 	66 	108 	109 
005235 	281 	66 	108 	109 
005236 	281 	66 	108 	109 
005237 	281 	66 	108 	109 
005238 	281 	66 	108 	109 
005239 	281 	66 	108 	109 
005240 	281 	66 	108 	109 
005241 	281 	66 	108 	109 
005242 	281 	66 	108 	109 
005243 	281 	66 	108 	109 
005244 	281 	66 	108 	109 
005245 	281 	66 	108 	109 
005246 	281 	66 	108 	109 
005247 	281 	66 	108 	109 
005248 	281 	66 	108 	109 
005249 	281 	66 	108 	109 
005250 	281 	66 	108 	109 
005251 	281 	66 	108 	109 
005252 	281 	66 	108 	109 
005253 	281 	66 	108 	109 
005254 	281 	66 	108 	109 
005255 	281 	66 	108 	109 
005256 	281 	66 	108 	109 
005257 	281 	66 	108 	109 
005258 	281 	66 	108 	109 
005259 	281 	66 	108 	109 
005260 	281 	66 	108 	109 
005261 	281 	66 	108 	109 
005262 	281 	66 	108 	109 
005263 	281 	66 	108 	109 
005264 	281 	66 	108 	109 
005265 	281 	66 	108 	109 
005266 	281 	66 	108 	109 
005267 	281 	66 	108 	109 
005268 	281 	66 	108 	109 
005269 	281 	66 	108 	109 
005270 	281 	66 	108 	109 
005271 	281 	66 	108 	109 
005272 	281 	66 	108 	109 
005273 	281 	66 	108 	109 
005274 	281 	66 	108 	109 
005275 	281 	66 	108 	109 
005276 	281 	66 	108 	109 
005277 	281 	66 	108 	109 
005278 	281 	66 	108 	109 
005279 	281 	66 	108 	109 
005280 	281 	66 	108 	109 
005281 	281 	66 	108 	109 
005282 	269 	66 	108 	109 
005283 	269 	66 	108 	109 
005284 	269 	66 	108 	109 
005285 	269 	66 	108 	109 
005286 	269 	66 	108 	109 
005287 	269 	66 	108 	109 
005288 	269 	66 	108 	109 
005289 	269 	66 	108 	109 
005290 	269 	66 	108 	109 
005291 	274 	75 	90 	91 
