Identity  : 	id10830
Reference : 	BETpEZOK66c
Offset    : 	-3
FV Conf   : 	18.664
ASD Conf  : 	7.829

FRAME 	X 	Y 	W 	H 
001258 	267 	79 	156 	156 
001259 	280 	80 	130 	130 
001260 	280 	80 	130 	130 
001261 	280 	80 	130 	130 
001262 	280 	80 	130 	130 
001263 	280 	80 	130 	130 
001264 	266 	80 	130 	130 
001265 	266 	80 	130 	130 
001266 	266 	94 	130 	130 
001267 	266 	94 	130 	130 
001268 	266 	94 	130 	130 
001269 	250 	79 	156 	156 
001270 	251 	94 	130 	130 
001271 	251 	80 	130 	130 
001272 	251 	80 	130 	130 
001273 	251 	80 	130 	130 
001274 	251 	80 	130 	130 
001275 	251 	80 	130 	130 
001276 	251 	80 	130 	130 
001277 	251 	80 	130 	130 
001278 	251 	80 	130 	130 
001279 	251 	80 	130 	130 
001280 	251 	80 	130 	130 
001281 	251 	80 	130 	130 
001282 	251 	80 	130 	130 
001283 	251 	80 	130 	130 
001284 	251 	80 	130 	130 
001285 	266 	80 	130 	130 
001286 	266 	80 	130 	130 
001287 	266 	80 	130 	130 
001288 	266 	80 	130 	130 
001289 	280 	80 	130 	130 
001290 	280 	80 	130 	130 
001291 	280 	80 	130 	130 
001292 	280 	80 	130 	130 
001293 	280 	80 	130 	130 
001294 	280 	80 	130 	130 
001295 	280 	80 	130 	130 
001296 	280 	80 	130 	130 
001297 	280 	80 	130 	130 
001298 	280 	80 	130 	130 
001299 	280 	80 	130 	130 
001300 	280 	80 	130 	130 
001301 	280 	80 	130 	130 
001302 	280 	80 	130 	130 
001303 	280 	80 	130 	130 
001304 	280 	80 	130 	130 
001305 	280 	94 	130 	130 
001306 	267 	79 	156 	156 
001307 	280 	94 	130 	130 
001308 	280 	94 	130 	130 
001309 	280 	94 	130 	130 
001310 	280 	94 	130 	130 
001311 	280 	94 	130 	130 
001312 	280 	94 	130 	130 
001313 	280 	94 	130 	130 
001314 	280 	94 	130 	130 
001315 	280 	94 	130 	130 
001316 	280 	94 	130 	130 
001317 	266 	94 	130 	130 
001318 	266 	94 	130 	130 
001319 	266 	94 	130 	130 
001320 	266 	94 	130 	130 
001321 	266 	94 	130 	130 
001322 	266 	94 	130 	130 
001323 	266 	94 	130 	130 
001324 	266 	94 	130 	130 
001325 	266 	94 	130 	130 
001326 	266 	94 	130 	130 
001327 	266 	94 	130 	130 
001328 	266 	94 	130 	130 
001329 	266 	94 	130 	130 
001330 	266 	94 	130 	130 
001331 	266 	94 	130 	130 
001332 	266 	94 	130 	130 
001333 	266 	94 	130 	130 
001334 	266 	94 	130 	130 
001335 	266 	94 	130 	130 
001336 	266 	94 	130 	130 
001337 	266 	94 	130 	130 
001338 	266 	94 	130 	130 
001339 	266 	94 	130 	130 
001340 	266 	94 	130 	130 
001341 	266 	94 	130 	130 
001342 	266 	94 	130 	130 
001343 	266 	94 	130 	130 
001344 	266 	94 	130 	130 
001345 	266 	94 	130 	130 
001346 	266 	94 	130 	130 
001347 	266 	94 	130 	130 
001348 	266 	94 	130 	130 
001349 	266 	94 	130 	130 
001350 	250 	79 	156 	156 
001351 	250 	79 	156 	156 
001352 	266 	94 	130 	130 
001353 	266 	94 	130 	130 
001354 	266 	94 	130 	130 
001355 	266 	94 	130 	130 
001356 	266 	94 	130 	130 
001357 	266 	94 	130 	130 
001358 	266 	94 	130 	130 
001359 	250 	79 	156 	156 
001360 	266 	94 	130 	130 
001361 	266 	94 	130 	130 
001362 	266 	94 	130 	130 
001363 	266 	94 	130 	130 
001364 	266 	94 	130 	130 
001365 	250 	79 	156 	156 
001366 	266 	94 	130 	130 
001367 	250 	79 	156 	156 
001368 	266 	94 	130 	130 
001369 	266 	94 	130 	130 
001370 	266 	94 	130 	130 
001371 	266 	94 	130 	130 
001372 	266 	94 	130 	130 
001373 	266 	94 	130 	130 
001374 	266 	94 	130 	130 
001375 	266 	94 	130 	130 
001376 	266 	94 	130 	130 
001377 	266 	94 	130 	130 
001378 	266 	94 	130 	130 
001379 	266 	94 	130 	130 
001380 	250 	79 	156 	156 
001381 	250 	79 	156 	156 
001382 	250 	79 	156 	156 
001383 	266 	94 	130 	130 
001384 	266 	94 	130 	130 
001385 	266 	94 	130 	130 
001386 	266 	94 	130 	130 
001387 	266 	94 	130 	130 
001388 	266 	94 	130 	130 
001389 	250 	79 	156 	156 
