Identity  : 	id10830
Reference : 	NaSrxgvKjlI
Offset    : 	-1
FV Conf   : 	22.210
ASD Conf  : 	5.239

FRAME 	X 	Y 	W 	H 
000886 	413 	55 	91 	91 
000887 	413 	55 	91 	91 
000888 	413 	55 	91 	91 
000889 	413 	55 	91 	91 
000890 	413 	55 	91 	91 
000891 	413 	55 	91 	91 
000892 	413 	55 	91 	91 
000893 	413 	55 	91 	91 
000894 	413 	55 	91 	91 
000895 	413 	55 	91 	91 
000896 	413 	55 	91 	91 
000897 	413 	55 	91 	91 
000898 	413 	55 	91 	91 
000899 	413 	55 	91 	91 
000900 	413 	55 	91 	91 
000901 	413 	55 	91 	91 
000902 	413 	65 	91 	91 
000903 	413 	65 	91 	91 
000904 	413 	65 	91 	91 
000905 	413 	55 	91 	91 
000906 	413 	55 	91 	91 
000907 	413 	55 	91 	91 
000908 	413 	55 	91 	91 
000909 	413 	55 	91 	91 
000910 	413 	55 	91 	91 
000911 	413 	55 	91 	91 
000912 	413 	55 	91 	91 
000913 	413 	55 	91 	91 
000914 	413 	55 	91 	91 
000915 	413 	55 	91 	91 
000916 	413 	55 	91 	91 
000917 	413 	55 	91 	91 
000918 	413 	55 	91 	91 
000919 	413 	55 	91 	91 
000920 	413 	55 	91 	91 
000921 	400 	54 	109 	109 
000922 	400 	54 	109 	109 
000923 	400 	54 	109 	109 
000924 	400 	54 	109 	109 
000925 	400 	54 	109 	109 
000926 	400 	54 	109 	109 
000927 	400 	54 	109 	109 
000928 	400 	54 	109 	109 
000929 	400 	54 	109 	109 
000930 	400 	54 	109 	109 
000931 	400 	54 	109 	109 
000932 	400 	54 	109 	109 
000933 	400 	54 	109 	109 
000934 	400 	54 	109 	109 
000935 	400 	54 	109 	109 
000936 	413 	55 	91 	91 
000937 	413 	65 	91 	91 
000938 	413 	55 	91 	91 
000939 	413 	65 	91 	91 
000940 	413 	65 	91 	91 
000941 	413 	65 	91 	91 
000942 	413 	65 	91 	91 
000943 	413 	65 	91 	91 
000944 	413 	65 	91 	91 
000945 	413 	65 	91 	91 
000946 	403 	65 	91 	91 
000947 	403 	55 	91 	91 
000948 	403 	55 	91 	91 
000949 	403 	55 	91 	91 
000950 	403 	55 	91 	91 
000951 	403 	55 	91 	91 
000952 	403 	55 	91 	91 
000953 	403 	65 	91 	91 
000954 	403 	65 	91 	91 
000955 	403 	55 	91 	91 
000956 	403 	55 	91 	91 
000957 	403 	55 	91 	91 
000958 	403 	55 	91 	91 
000959 	403 	55 	91 	91 
000960 	403 	55 	91 	91 
000961 	403 	55 	91 	91 
000962 	403 	55 	91 	91 
000963 	403 	55 	91 	91 
000964 	403 	55 	91 	91 
000965 	403 	55 	91 	91 
000966 	403 	55 	91 	91 
000967 	400 	54 	109 	109 
000968 	400 	54 	109 	109 
000969 	400 	54 	109 	109 
000970 	400 	54 	109 	109 
000971 	400 	54 	109 	109 
000972 	400 	54 	109 	109 
000973 	400 	54 	109 	109 
000974 	400 	54 	109 	109 
000975 	403 	65 	91 	91 
000976 	403 	65 	91 	91 
000977 	403 	65 	91 	91 
000978 	388 	54 	109 	109 
000979 	388 	54 	109 	109 
000980 	393 	65 	91 	91 
000981 	393 	65 	91 	91 
000982 	393 	65 	91 	91 
000983 	393 	65 	91 	91 
000984 	393 	65 	91 	91 
000985 	376 	54 	109 	109 
000986 	376 	54 	109 	109 
000987 	376 	54 	109 	109 
000988 	383 	65 	91 	91 
000989 	383 	65 	91 	91 
000990 	383 	65 	91 	91 
