Identity  : 	id10830
Reference : 	j9skKm3FIKI
Offset    : 	-3
FV Conf   : 	18.845
ASD Conf  : 	6.716

FRAME 	X 	Y 	W 	H 
002791 	184 	65 	91 	91 
002792 	184 	65 	91 	91 
002793 	184 	65 	91 	91 
002794 	184 	65 	91 	91 
002795 	184 	65 	91 	91 
002796 	184 	65 	91 	91 
002797 	184 	65 	91 	91 
002798 	184 	65 	91 	91 
002799 	184 	65 	91 	91 
002800 	184 	65 	91 	91 
002801 	184 	65 	91 	91 
002802 	184 	65 	91 	91 
002803 	184 	65 	91 	91 
002804 	184 	65 	91 	91 
002805 	184 	65 	91 	91 
002806 	184 	65 	91 	91 
002807 	184 	65 	91 	91 
002808 	184 	65 	91 	91 
002809 	184 	65 	91 	91 
002810 	184 	65 	91 	91 
002811 	184 	65 	91 	91 
002812 	184 	65 	91 	91 
002813 	184 	65 	91 	91 
002814 	184 	65 	91 	91 
002815 	184 	65 	91 	91 
002816 	184 	65 	91 	91 
002817 	184 	65 	91 	91 
002818 	184 	65 	91 	91 
002819 	184 	65 	91 	91 
002820 	184 	65 	91 	91 
002821 	184 	65 	91 	91 
002822 	184 	65 	91 	91 
002823 	184 	65 	91 	91 
002824 	184 	65 	91 	91 
002825 	184 	65 	91 	91 
002826 	184 	65 	91 	91 
002827 	184 	65 	91 	91 
002828 	184 	65 	91 	91 
002829 	184 	65 	91 	91 
002830 	184 	65 	91 	91 
002831 	184 	65 	91 	91 
002832 	184 	65 	91 	91 
002833 	184 	65 	91 	91 
002834 	184 	65 	91 	91 
002835 	184 	65 	91 	91 
002836 	184 	65 	91 	91 
002837 	184 	65 	91 	91 
002838 	184 	65 	91 	91 
002839 	184 	65 	91 	91 
002840 	184 	65 	91 	91 
002841 	184 	65 	91 	91 
002842 	184 	65 	91 	91 
002843 	184 	65 	91 	91 
002844 	184 	65 	91 	91 
002845 	184 	65 	91 	91 
002846 	184 	65 	91 	91 
002847 	184 	65 	91 	91 
002848 	184 	65 	91 	91 
002849 	184 	65 	91 	91 
002850 	184 	65 	91 	91 
002851 	184 	65 	91 	91 
002852 	184 	65 	91 	91 
002853 	184 	65 	91 	91 
002854 	184 	65 	91 	91 
002855 	184 	65 	91 	91 
002856 	184 	65 	91 	91 
002857 	184 	65 	91 	91 
002858 	184 	65 	91 	91 
002859 	184 	65 	91 	91 
002860 	184 	65 	91 	91 
002861 	184 	65 	91 	91 
002862 	184 	65 	91 	91 
002863 	184 	65 	91 	91 
002864 	184 	65 	91 	91 
002865 	184 	65 	91 	91 
002866 	184 	65 	91 	91 
002867 	184 	65 	91 	91 
002868 	184 	65 	91 	91 
002869 	184 	65 	91 	91 
002870 	184 	65 	91 	91 
002871 	184 	65 	91 	91 
002872 	184 	65 	91 	91 
002873 	184 	65 	91 	91 
002874 	184 	65 	91 	91 
002875 	184 	65 	91 	91 
002876 	184 	65 	91 	91 
002877 	184 	65 	91 	91 
002878 	184 	65 	91 	91 
002879 	184 	65 	91 	91 
002880 	184 	65 	91 	91 
002881 	195 	71 	75 	75 
002882 	195 	71 	75 	75 
002883 	194 	65 	91 	91 
002884 	194 	65 	91 	91 
002885 	194 	65 	91 	91 
002886 	195 	79 	75 	76 
002887 	194 	65 	91 	91 
002888 	195 	79 	75 	76 
002889 	195 	71 	75 	75 
002890 	184 	65 	91 	91 
002891 	184 	65 	91 	91 
002892 	184 	65 	91 	91 
002893 	184 	65 	91 	91 
002894 	184 	65 	91 	91 
002895 	184 	65 	91 	91 
002896 	184 	65 	91 	91 
002897 	184 	65 	91 	91 
002898 	184 	65 	91 	91 
002899 	184 	65 	91 	91 
002900 	184 	65 	91 	91 
002901 	184 	65 	91 	91 
002902 	184 	65 	91 	91 
002903 	184 	65 	91 	91 
002904 	184 	65 	91 	91 
002905 	184 	65 	91 	91 
002906 	184 	65 	91 	91 
002907 	184 	65 	91 	91 
002908 	184 	65 	91 	91 
002909 	184 	65 	91 	91 
002910 	184 	65 	91 	91 
002911 	184 	65 	91 	91 
002912 	184 	65 	91 	91 
002913 	184 	55 	91 	91 
002914 	184 	55 	91 	91 
002915 	184 	55 	91 	91 
002916 	184 	55 	91 	91 
002917 	184 	55 	91 	91 
002918 	174 	55 	91 	91 
002919 	174 	55 	91 	91 
002920 	174 	55 	91 	91 
002921 	174 	65 	91 	91 
002922 	174 	65 	91 	91 
002923 	174 	55 	91 	91 
002924 	186 	71 	76 	75 
002925 	186 	71 	76 	75 
002926 	184 	55 	91 	91 
002927 	184 	55 	91 	91 
002928 	195 	62 	75 	76 
002929 	194 	55 	91 	91 
002930 	194 	55 	91 	91 
002931 	194 	65 	91 	91 
002932 	194 	65 	91 	91 
002933 	194 	65 	91 	91 
002934 	194 	65 	91 	91 
002935 	194 	65 	91 	91 
002936 	194 	55 	91 	91 
002937 	194 	55 	91 	91 
002938 	195 	62 	75 	76 
002939 	195 	62 	75 	76 
002940 	195 	62 	75 	76 
002941 	195 	62 	75 	76 
002942 	195 	62 	75 	76 
002943 	194 	65 	91 	91 
002944 	194 	65 	91 	91 
002945 	195 	71 	75 	75 
002946 	195 	71 	75 	75 
002947 	195 	71 	75 	75 
002948 	195 	71 	75 	75 
002949 	195 	71 	75 	75 
002950 	184 	65 	91 	91 
002951 	184 	65 	91 	91 
002952 	184 	65 	91 	91 
002953 	184 	65 	91 	91 
002954 	184 	65 	91 	91 
002955 	184 	65 	91 	91 
002956 	184 	65 	91 	91 
002957 	184 	65 	91 	91 
002958 	184 	65 	91 	91 
002959 	184 	65 	91 	91 
002960 	184 	65 	91 	91 
002961 	184 	65 	91 	91 
002962 	184 	65 	91 	91 
002963 	184 	65 	91 	91 
002964 	184 	65 	91 	91 
002965 	184 	65 	91 	91 
002966 	184 	65 	91 	91 
002967 	184 	55 	91 	91 
002968 	184 	55 	91 	91 
002969 	184 	55 	91 	91 
002970 	184 	55 	91 	91 
002971 	184 	55 	91 	91 
002972 	184 	55 	91 	91 
002973 	184 	55 	91 	91 
002974 	184 	55 	91 	91 
002975 	184 	55 	91 	91 
002976 	184 	55 	91 	91 
002977 	184 	55 	91 	91 
002978 	184 	55 	91 	91 
002979 	195 	62 	75 	76 
002980 	195 	62 	75 	76 
002981 	184 	55 	91 	91 
002982 	184 	55 	91 	91 
002983 	184 	55 	91 	91 
002984 	186 	71 	76 	75 
002985 	174 	65 	91 	91 
002986 	174 	65 	91 	91 
002987 	174 	65 	91 	91 
002988 	174 	65 	91 	91 
002989 	174 	65 	91 	91 
002990 	174 	65 	91 	91 
002991 	186 	71 	76 	75 
002992 	184 	65 	91 	91 
