Identity  : 	id10830
Reference : 	jSYGKQ93m78
Offset    : 	0
FV Conf   : 	23.000
ASD Conf  : 	5.635

FRAME 	X 	Y 	W 	H 
002460 	120 	62 	76 	76 
002461 	120 	62 	76 	76 
002462 	120 	54 	76 	76 
002463 	120 	54 	76 	76 
002464 	120 	54 	76 	76 
002465 	120 	46 	76 	76 
002466 	120 	38 	76 	75 
002467 	121 	45 	63 	63 
002468 	121 	45 	63 	63 
002469 	121 	45 	63 	63 
002470 	121 	45 	63 	63 
002471 	112 	46 	75 	76 
002472 	112 	46 	75 	76 
002473 	112 	46 	75 	76 
002474 	112 	46 	75 	76 
002475 	112 	46 	75 	76 
002476 	112 	46 	75 	76 
002477 	112 	46 	75 	76 
002478 	112 	38 	75 	75 
002479 	112 	38 	75 	75 
002480 	114 	45 	63 	63 
002481 	114 	45 	63 	63 
002482 	114 	45 	63 	63 
002483 	114 	45 	63 	63 
002484 	114 	45 	63 	63 
002485 	114 	45 	63 	63 
002486 	114 	45 	63 	63 
002487 	103 	38 	76 	75 
002488 	103 	38 	76 	75 
002489 	103 	38 	76 	75 
002490 	103 	38 	76 	75 
002491 	103 	38 	76 	75 
002492 	103 	38 	76 	75 
002493 	103 	38 	76 	75 
002494 	103 	38 	76 	75 
002495 	103 	38 	76 	75 
002496 	103 	38 	76 	75 
002497 	114 	45 	63 	63 
002498 	114 	45 	63 	63 
002499 	114 	45 	63 	63 
002500 	114 	45 	63 	63 
002501 	114 	45 	63 	63 
002502 	114 	45 	63 	63 
002503 	114 	45 	63 	63 
002504 	114 	45 	63 	63 
002505 	114 	45 	63 	63 
002506 	114 	45 	63 	63 
002507 	103 	38 	76 	75 
002508 	103 	38 	76 	75 
002509 	114 	52 	63 	63 
002510 	114 	52 	63 	63 
002511 	114 	52 	63 	63 
002512 	114 	52 	63 	63 
002513 	114 	52 	63 	63 
002514 	114 	52 	63 	63 
002515 	114 	52 	63 	63 
002516 	114 	52 	63 	63 
002517 	112 	46 	75 	76 
002518 	112 	46 	75 	76 
002519 	112 	46 	75 	76 
002520 	121 	52 	63 	63 
002521 	112 	46 	75 	76 
002522 	121 	52 	63 	63 
002523 	121 	52 	63 	63 
002524 	121 	52 	63 	63 
002525 	121 	52 	63 	63 
002526 	121 	52 	63 	63 
002527 	112 	46 	75 	76 
002528 	121 	59 	63 	63 
002529 	112 	54 	75 	76 
002530 	112 	54 	75 	76 
002531 	112 	54 	75 	76 
002532 	112 	54 	75 	76 
002533 	112 	54 	75 	76 
002534 	112 	54 	75 	76 
002535 	112 	54 	75 	76 
002536 	112 	54 	75 	76 
002537 	112 	54 	75 	76 
002538 	114 	59 	63 	63 
002539 	114 	59 	63 	63 
002540 	114 	59 	63 	63 
002541 	114 	59 	63 	63 
002542 	114 	59 	63 	63 
002543 	114 	59 	63 	63 
002544 	114 	59 	63 	63 
002545 	103 	46 	76 	76 
002546 	103 	46 	76 	76 
002547 	103 	46 	76 	76 
002548 	103 	46 	76 	76 
002549 	103 	46 	76 	76 
002550 	103 	46 	76 	76 
002551 	103 	46 	76 	76 
002552 	114 	59 	63 	63 
002553 	114 	59 	63 	63 
002554 	114 	59 	63 	63 
002555 	114 	59 	63 	63 
002556 	114 	59 	63 	63 
002557 	114 	59 	63 	63 
002558 	114 	59 	63 	63 
002559 	112 	54 	75 	76 
002560 	121 	59 	63 	63 
002561 	121 	59 	63 	63 
002562 	121 	59 	63 	63 
002563 	121 	59 	63 	63 
002564 	121 	59 	63 	63 
002565 	112 	54 	75 	76 
002566 	112 	54 	75 	76 
002567 	112 	54 	75 	76 
002568 	112 	54 	75 	76 
002569 	112 	54 	75 	76 
