Identity  : 	id10830
Reference : 	mfHiKz4GFm0
Offset    : 	-5
FV Conf   : 	20.434
ASD Conf  : 	8.444

FRAME 	X 	Y 	W 	H 
001683 	304 	65 	90 	91 
001684 	304 	65 	90 	91 
001685 	304 	65 	90 	91 
001686 	304 	65 	90 	91 
001687 	304 	65 	90 	91 
001688 	304 	65 	90 	91 
001689 	304 	65 	90 	91 
001690 	304 	65 	90 	91 
001691 	304 	65 	90 	91 
001692 	304 	65 	90 	91 
001693 	293 	54 	108 	109 
001694 	304 	65 	90 	91 
001695 	293 	54 	108 	109 
001696 	304 	65 	90 	91 
001697 	304 	65 	90 	91 
001698 	304 	65 	90 	91 
001699 	304 	65 	90 	91 
001700 	304 	65 	90 	91 
001701 	304 	65 	90 	91 
001702 	304 	65 	90 	91 
001703 	304 	65 	90 	91 
001704 	304 	65 	90 	91 
001705 	304 	65 	90 	91 
001706 	304 	65 	90 	91 
001707 	304 	65 	90 	91 
001708 	304 	65 	90 	91 
001709 	304 	65 	90 	91 
001710 	304 	65 	90 	91 
001711 	304 	65 	90 	91 
001712 	304 	65 	90 	91 
001713 	304 	65 	90 	91 
001714 	304 	65 	90 	91 
001715 	304 	65 	90 	91 
001716 	304 	65 	90 	91 
001717 	304 	65 	90 	91 
001718 	304 	65 	90 	91 
001719 	304 	65 	90 	91 
001720 	304 	65 	90 	91 
001721 	304 	65 	90 	91 
001722 	304 	65 	90 	91 
001723 	304 	65 	90 	91 
001724 	304 	65 	90 	91 
001725 	304 	65 	90 	91 
001726 	304 	65 	90 	91 
001727 	304 	65 	90 	91 
001728 	304 	65 	90 	91 
001729 	304 	65 	90 	91 
001730 	304 	65 	90 	91 
001731 	304 	65 	90 	91 
001732 	304 	65 	90 	91 
001733 	304 	65 	90 	91 
001734 	304 	65 	90 	91 
001735 	293 	54 	108 	109 
001736 	314 	65 	90 	91 
001737 	314 	65 	90 	91 
001738 	314 	65 	90 	91 
001739 	314 	65 	90 	91 
001740 	314 	75 	90 	91 
001741 	314 	75 	90 	91 
001742 	323 	75 	91 	91 
001743 	323 	75 	91 	91 
001744 	323 	75 	91 	91 
001745 	323 	75 	91 	91 
001746 	317 	66 	108 	109 
001747 	317 	66 	108 	109 
001748 	333 	75 	91 	91 
001749 	333 	75 	91 	91 
001750 	333 	75 	91 	91 
001751 	333 	75 	91 	91 
001752 	333 	75 	91 	91 
001753 	333 	75 	91 	91 
001754 	333 	75 	91 	91 
001755 	333 	75 	91 	91 
001756 	333 	75 	91 	91 
001757 	333 	75 	91 	91 
001758 	333 	65 	91 	91 
001759 	333 	65 	91 	91 
001760 	333 	65 	91 	91 
001761 	333 	65 	91 	91 
001762 	333 	65 	91 	91 
001763 	333 	65 	91 	91 
001764 	333 	75 	91 	91 
001765 	333 	75 	91 	91 
001766 	333 	75 	91 	91 
001767 	333 	75 	91 	91 
001768 	317 	66 	108 	109 
001769 	333 	75 	91 	91 
001770 	333 	75 	91 	91 
001771 	333 	75 	91 	91 
001772 	333 	75 	91 	91 
001773 	333 	75 	91 	91 
001774 	333 	75 	91 	91 
001775 	333 	75 	91 	91 
001776 	333 	75 	91 	91 
001777 	333 	65 	91 	91 
001778 	333 	65 	91 	91 
001779 	333 	65 	91 	91 
001780 	333 	65 	91 	91 
001781 	333 	65 	91 	91 
001782 	333 	65 	91 	91 
001783 	333 	75 	91 	91 
001784 	333 	75 	91 	91 
001785 	317 	54 	108 	109 
001786 	317 	54 	108 	109 
001787 	333 	65 	91 	91 
001788 	333 	65 	91 	91 
001789 	333 	65 	91 	91 
001790 	333 	65 	91 	91 
001791 	333 	65 	91 	91 
001792 	333 	55 	91 	91 
001793 	333 	55 	91 	91 
001794 	333 	55 	91 	91 
001795 	333 	55 	91 	91 
001796 	333 	55 	91 	91 
001797 	317 	54 	108 	109 
001798 	323 	55 	91 	91 
