Identity  : 	id10841
Reference : 	DGE5oNG34Yk
Offset    : 	-1
FV Conf   : 	13.692
ASD Conf  : 	5.215

FRAME 	X 	Y 	W 	H 
002991 	385 	62 	76 	76 
002992 	383 	45 	91 	91 
002993 	383 	45 	91 	91 
002994 	394 	46 	75 	76 
002995 	394 	46 	75 	76 
002996 	383 	35 	91 	91 
002997 	394 	46 	75 	76 
002998 	385 	46 	76 	76 
002999 	385 	46 	76 	76 
003000 	385 	54 	76 	76 
003001 	384 	50 	84 	84 
003002 	383 	45 	91 	91 
003003 	383 	45 	91 	91 
003004 	394 	54 	75 	76 
003005 	394 	54 	75 	76 
003006 	394 	54 	75 	76 
003007 	383 	45 	91 	91 
003008 	394 	54 	75 	76 
003009 	394 	54 	75 	76 
003010 	394 	54 	75 	76 
003011 	394 	54 	75 	76 
003012 	394 	54 	75 	76 
003013 	394 	54 	75 	76 
003014 	394 	54 	75 	76 
003015 	394 	54 	75 	76 
003016 	394 	54 	75 	76 
003017 	394 	54 	75 	76 
003018 	394 	54 	75 	76 
003019 	394 	54 	75 	76 
003020 	394 	54 	75 	76 
003021 	383 	45 	91 	91 
003022 	383 	45 	91 	91 
003023 	394 	54 	75 	76 
003024 	383 	45 	91 	91 
003025 	385 	54 	76 	76 
003026 	385 	54 	76 	76 
003027 	385 	54 	76 	76 
003028 	383 	45 	91 	91 
003029 	385 	54 	76 	76 
003030 	383 	45 	91 	91 
003031 	383 	45 	91 	91 
003032 	385 	54 	76 	76 
003033 	385 	54 	76 	76 
003034 	385 	54 	76 	76 
003035 	385 	54 	76 	76 
003036 	385 	54 	76 	76 
003037 	385 	54 	76 	76 
003038 	385 	54 	76 	76 
003039 	377 	54 	76 	76 
003040 	377 	54 	76 	76 
003041 	377 	54 	76 	76 
003042 	383 	66 	63 	63 
003043 	369 	54 	76 	76 
003044 	369 	54 	76 	76 
003045 	376 	66 	64 	63 
003046 	376 	66 	64 	63 
003047 	376 	66 	64 	63 
003048 	376 	66 	64 	63 
003049 	369 	54 	76 	76 
003050 	369 	54 	76 	76 
003051 	369 	54 	76 	76 
003052 	369 	54 	76 	76 
003053 	369 	54 	76 	76 
003054 	369 	54 	76 	76 
003055 	369 	54 	76 	76 
003056 	369 	62 	76 	76 
003057 	377 	62 	76 	76 
003058 	377 	54 	76 	76 
003059 	377 	54 	76 	76 
003060 	385 	54 	76 	76 
003061 	385 	54 	76 	76 
003062 	385 	54 	76 	76 
003063 	385 	54 	76 	76 
003064 	385 	54 	76 	76 
003065 	385 	54 	76 	76 
003066 	385 	54 	76 	76 
003067 	373 	45 	91 	91 
003068 	373 	45 	91 	91 
003069 	373 	45 	91 	91 
003070 	373 	45 	91 	91 
003071 	373 	45 	91 	91 
003072 	373 	45 	91 	91 
003073 	373 	45 	91 	91 
003074 	373 	45 	91 	91 
003075 	373 	45 	91 	91 
003076 	385 	62 	76 	76 
003077 	385 	62 	76 	76 
003078 	385 	54 	76 	76 
003079 	385 	54 	76 	76 
003080 	385 	54 	76 	76 
003081 	383 	45 	91 	91 
003082 	394 	54 	75 	76 
003083 	394 	54 	75 	76 
003084 	394 	62 	75 	76 
003085 	394 	62 	75 	76 
003086 	394 	62 	75 	76 
003087 	394 	62 	75 	76 
003088 	394 	62 	75 	76 
003089 	383 	55 	91 	91 
003090 	383 	55 	91 	91 
003091 	383 	45 	91 	91 
003092 	383 	45 	91 	91 
003093 	385 	54 	76 	76 
003094 	385 	62 	76 	76 
