Identity  : 	id10846
Reference : 	FWGmZq_wkgY
Offset    : 	-2
FV Conf   : 	20.364
ASD Conf  : 	6.792

FRAME 	X 	Y 	W 	H 
002739 	218 	115 	187 	187 
002740 	218 	115 	187 	187 
002741 	218 	115 	187 	187 
002742 	218 	115 	187 	187 
002743 	218 	115 	187 	187 
002744 	218 	115 	187 	187 
002745 	218 	115 	187 	187 
002746 	218 	115 	187 	187 
002747 	218 	115 	187 	187 
002748 	218 	115 	187 	187 
002749 	218 	115 	187 	187 
002750 	218 	115 	187 	187 
002751 	218 	115 	187 	187 
002752 	218 	115 	187 	187 
002753 	218 	115 	187 	187 
002754 	218 	115 	187 	187 
002755 	218 	115 	187 	187 
002756 	218 	115 	187 	187 
002757 	218 	115 	187 	187 
002758 	218 	115 	187 	187 
002759 	218 	115 	187 	187 
002760 	218 	115 	187 	187 
002761 	218 	115 	187 	187 
002762 	218 	115 	187 	187 
002763 	218 	115 	187 	187 
002764 	218 	115 	187 	187 
002765 	218 	115 	187 	187 
002766 	218 	115 	187 	187 
002767 	218 	115 	187 	187 
002768 	218 	115 	187 	187 
002769 	218 	115 	187 	187 
002770 	218 	115 	187 	187 
002771 	218 	115 	187 	187 
002772 	218 	115 	187 	187 
002773 	218 	115 	187 	187 
002774 	218 	115 	187 	187 
002775 	218 	115 	187 	187 
002776 	218 	115 	187 	187 
002777 	218 	115 	187 	187 
002778 	218 	115 	187 	187 
002779 	218 	115 	187 	187 
002780 	218 	115 	187 	187 
002781 	218 	115 	187 	187 
002782 	218 	115 	187 	187 
002783 	218 	115 	187 	187 
002784 	218 	115 	187 	187 
002785 	218 	115 	187 	187 
002786 	218 	115 	187 	187 
002787 	218 	115 	187 	187 
002788 	218 	115 	187 	187 
002789 	218 	115 	187 	187 
002790 	218 	115 	187 	187 
002791 	218 	115 	187 	187 
002792 	218 	115 	187 	187 
002793 	218 	115 	187 	187 
002794 	218 	115 	187 	187 
002795 	218 	115 	187 	187 
002796 	218 	115 	187 	187 
002797 	218 	115 	187 	187 
002798 	218 	115 	187 	187 
002799 	218 	115 	187 	187 
002800 	218 	115 	187 	187 
002801 	218 	115 	187 	187 
002802 	218 	115 	187 	187 
002803 	197 	115 	187 	187 
002804 	197 	115 	187 	187 
002805 	197 	115 	187 	187 
002806 	197 	115 	187 	187 
002807 	197 	115 	187 	187 
002808 	197 	115 	187 	187 
002809 	197 	115 	187 	187 
002810 	197 	115 	187 	187 
002811 	197 	115 	187 	187 
002812 	197 	115 	187 	187 
002813 	197 	115 	187 	187 
002814 	197 	115 	187 	187 
002815 	197 	115 	187 	187 
002816 	197 	115 	187 	187 
002817 	197 	115 	187 	187 
002818 	197 	115 	187 	187 
002819 	197 	115 	187 	187 
002820 	197 	115 	187 	187 
002821 	197 	115 	187 	187 
002822 	197 	115 	187 	187 
002823 	197 	115 	187 	187 
002824 	197 	115 	187 	187 
002825 	197 	115 	187 	187 
002826 	197 	115 	187 	187 
002827 	197 	115 	187 	187 
002828 	197 	115 	187 	187 
002829 	197 	115 	187 	187 
002830 	197 	115 	187 	187 
002831 	197 	115 	187 	187 
002832 	188 	89 	224 	224 
002833 	188 	89 	224 	224 
002834 	188 	89 	224 	224 
002835 	188 	89 	224 	224 
002836 	188 	89 	224 	224 
002837 	188 	89 	224 	224 
002838 	188 	89 	224 	224 
002839 	188 	89 	224 	224 
002840 	188 	89 	224 	224 
