Identity  : 	id10846
Reference : 	Yr1zRtz_q9A
Offset    : 	-2
FV Conf   : 	18.311
ASD Conf  : 	6.928

FRAME 	X 	Y 	W 	H 
008500 	252 	107 	63 	63 
008501 	252 	107 	63 	63 
008502 	252 	107 	63 	63 
008503 	244 	96 	76 	75 
008504 	252 	107 	63 	63 
008505 	244 	96 	76 	75 
008506 	244 	96 	76 	75 
008507 	252 	107 	63 	63 
008508 	252 	107 	63 	63 
008509 	252 	107 	63 	63 
008510 	244 	96 	76 	75 
008511 	244 	96 	76 	75 
008512 	244 	96 	76 	75 
008513 	244 	96 	76 	75 
008514 	244 	96 	76 	75 
008515 	244 	96 	76 	75 
008516 	244 	97 	74 	73 
008517 	244 	97 	72 	71 
008518 	244 	98 	70 	70 
008519 	245 	99 	67 	68 
008520 	245 	99 	65 	66 
008521 	245 	100 	63 	64 
008522 	245 	100 	63 	64 
008523 	245 	100 	63 	64 
008524 	245 	100 	63 	64 
008525 	245 	100 	63 	64 
008526 	245 	100 	63 	64 
008527 	245 	100 	63 	64 
008528 	245 	100 	63 	64 
008529 	245 	100 	63 	64 
008530 	245 	100 	63 	64 
008531 	245 	100 	63 	64 
008532 	245 	100 	63 	64 
008533 	245 	100 	63 	64 
008534 	245 	100 	63 	64 
008535 	245 	100 	63 	64 
008536 	245 	100 	63 	64 
008537 	245 	100 	63 	64 
008538 	245 	100 	63 	64 
008539 	245 	100 	63 	64 
008540 	245 	100 	63 	64 
008541 	245 	100 	63 	64 
008542 	245 	100 	63 	64 
008543 	245 	100 	63 	64 
008544 	245 	100 	63 	64 
008545 	245 	100 	63 	64 
008546 	245 	100 	63 	64 
008547 	245 	100 	63 	64 
008548 	245 	100 	63 	64 
008549 	245 	100 	63 	64 
008550 	245 	100 	63 	64 
008551 	245 	100 	63 	64 
008552 	245 	100 	63 	64 
008553 	245 	100 	63 	64 
008554 	245 	100 	63 	64 
008555 	245 	100 	63 	64 
008556 	245 	100 	63 	64 
008557 	245 	100 	63 	64 
008558 	245 	100 	63 	64 
008559 	245 	100 	63 	64 
008560 	245 	100 	63 	64 
008561 	245 	100 	63 	64 
008562 	245 	100 	63 	64 
008563 	245 	101 	63 	64 
008564 	245 	101 	63 	64 
008565 	245 	101 	63 	64 
008566 	245 	102 	63 	64 
008567 	245 	102 	63 	64 
008568 	245 	102 	63 	64 
008569 	245 	103 	63 	64 
008570 	245 	103 	63 	64 
008571 	245 	104 	63 	64 
008572 	245 	104 	63 	63 
008573 	245 	104 	63 	63 
008574 	245 	105 	63 	63 
008575 	245 	105 	63 	63 
008576 	245 	105 	63 	63 
008577 	245 	106 	63 	63 
008578 	245 	106 	63 	63 
008579 	245 	106 	63 	63 
008580 	245 	107 	63 	63 
008581 	245 	107 	63 	63 
008582 	245 	107 	63 	63 
008583 	245 	107 	63 	63 
008584 	245 	107 	63 	63 
008585 	245 	106 	63 	63 
008586 	245 	106 	63 	63 
008587 	245 	106 	63 	63 
008588 	245 	106 	63 	63 
008589 	245 	105 	63 	63 
008590 	245 	105 	63 	63 
008591 	245 	105 	63 	63 
008592 	245 	105 	63 	63 
008593 	245 	104 	63 	63 
008594 	245 	104 	63 	63 
008595 	245 	104 	63 	63 
008596 	245 	104 	63 	63 
008597 	245 	103 	63 	63 
008598 	245 	103 	63 	63 
008599 	245 	103 	63 	63 
008600 	245 	103 	63 	63 
008601 	245 	102 	63 	63 
008602 	245 	102 	63 	63 
008603 	245 	102 	63 	63 
008604 	245 	102 	63 	63 
008605 	245 	101 	63 	63 
008606 	245 	101 	63 	63 
008607 	245 	101 	63 	63 
008608 	245 	101 	63 	63 
008609 	245 	100 	63 	63 
008610 	245 	100 	63 	63 
008611 	245 	100 	63 	64 
