Identity  : 	id10847
Reference : 	7ACSjPSJZmo
Offset    : 	1
FV Conf   : 	22.857
ASD Conf  : 	5.249

FRAME 	X 	Y 	W 	H 
009221 	237 	94 	130 	130 
009222 	237 	94 	130 	130 
009223 	237 	94 	130 	130 
009224 	251 	94 	130 	130 
009225 	251 	94 	130 	130 
009226 	251 	94 	130 	130 
009227 	251 	94 	130 	130 
009228 	251 	94 	130 	130 
009229 	251 	94 	130 	130 
009230 	251 	94 	130 	130 
009231 	251 	94 	130 	130 
009232 	251 	94 	130 	130 
009233 	251 	94 	130 	130 
009234 	251 	94 	130 	130 
009235 	251 	94 	130 	130 
009236 	251 	94 	130 	130 
009237 	251 	94 	130 	130 
009238 	251 	94 	130 	130 
009239 	251 	94 	130 	130 
009240 	251 	80 	130 	130 
009241 	251 	80 	130 	130 
009242 	251 	80 	130 	130 
009243 	251 	80 	130 	130 
009244 	251 	80 	130 	130 
009245 	251 	80 	130 	130 
009246 	251 	80 	130 	130 
009247 	251 	80 	130 	130 
009248 	251 	80 	130 	130 
009249 	251 	80 	130 	130 
009250 	251 	80 	130 	130 
009251 	251 	80 	130 	130 
009252 	251 	80 	130 	130 
009253 	251 	80 	130 	130 
009254 	251 	80 	130 	130 
009255 	251 	80 	130 	130 
009256 	251 	80 	130 	130 
009257 	251 	80 	130 	130 
009258 	251 	80 	130 	130 
009259 	251 	80 	130 	130 
009260 	251 	80 	130 	130 
009261 	251 	80 	130 	130 
009262 	251 	80 	130 	130 
009263 	251 	80 	130 	130 
009264 	269 	90 	108 	109 
009265 	251 	80 	130 	130 
009266 	266 	80 	130 	130 
009267 	266 	80 	130 	130 
009268 	266 	80 	130 	130 
009269 	266 	80 	130 	130 
009270 	266 	80 	130 	130 
009271 	266 	80 	130 	130 
009272 	266 	80 	130 	130 
009273 	266 	80 	130 	130 
009274 	266 	80 	130 	130 
009275 	266 	80 	130 	130 
009276 	266 	80 	130 	130 
009277 	266 	80 	130 	130 
009278 	266 	80 	130 	130 
009279 	266 	80 	130 	130 
009280 	266 	80 	130 	130 
009281 	266 	80 	130 	130 
009282 	266 	80 	130 	130 
009283 	280 	80 	130 	130 
009284 	280 	80 	130 	130 
009285 	280 	80 	130 	130 
009286 	280 	80 	130 	130 
009287 	280 	80 	130 	130 
009288 	305 	90 	108 	109 
009289 	294 	80 	130 	130 
009290 	294 	80 	130 	130 
009291 	294 	80 	130 	130 
009292 	294 	80 	130 	130 
009293 	294 	66 	130 	130 
009294 	294 	66 	130 	130 
009295 	294 	66 	130 	130 
009296 	294 	66 	130 	130 
009297 	294 	66 	130 	130 
009298 	294 	66 	130 	130 
009299 	294 	66 	130 	130 
009300 	294 	66 	130 	130 
009301 	280 	66 	130 	130 
009302 	280 	66 	130 	130 
009303 	280 	66 	130 	130 
009304 	280 	66 	130 	130 
009305 	280 	80 	130 	130 
009306 	280 	80 	130 	130 
009307 	280 	80 	130 	130 
009308 	280 	80 	130 	130 
009309 	280 	80 	130 	130 
009310 	280 	80 	130 	130 
009311 	280 	80 	130 	130 
009312 	280 	80 	130 	130 
009313 	280 	80 	130 	130 
009314 	280 	80 	130 	130 
009315 	280 	80 	130 	130 
009316 	280 	80 	130 	130 
009317 	280 	80 	130 	130 
009318 	280 	80 	130 	130 
009319 	280 	80 	130 	130 
009320 	280 	80 	130 	130 
009321 	280 	80 	130 	130 
009322 	280 	80 	130 	130 
009323 	280 	80 	130 	130 
009324 	280 	80 	130 	130 
009325 	280 	80 	130 	130 
009326 	280 	80 	130 	130 
009327 	294 	80 	130 	130 
009328 	294 	80 	130 	130 
009329 	294 	80 	130 	130 
009330 	294 	80 	130 	130 
009331 	294 	80 	130 	130 
009332 	294 	80 	130 	130 
009333 	294 	80 	130 	130 
009334 	294 	80 	130 	130 
009335 	294 	80 	130 	130 
009336 	280 	80 	130 	130 
009337 	280 	80 	130 	130 
009338 	280 	80 	130 	130 
009339 	280 	80 	130 	130 
009340 	280 	80 	130 	130 
009341 	280 	80 	130 	130 
009342 	280 	80 	130 	130 
009343 	280 	80 	130 	130 
009344 	280 	80 	130 	130 
009345 	280 	80 	130 	130 
009346 	280 	80 	130 	130 
009347 	280 	80 	130 	130 
009348 	280 	80 	130 	130 
009349 	280 	80 	130 	130 
009350 	280 	80 	130 	130 
009351 	280 	80 	130 	130 
009352 	280 	80 	130 	130 
009353 	280 	80 	130 	130 
009354 	280 	80 	130 	130 
009355 	280 	80 	130 	130 
009356 	280 	80 	130 	130 
009357 	280 	80 	130 	130 
009358 	280 	80 	130 	130 
009359 	280 	80 	130 	130 
009360 	280 	80 	130 	130 
009361 	280 	80 	130 	130 
009362 	280 	80 	130 	130 
009363 	280 	80 	130 	130 
009364 	280 	80 	130 	130 
009365 	280 	80 	130 	130 
009366 	280 	80 	130 	130 
009367 	280 	80 	130 	130 
009368 	280 	80 	130 	130 
009369 	280 	80 	130 	130 
009370 	280 	80 	130 	130 
009371 	280 	80 	130 	130 
009372 	280 	80 	130 	130 
009373 	280 	80 	130 	130 
009374 	280 	80 	130 	130 
009375 	280 	80 	130 	130 
009376 	280 	80 	130 	130 
009377 	267 	62 	156 	155 
009378 	267 	62 	156 	155 
009379 	267 	62 	156 	155 
009380 	267 	62 	156 	155 
009381 	267 	62 	156 	155 
009382 	267 	62 	156 	155 
009383 	267 	62 	156 	155 
009384 	280 	94 	130 	130 
009385 	280 	94 	130 	130 
009386 	266 	94 	130 	130 
009387 	266 	94 	130 	130 
009388 	266 	94 	130 	130 
009389 	266 	94 	130 	130 
009390 	251 	94 	130 	130 
009391 	233 	96 	156 	156 
009392 	233 	96 	156 	156 
009393 	233 	96 	156 	156 
009394 	233 	96 	156 	156 
009395 	233 	96 	156 	156 
009396 	233 	96 	156 	156 
009397 	233 	96 	156 	156 
009398 	233 	96 	156 	156 
009399 	233 	96 	156 	156 
009400 	233 	96 	156 	156 
009401 	233 	96 	156 	156 
009402 	233 	96 	156 	156 
009403 	233 	96 	156 	156 
009404 	233 	96 	156 	156 
009405 	233 	96 	156 	156 
009406 	233 	96 	156 	156 
009407 	233 	96 	156 	156 
009408 	233 	96 	156 	156 
009409 	233 	96 	156 	156 
009410 	266 	94 	130 	130 
009411 	266 	94 	130 	130 
009412 	266 	94 	130 	130 
009413 	266 	94 	130 	130 
009414 	266 	94 	130 	130 
009415 	266 	80 	130 	130 
009416 	266 	80 	130 	130 
009417 	250 	62 	156 	155 
009418 	266 	66 	130 	130 
009419 	251 	66 	130 	130 
009420 	251 	66 	130 	130 
009421 	266 	66 	130 	130 
009422 	250 	62 	156 	155 
009423 	250 	62 	156 	155 
009424 	250 	62 	156 	155 
009425 	250 	62 	156 	155 
009426 	250 	62 	156 	155 
009427 	266 	80 	130 	130 
009428 	266 	80 	130 	130 
009429 	266 	80 	130 	130 
009430 	266 	80 	130 	130 
009431 	266 	80 	130 	130 
009432 	266 	80 	130 	130 
009433 	266 	66 	130 	130 
009434 	266 	66 	130 	130 
009435 	266 	66 	130 	130 
009436 	280 	66 	130 	130 
009437 	280 	66 	130 	130 
