Identity  : 	id10898
Reference : 	22J4YxjNeVY
Offset    : 	-1
FV Conf   : 	21.591
ASD Conf  : 	7.898

FRAME 	X 	Y 	W 	H 
006370 	214 	65 	91 	91 
006371 	214 	65 	91 	91 
006372 	214 	65 	91 	91 
006373 	214 	65 	91 	91 
006374 	214 	65 	91 	91 
006375 	214 	65 	91 	91 
006376 	214 	65 	91 	91 
006377 	214 	65 	91 	91 
006378 	214 	65 	91 	91 
006379 	214 	65 	91 	91 
006380 	214 	65 	91 	91 
006381 	214 	65 	91 	91 
006382 	214 	65 	91 	91 
006383 	214 	65 	91 	91 
006384 	214 	65 	91 	91 
006385 	214 	65 	91 	91 
006386 	214 	65 	91 	91 
006387 	214 	65 	91 	91 
006388 	214 	65 	91 	91 
006389 	204 	65 	91 	91 
006390 	204 	65 	91 	91 
006391 	204 	65 	91 	91 
006392 	204 	65 	91 	91 
006393 	204 	65 	91 	91 
006394 	204 	65 	91 	91 
006395 	204 	65 	91 	91 
006396 	204 	65 	91 	91 
006397 	204 	65 	91 	91 
006398 	204 	65 	91 	91 
006399 	204 	65 	91 	91 
006400 	204 	65 	91 	91 
006401 	204 	65 	91 	91 
006402 	204 	65 	91 	91 
006403 	204 	65 	91 	91 
006404 	204 	65 	91 	91 
006405 	194 	65 	91 	91 
006406 	194 	65 	91 	91 
006407 	194 	65 	91 	91 
006408 	184 	65 	91 	91 
006409 	184 	65 	91 	91 
006410 	184 	65 	91 	91 
006411 	184 	65 	91 	91 
006412 	186 	62 	76 	76 
006413 	184 	55 	91 	91 
006414 	186 	62 	76 	76 
006415 	186 	62 	76 	76 
006416 	186 	62 	76 	76 
006417 	186 	62 	76 	76 
006418 	186 	62 	76 	76 
006419 	186 	62 	76 	76 
006420 	184 	55 	91 	91 
006421 	184 	55 	91 	91 
006422 	184 	55 	91 	91 
006423 	195 	62 	75 	76 
006424 	184 	65 	91 	91 
006425 	194 	65 	91 	91 
006426 	194 	65 	91 	91 
006427 	194 	65 	91 	91 
006428 	194 	55 	91 	91 
006429 	194 	55 	91 	91 
006430 	211 	62 	76 	76 
006431 	211 	62 	76 	76 
006432 	204 	65 	91 	91 
006433 	211 	62 	76 	76 
006434 	211 	62 	76 	76 
006435 	204 	55 	91 	91 
006436 	204 	55 	91 	91 
006437 	204 	55 	91 	91 
006438 	204 	55 	91 	91 
006439 	204 	55 	91 	91 
006440 	204 	55 	91 	91 
006441 	204 	55 	91 	91 
006442 	214 	55 	91 	91 
006443 	214 	55 	91 	91 
006444 	214 	55 	91 	91 
006445 	214 	55 	91 	91 
006446 	214 	65 	91 	91 
006447 	214 	55 	91 	91 
006448 	214 	55 	91 	91 
006449 	214 	65 	91 	91 
006450 	214 	55 	91 	91 
006451 	214 	65 	91 	91 
006452 	214 	55 	91 	91 
006453 	214 	55 	91 	91 
006454 	214 	55 	91 	91 
006455 	214 	55 	91 	91 
006456 	214 	55 	91 	91 
006457 	214 	55 	91 	91 
006458 	214 	55 	91 	91 
006459 	214 	55 	91 	91 
006460 	214 	55 	91 	91 
006461 	212 	55 	91 	91 
006462 	209 	55 	91 	91 
006463 	206 	55 	91 	91 
006464 	204 	55 	91 	91 
006465 	204 	55 	91 	91 
006466 	204 	55 	91 	91 
006467 	204 	55 	91 	91 
006468 	204 	55 	91 	91 
006469 	194 	55 	91 	91 
006470 	203 	62 	76 	76 
006471 	194 	55 	91 	91 
006472 	194 	65 	91 	91 
006473 	194 	65 	91 	91 
006474 	194 	65 	91 	91 
006475 	194 	65 	91 	91 
006476 	194 	65 	91 	91 
006477 	194 	65 	91 	91 
006478 	194 	65 	91 	91 
006479 	194 	65 	91 	91 
006480 	194 	65 	91 	91 
006481 	194 	65 	91 	91 
006482 	194 	65 	91 	91 
006483 	194 	65 	91 	91 
006484 	194 	55 	91 	91 
006485 	203 	62 	76 	76 
006486 	194 	55 	91 	91 
006487 	194 	55 	91 	91 
006488 	204 	65 	91 	91 
006489 	204 	65 	91 	91 
006490 	204 	65 	91 	91 
006491 	204 	65 	91 	91 
006492 	204 	65 	91 	91 
006493 	204 	65 	91 	91 
006494 	204 	65 	91 	91 
006495 	204 	65 	91 	91 
006496 	204 	65 	91 	91 
006497 	204 	55 	91 	91 
006498 	204 	55 	91 	91 
006499 	204 	55 	91 	91 
006500 	204 	55 	91 	91 
006501 	204 	55 	91 	91 
006502 	204 	55 	91 	91 
006503 	204 	55 	91 	91 
006504 	204 	55 	91 	91 
006505 	204 	55 	91 	91 
006506 	204 	55 	91 	91 
006507 	204 	55 	91 	91 
006508 	204 	55 	91 	91 
006509 	204 	55 	91 	91 
006510 	204 	55 	91 	91 
006511 	204 	55 	91 	91 
006512 	204 	55 	91 	91 
006513 	204 	55 	91 	91 
006514 	204 	55 	91 	91 
006515 	204 	55 	91 	91 
006516 	214 	55 	91 	91 
006517 	214 	55 	91 	91 
006518 	214 	55 	91 	91 
006519 	214 	55 	91 	91 
006520 	214 	55 	91 	91 
006521 	214 	55 	91 	91 
006522 	214 	55 	91 	91 
006523 	214 	55 	91 	91 
006524 	214 	55 	91 	91 
006525 	214 	55 	91 	91 
006526 	228 	62 	76 	76 
006527 	228 	62 	76 	76 
006528 	228 	62 	76 	76 
006529 	228 	71 	76 	75 
006530 	228 	71 	76 	75 
006531 	228 	71 	76 	75 
006532 	224 	55 	91 	91 
006533 	228 	71 	76 	75 
006534 	224 	55 	91 	91 
006535 	224 	55 	91 	91 
006536 	224 	55 	91 	91 
006537 	224 	55 	91 	91 
006538 	224 	55 	91 	91 
006539 	224 	55 	91 	91 
006540 	224 	55 	91 	91 
006541 	224 	55 	91 	91 
006542 	224 	55 	91 	91 
