Identity  : 	id10898
Reference : 	tgQ7RiPR6os
Offset    : 	-1
FV Conf   : 	15.943
ASD Conf  : 	7.043

FRAME 	X 	Y 	W 	H 
004376 	469 	107 	53 	52 
004377 	469 	107 	53 	52 
004378 	469 	107 	53 	52 
004379 	459 	100 	63 	64 
004380 	469 	112 	53 	53 
004381 	459 	100 	63 	64 
004382 	459 	107 	63 	63 
004383 	459 	107 	63 	63 
004384 	469 	112 	53 	53 
004385 	469 	112 	53 	53 
004386 	466 	107 	63 	63 
004387 	475 	112 	53 	53 
004388 	475 	112 	53 	53 
004389 	473 	100 	63 	64 
004390 	473 	100 	63 	64 
004391 	480 	107 	63 	63 
004392 	480 	107 	63 	63 
004393 	480 	107 	63 	63 
004394 	480 	107 	63 	63 
004395 	486 	107 	53 	52 
004396 	492 	112 	53 	53 
004397 	492 	112 	53 	53 
004398 	492 	112 	53 	53 
004399 	492 	112 	53 	53 
004400 	492 	112 	53 	53 
004401 	492 	112 	53 	53 
004402 	492 	112 	53 	53 
004403 	492 	112 	53 	53 
004404 	492 	112 	53 	53 
004405 	492 	112 	53 	53 
004406 	492 	112 	53 	53 
004407 	492 	112 	53 	53 
004408 	492 	112 	53 	53 
004409 	492 	112 	53 	53 
004410 	492 	112 	53 	53 
004411 	492 	112 	53 	53 
004412 	492 	112 	53 	53 
004413 	492 	112 	53 	53 
004414 	492 	112 	53 	53 
004415 	492 	112 	53 	53 
004416 	492 	112 	53 	53 
004417 	492 	112 	53 	53 
004418 	492 	112 	53 	53 
004419 	492 	112 	53 	53 
004420 	492 	112 	53 	53 
004421 	492 	112 	53 	53 
004422 	492 	112 	53 	53 
004423 	492 	112 	53 	53 
004424 	492 	112 	53 	53 
004425 	492 	112 	53 	53 
004426 	492 	112 	53 	53 
004427 	492 	112 	53 	53 
004428 	492 	112 	53 	53 
004429 	492 	112 	53 	53 
004430 	492 	112 	53 	53 
004431 	492 	112 	53 	53 
004432 	492 	118 	53 	53 
004433 	492 	118 	53 	53 
004434 	492 	118 	53 	53 
004435 	492 	118 	53 	53 
004436 	492 	112 	53 	53 
004437 	492 	112 	53 	53 
004438 	487 	107 	63 	63 
004439 	487 	107 	63 	63 
004440 	492 	112 	53 	53 
004441 	486 	107 	53 	52 
004442 	486 	107 	53 	52 
004443 	486 	107 	53 	52 
004444 	486 	107 	53 	52 
004445 	486 	107 	53 	52 
004446 	486 	107 	53 	52 
004447 	486 	107 	53 	52 
004448 	480 	107 	53 	52 
004449 	480 	107 	53 	52 
004450 	480 	107 	53 	52 
004451 	480 	107 	53 	52 
004452 	480 	107 	53 	52 
004453 	480 	107 	53 	52 
004454 	480 	107 	53 	52 
004455 	480 	112 	53 	53 
004456 	480 	112 	53 	53 
004457 	480 	112 	53 	53 
004458 	480 	112 	53 	53 
004459 	480 	112 	53 	53 
004460 	480 	112 	53 	53 
004461 	473 	107 	63 	63 
004462 	473 	107 	63 	63 
004463 	473 	107 	63 	63 
004464 	473 	107 	63 	63 
004465 	473 	107 	63 	63 
004466 	473 	107 	63 	63 
004467 	473 	107 	63 	63 
004468 	473 	107 	63 	63 
004469 	473 	107 	63 	63 
004470 	473 	107 	63 	63 
004471 	473 	107 	63 	63 
004472 	473 	107 	63 	63 
004473 	473 	107 	63 	63 
004474 	473 	107 	63 	63 
004475 	473 	107 	63 	63 
004476 	473 	107 	63 	63 
004477 	473 	107 	63 	63 
004478 	473 	107 	63 	63 
004479 	473 	107 	63 	63 
004480 	473 	107 	63 	63 
004481 	473 	107 	63 	63 
004482 	473 	107 	63 	63 
004483 	473 	107 	63 	63 
004484 	473 	107 	63 	63 
004485 	473 	107 	63 	63 
004486 	473 	107 	63 	63 
004487 	473 	107 	63 	63 
004488 	473 	107 	63 	63 
004489 	480 	112 	53 	53 
004490 	480 	112 	53 	53 
004491 	480 	112 	53 	53 
004492 	480 	112 	53 	53 
004493 	480 	112 	53 	53 
004494 	480 	112 	53 	53 
004495 	473 	107 	63 	63 
004496 	480 	107 	63 	63 
004497 	480 	107 	53 	52 
004498 	486 	107 	53 	52 
004499 	486 	107 	53 	52 
004500 	492 	107 	53 	52 
004501 	492 	107 	53 	52 
004502 	492 	107 	53 	52 
004503 	486 	107 	53 	52 
004504 	486 	107 	53 	52 
004505 	486 	107 	53 	52 
004506 	486 	107 	53 	52 
004507 	480 	107 	63 	63 
004508 	486 	112 	53 	53 
004509 	486 	112 	53 	53 
004510 	486 	112 	53 	53 
004511 	486 	112 	53 	53 
004512 	486 	112 	53 	53 
004513 	486 	112 	53 	53 
004514 	486 	112 	53 	53 
004515 	486 	112 	53 	53 
004516 	486 	112 	53 	53 
004517 	486 	112 	53 	53 
004518 	486 	112 	53 	53 
004519 	486 	112 	53 	53 
004520 	486 	112 	53 	53 
004521 	486 	112 	53 	53 
004522 	486 	112 	53 	53 
004523 	486 	112 	53 	53 
004524 	486 	112 	53 	53 
004525 	486 	112 	53 	53 
004526 	486 	112 	53 	53 
004527 	486 	112 	53 	53 
004528 	486 	112 	53 	53 
004529 	486 	112 	53 	53 
004530 	486 	112 	53 	53 
004531 	486 	112 	53 	53 
004532 	480 	107 	63 	63 
004533 	486 	112 	53 	53 
004534 	480 	107 	63 	63 
004535 	480 	107 	63 	63 
004536 	480 	107 	63 	63 
004537 	480 	107 	63 	63 
004538 	480 	107 	63 	63 
004539 	480 	107 	63 	63 
004540 	480 	107 	63 	63 
004541 	480 	107 	63 	63 
004542 	473 	107 	63 	63 
004543 	473 	107 	63 	63 
004544 	473 	107 	63 	63 
004545 	473 	107 	63 	63 
004546 	473 	107 	63 	63 
004547 	480 	112 	53 	53 
004548 	473 	107 	63 	63 
004549 	473 	107 	63 	63 
004550 	473 	107 	63 	63 
004551 	473 	107 	63 	63 
004552 	473 	107 	63 	63 
004553 	473 	107 	63 	63 
004554 	473 	107 	63 	63 
004555 	473 	107 	63 	63 
004556 	473 	107 	63 	63 
004557 	480 	112 	53 	53 
