Identity  : 	id10908
Reference : 	dG53U3yrdCE
Offset    : 	0
FV Conf   : 	18.237
ASD Conf  : 	5.005

FRAME 	X 	Y 	W 	H 
045106 	294 	94 	130 	130 
045107 	305 	114 	108 	109 
045108 	294 	94 	130 	130 
045109 	294 	94 	130 	130 
045110 	294 	94 	130 	130 
045111 	294 	94 	130 	130 
045112 	294 	94 	130 	130 
045113 	294 	94 	130 	130 
045114 	294 	94 	130 	130 
045115 	305 	114 	108 	109 
045116 	305 	114 	108 	109 
045117 	305 	114 	108 	109 
045118 	305 	114 	108 	109 
045119 	305 	114 	108 	109 
045120 	305 	114 	108 	109 
045121 	305 	114 	108 	109 
045122 	305 	114 	108 	109 
045123 	305 	114 	108 	109 
045124 	305 	114 	108 	109 
045125 	305 	114 	108 	109 
045126 	305 	114 	108 	109 
045127 	305 	114 	108 	109 
045128 	305 	114 	108 	109 
045129 	305 	114 	108 	109 
045130 	305 	114 	108 	109 
045131 	305 	114 	108 	109 
045132 	305 	114 	108 	109 
045133 	305 	114 	108 	109 
045134 	305 	114 	108 	109 
045135 	305 	114 	108 	109 
045136 	305 	114 	108 	109 
045137 	305 	114 	108 	109 
045138 	305 	114 	108 	109 
045139 	305 	114 	108 	109 
045140 	305 	114 	108 	109 
045141 	305 	114 	108 	109 
045142 	305 	114 	108 	109 
045143 	305 	114 	108 	109 
045144 	305 	114 	108 	109 
045145 	305 	114 	108 	109 
045146 	305 	114 	108 	109 
045147 	280 	94 	130 	130 
045148 	280 	94 	130 	130 
045149 	280 	94 	130 	130 
045150 	280 	94 	130 	130 
045151 	280 	94 	130 	130 
045152 	280 	94 	130 	130 
045153 	305 	114 	108 	109 
045154 	305 	114 	108 	109 
045155 	294 	94 	130 	130 
045156 	294 	94 	130 	130 
045157 	294 	94 	130 	130 
045158 	294 	94 	130 	130 
045159 	294 	94 	130 	130 
045160 	294 	94 	130 	130 
045161 	294 	94 	130 	130 
045162 	294 	94 	130 	130 
045163 	294 	94 	130 	130 
045164 	294 	94 	130 	130 
045165 	294 	94 	130 	130 
045166 	305 	102 	108 	109 
045167 	294 	94 	130 	130 
045168 	294 	94 	130 	130 
045169 	294 	94 	130 	130 
045170 	294 	94 	130 	130 
045171 	294 	94 	130 	130 
045172 	294 	94 	130 	130 
045173 	294 	94 	130 	130 
045174 	294 	94 	130 	130 
045175 	294 	94 	130 	130 
045176 	294 	94 	130 	130 
045177 	305 	102 	108 	109 
045178 	305 	102 	108 	109 
045179 	305 	102 	108 	109 
045180 	305 	102 	108 	109 
045181 	305 	102 	108 	109 
045182 	305 	102 	108 	109 
045183 	294 	94 	130 	130 
045184 	294 	94 	130 	130 
045185 	305 	102 	108 	109 
045186 	305 	102 	108 	109 
045187 	294 	94 	130 	130 
045188 	280 	94 	130 	130 
045189 	280 	94 	130 	130 
045190 	280 	94 	130 	130 
045191 	280 	94 	130 	130 
045192 	280 	94 	130 	130 
045193 	280 	94 	130 	130 
045194 	280 	94 	130 	130 
045195 	280 	94 	130 	130 
045196 	280 	94 	130 	130 
045197 	280 	94 	130 	130 
045198 	280 	94 	130 	130 
045199 	280 	94 	130 	130 
045200 	280 	94 	130 	130 
045201 	280 	94 	130 	130 
045202 	280 	94 	130 	130 
045203 	280 	94 	130 	130 
045204 	294 	94 	130 	130 
045205 	305 	102 	108 	109 
045206 	294 	94 	130 	130 
045207 	294 	94 	130 	130 
045208 	294 	80 	130 	130 
045209 	294 	80 	130 	130 
045210 	294 	80 	130 	130 
045211 	294 	80 	130 	130 
045212 	294 	80 	130 	130 
045213 	294 	80 	130 	130 
045214 	294 	80 	130 	130 
045215 	294 	80 	130 	130 
045216 	294 	80 	130 	130 
045217 	294 	80 	130 	130 
045218 	294 	80 	130 	130 
045219 	294 	80 	130 	130 
045220 	294 	94 	130 	130 
045221 	280 	80 	130 	130 
045222 	280 	80 	130 	130 
045223 	280 	80 	130 	130 
045224 	280 	80 	130 	130 
045225 	280 	80 	130 	130 
045226 	294 	80 	130 	130 
045227 	294 	80 	130 	130 
045228 	294 	80 	130 	130 
045229 	280 	80 	130 	130 
045230 	280 	80 	130 	130 
045231 	305 	90 	108 	109 
045232 	294 	80 	130 	130 
045233 	305 	90 	108 	109 
045234 	280 	80 	130 	130 
045235 	280 	80 	130 	130 
045236 	294 	80 	130 	130 
045237 	294 	80 	130 	130 
045238 	294 	80 	130 	130 
045239 	294 	80 	130 	130 
045240 	294 	80 	130 	130 
045241 	294 	80 	130 	130 
045242 	294 	80 	130 	130 
045243 	294 	80 	130 	130 
045244 	294 	80 	130 	130 
045245 	294 	80 	130 	130 
045246 	294 	80 	130 	130 
045247 	294 	80 	130 	130 
045248 	305 	102 	108 	109 
045249 	305 	102 	108 	109 
045250 	305 	102 	108 	109 
045251 	305 	102 	108 	109 
045252 	305 	102 	108 	109 
045253 	305 	102 	108 	109 
045254 	305 	102 	108 	109 
045255 	305 	102 	108 	109 
045256 	294 	80 	130 	130 
045257 	305 	102 	108 	109 
045258 	305 	102 	108 	109 
045259 	305 	102 	108 	109 
045260 	305 	102 	108 	109 
045261 	305 	102 	108 	109 
045262 	305 	102 	108 	109 
045263 	305 	102 	108 	109 
045264 	305 	102 	108 	109 
045265 	294 	80 	130 	130 
045266 	294 	80 	130 	130 
045267 	294 	80 	130 	130 
