Identity  : 	id10908
Reference : 	dG53U3yrdCE
Offset    : 	-1
FV Conf   : 	19.463
ASD Conf  : 	8.488

FRAME 	X 	Y 	W 	H 
080128 	314 	96 	124 	125 
080129 	309 	94 	130 	130 
080130 	309 	94 	130 	130 
080131 	309 	94 	130 	130 
080132 	309 	94 	130 	130 
080133 	309 	94 	130 	130 
080134 	309 	94 	130 	130 
080135 	294 	94 	130 	130 
080136 	294 	94 	130 	130 
080137 	294 	94 	130 	130 
080138 	294 	94 	130 	130 
080139 	294 	94 	130 	130 
080140 	294 	94 	130 	130 
080141 	280 	94 	130 	130 
080142 	280 	94 	130 	130 
080143 	280 	94 	130 	130 
080144 	280 	94 	130 	130 
080145 	280 	94 	130 	130 
080146 	280 	94 	130 	130 
080147 	280 	109 	130 	130 
080148 	280 	109 	130 	130 
080149 	280 	109 	130 	130 
080150 	280 	109 	130 	130 
080151 	280 	109 	130 	130 
080152 	280 	109 	130 	130 
080153 	280 	109 	130 	130 
080154 	280 	109 	130 	130 
080155 	293 	126 	108 	109 
080156 	280 	109 	130 	130 
080157 	280 	109 	130 	130 
080158 	280 	94 	130 	130 
080159 	266 	94 	130 	130 
080160 	266 	94 	130 	130 
080161 	280 	94 	130 	130 
080162 	280 	94 	130 	130 
080163 	280 	94 	130 	130 
080164 	280 	94 	130 	130 
080165 	280 	94 	130 	130 
080166 	266 	94 	130 	130 
080167 	266 	94 	130 	130 
080168 	266 	94 	130 	130 
080169 	266 	109 	130 	130 
080170 	266 	109 	130 	130 
080171 	266 	109 	130 	130 
080172 	266 	109 	130 	130 
080173 	266 	109 	130 	130 
080174 	266 	109 	130 	130 
080175 	266 	109 	130 	130 
080176 	266 	109 	130 	130 
080177 	266 	109 	130 	130 
080178 	266 	109 	130 	130 
080179 	266 	109 	130 	130 
080180 	251 	109 	130 	130 
080181 	251 	109 	130 	130 
080182 	251 	109 	130 	130 
080183 	251 	109 	130 	130 
080184 	251 	109 	130 	130 
080185 	251 	109 	130 	130 
080186 	251 	109 	130 	130 
080187 	251 	109 	130 	130 
080188 	266 	109 	130 	130 
080189 	266 	109 	130 	130 
080190 	251 	109 	130 	130 
080191 	251 	109 	130 	130 
080192 	251 	109 	130 	130 
080193 	251 	109 	130 	130 
080194 	251 	109 	130 	130 
080195 	251 	109 	130 	130 
080196 	251 	109 	130 	130 
080197 	251 	109 	130 	130 
080198 	251 	109 	130 	130 
080199 	251 	109 	130 	130 
080200 	251 	109 	130 	130 
080201 	251 	109 	130 	130 
080202 	251 	109 	130 	130 
080203 	251 	109 	130 	130 
080204 	251 	109 	130 	130 
080205 	251 	109 	130 	130 
080206 	251 	109 	130 	130 
080207 	251 	109 	130 	130 
080208 	251 	109 	130 	130 
080209 	251 	109 	130 	130 
080210 	251 	109 	130 	130 
080211 	251 	109 	130 	130 
080212 	251 	109 	130 	130 
080213 	251 	109 	130 	130 
080214 	251 	109 	130 	130 
080215 	251 	109 	130 	130 
080216 	251 	109 	130 	130 
080217 	251 	109 	130 	130 
080218 	251 	109 	130 	130 
080219 	269 	138 	108 	109 
080220 	269 	138 	108 	109 
080221 	269 	138 	108 	109 
080222 	251 	109 	130 	130 
080223 	251 	109 	130 	130 
080224 	251 	109 	130 	130 
080225 	251 	109 	130 	130 
080226 	269 	138 	108 	109 
080227 	269 	126 	108 	109 
080228 	269 	138 	108 	109 
080229 	269 	138 	108 	109 
080230 	269 	138 	108 	109 
080231 	269 	138 	108 	109 
080232 	269 	126 	108 	109 
080233 	251 	109 	130 	130 
080234 	269 	138 	108 	109 
080235 	251 	109 	130 	130 
080236 	251 	123 	130 	130 
080237 	251 	123 	130 	130 
080238 	269 	138 	108 	109 
080239 	269 	138 	108 	109 
080240 	269 	138 	108 	109 
080241 	251 	109 	130 	130 
080242 	251 	109 	130 	130 
080243 	251 	109 	130 	130 
080244 	251 	109 	130 	130 
080245 	269 	138 	108 	109 
080246 	251 	109 	130 	130 
080247 	251 	109 	130 	130 
080248 	251 	109 	130 	130 
080249 	251 	109 	130 	130 
080250 	251 	109 	130 	130 
080251 	251 	109 	130 	130 
080252 	269 	138 	108 	109 
080253 	269 	138 	108 	109 
080254 	269 	138 	108 	109 
080255 	269 	138 	108 	109 
080256 	251 	123 	130 	130 
080257 	251 	123 	130 	130 
080258 	251 	123 	130 	130 
080259 	269 	138 	108 	109 
