Identity  : 	id10921
Reference : 	B8oFwcURrps
Offset    : 	-1
FV Conf   : 	15.358
ASD Conf  : 	8.429

FRAME 	X 	Y 	W 	H 
012670 	365 	66 	108 	109 
012671 	365 	66 	108 	109 
012672 	365 	66 	108 	109 
012673 	353 	66 	108 	109 
012674 	353 	66 	108 	109 
012675 	353 	66 	108 	109 
012676 	353 	66 	108 	109 
012677 	353 	66 	108 	109 
012678 	353 	66 	108 	109 
012679 	353 	66 	108 	109 
012680 	353 	66 	108 	109 
012681 	353 	66 	108 	109 
012682 	353 	66 	108 	109 
012683 	353 	66 	108 	109 
012684 	353 	66 	108 	109 
012685 	353 	54 	108 	109 
012686 	353 	54 	108 	109 
012687 	353 	54 	108 	109 
012688 	353 	54 	108 	109 
012689 	353 	54 	108 	109 
012690 	353 	54 	108 	109 
012691 	353 	54 	108 	109 
012692 	353 	54 	108 	109 
012693 	353 	43 	108 	108 
012694 	365 	43 	108 	108 
012695 	373 	55 	91 	91 
012696 	373 	55 	91 	91 
012697 	383 	55 	91 	91 
012698 	376 	43 	109 	108 
012699 	376 	43 	109 	108 
012700 	383 	55 	91 	91 
012701 	383 	55 	91 	91 
012702 	376 	43 	109 	108 
012703 	376 	43 	109 	108 
012704 	376 	43 	109 	108 
012705 	376 	43 	109 	108 
012706 	376 	43 	109 	108 
012707 	365 	43 	108 	108 
012708 	365 	43 	108 	108 
012709 	365 	43 	108 	108 
012710 	365 	43 	108 	108 
012711 	365 	43 	108 	108 
012712 	365 	43 	108 	108 
012713 	365 	43 	108 	108 
012714 	373 	55 	91 	91 
012715 	376 	54 	109 	109 
012716 	376 	54 	109 	109 
012717 	383 	65 	91 	91 
012718 	376 	66 	109 	109 
012719 	376 	66 	109 	109 
012720 	376 	54 	109 	109 
012721 	376 	54 	109 	109 
012722 	376 	43 	109 	108 
012723 	393 	45 	91 	91 
012724 	393 	45 	91 	91 
012725 	403 	45 	91 	91 
012726 	403 	45 	91 	91 
012727 	403 	45 	91 	91 
012728 	403 	55 	91 	91 
012729 	388 	54 	109 	109 
012730 	403 	65 	91 	91 
012731 	403 	75 	91 	91 
012732 	403 	75 	91 	91 
012733 	403 	75 	91 	91 
012734 	403 	75 	91 	91 
012735 	403 	75 	91 	91 
012736 	388 	66 	109 	109 
012737 	388 	66 	109 	109 
012738 	388 	66 	109 	109 
012739 	388 	66 	109 	109 
012740 	388 	66 	109 	109 
012741 	388 	66 	109 	109 
012742 	388 	66 	109 	109 
012743 	393 	75 	91 	91 
012744 	388 	66 	109 	109 
012745 	388 	66 	109 	109 
012746 	388 	66 	109 	109 
012747 	388 	66 	109 	109 
012748 	388 	66 	109 	109 
012749 	388 	66 	109 	109 
012750 	388 	66 	109 	109 
012751 	388 	66 	109 	109 
012752 	388 	66 	109 	109 
012753 	388 	66 	109 	109 
012754 	393 	75 	91 	91 
012755 	393 	75 	91 	91 
012756 	393 	75 	91 	91 
012757 	393 	75 	91 	91 
012758 	393 	75 	91 	91 
012759 	376 	66 	109 	109 
012760 	376 	66 	109 	109 
012761 	376 	66 	109 	109 
012762 	376 	66 	109 	109 
012763 	376 	66 	109 	109 
012764 	376 	54 	109 	109 
012765 	376 	54 	109 	109 
012766 	376 	54 	109 	109 
012767 	376 	54 	109 	109 
012768 	376 	54 	109 	109 
012769 	376 	54 	109 	109 
012770 	365 	43 	108 	108 
012771 	365 	43 	108 	108 
012772 	365 	31 	108 	108 
012773 	373 	35 	91 	91 
012774 	373 	35 	91 	91 
012775 	365 	31 	108 	108 
012776 	373 	45 	91 	91 
012777 	373 	45 	91 	91 
012778 	373 	45 	91 	91 
012779 	353 	43 	108 	108 
012780 	353 	43 	108 	108 
012781 	365 	43 	108 	108 
012782 	373 	65 	91 	91 
012783 	365 	66 	108 	109 
012784 	376 	66 	109 	109 
012785 	376 	66 	109 	109 
012786 	376 	66 	109 	109 
012787 	376 	66 	109 	109 
012788 	383 	75 	91 	91 
012789 	383 	65 	91 	91 
012790 	383 	65 	91 	91 
012791 	365 	54 	108 	109 
012792 	365 	54 	108 	109 
012793 	365 	54 	108 	109 
012794 	365 	66 	108 	109 
012795 	373 	75 	91 	91 
012796 	373 	75 	91 	91 
012797 	363 	75 	91 	91 
012798 	363 	75 	91 	91 
012799 	365 	66 	108 	109 
012800 	365 	66 	108 	109 
012801 	365 	66 	108 	109 
012802 	365 	54 	108 	109 
012803 	365 	54 	108 	109 
012804 	365 	54 	108 	109 
012805 	376 	66 	109 	109 
012806 	376 	66 	109 	109 
012807 	376 	66 	109 	109 
012808 	376 	54 	109 	109 
012809 	376 	54 	109 	109 
012810 	376 	54 	109 	109 
012811 	376 	54 	109 	109 
012812 	376 	54 	109 	109 
012813 	376 	54 	109 	109 
012814 	376 	66 	109 	109 
012815 	383 	75 	91 	91 
012816 	383 	75 	91 	91 
012817 	383 	75 	91 	91 
012818 	376 	66 	109 	109 
012819 	376 	66 	109 	109 
012820 	376 	66 	109 	109 
012821 	376 	66 	109 	109 
012822 	376 	66 	109 	109 
012823 	383 	65 	91 	91 
012824 	365 	54 	108 	109 
012825 	365 	54 	108 	109 
012826 	365 	54 	108 	109 
012827 	365 	54 	108 	109 
012828 	365 	54 	108 	109 
012829 	365 	54 	108 	109 
012830 	365 	54 	108 	109 
012831 	353 	54 	108 	109 
012832 	353 	54 	108 	109 
012833 	353 	54 	108 	109 
012834 	353 	54 	108 	109 
012835 	353 	54 	108 	109 
012836 	353 	54 	108 	109 
012837 	353 	54 	108 	109 
012838 	354 	55 	107 	108 
012839 	354 	55 	107 	108 
012840 	355 	56 	106 	107 
012841 	356 	57 	106 	107 
012842 	356 	57 	105 	106 
012843 	357 	58 	105 	106 
012844 	357 	59 	104 	105 
012845 	358 	59 	104 	104 
012846 	359 	60 	103 	104 
012847 	359 	61 	103 	103 
012848 	360 	61 	102 	103 
012849 	360 	62 	102 	102 
012850 	361 	63 	101 	102 
012851 	362 	63 	101 	101 
012852 	362 	64 	100 	101 
012853 	363 	64 	100 	100 
012854 	364 	65 	99 	99 
012855 	364 	66 	98 	99 
012856 	365 	66 	98 	98 
012857 	366 	67 	97 	98 
012858 	366 	68 	97 	97 
012859 	367 	68 	96 	97 
012860 	367 	69 	96 	96 
012861 	368 	70 	95 	96 
012862 	369 	70 	95 	95 
012863 	369 	71 	94 	94 
012864 	370 	72 	94 	94 
012865 	370 	72 	93 	93 
012866 	371 	73 	93 	93 
012867 	372 	74 	92 	92 
012868 	372 	74 	92 	92 
012869 	373 	75 	91 	91 
