Identity  : 	id10921
Reference : 	EI0BcP32ins
Offset    : 	-3
FV Conf   : 	16.266
ASD Conf  : 	5.860

FRAME 	X 	Y 	W 	H 
000623 	294 	21 	76 	76 
000624 	307 	38 	63 	63 
000625 	307 	38 	63 	63 
000626 	303 	29 	75 	76 
000627 	308 	34 	69 	70 
000628 	314 	38 	63 	63 
000629 	321 	38 	63 	63 
000630 	321 	38 	63 	63 
000631 	325 	38 	63 	63 
000632 	329 	38 	63 	63 
000633 	334 	38 	63 	63 
000634 	338 	38 	63 	63 
000635 	342 	38 	63 	63 
000636 	342 	38 	63 	63 
000637 	354 	43 	53 	53 
000638 	358 	37 	58 	58 
000639 	362 	31 	64 	63 
000640 	362 	31 	64 	63 
000641 	362 	31 	64 	63 
000642 	362 	31 	64 	63 
000643 	359 	31 	64 	63 
000644 	357 	31 	64 	63 
000645 	354 	31 	63 	63 
000646 	352 	31 	63 	63 
000647 	349 	31 	63 	63 
000648 	342 	38 	63 	63 
000649 	342 	38 	63 	63 
000650 	338 	42 	63 	63 
000651 	335 	45 	63 	63 
000652 	328 	45 	63 	63 
000653 	319 	38 	76 	75 
000654 	321 	52 	63 	63 
000655 	321 	52 	63 	63 
000656 	321 	53 	63 	63 
000657 	321 	55 	63 	63 
000658 	321 	56 	63 	63 
000659 	321 	58 	63 	63 
000660 	321 	59 	63 	63 
000661 	321 	59 	63 	63 
000662 	321 	59 	63 	63 
000663 	321 	59 	63 	63 
000664 	321 	52 	63 	63 
000665 	328 	52 	63 	63 
000666 	328 	52 	63 	63 
000667 	328 	45 	63 	63 
000668 	328 	45 	63 	63 
000669 	335 	38 	63 	63 
000670 	335 	38 	63 	63 
000671 	335 	38 	63 	63 
000672 	342 	38 	63 	63 
000673 	342 	38 	63 	63 
000674 	342 	38 	63 	63 
000675 	342 	38 	63 	63 
000676 	349 	45 	63 	63 
000677 	349 	45 	63 	63 
000678 	349 	45 	63 	63 
000679 	356 	45 	63 	63 
000680 	356 	45 	63 	63 
000681 	356 	45 	63 	63 
000682 	356 	45 	63 	63 
000683 	362 	45 	64 	63 
000684 	356 	45 	63 	63 
000685 	356 	38 	63 	63 
000686 	356 	38 	63 	63 
000687 	349 	38 	63 	63 
000688 	349 	38 	63 	63 
000689 	342 	38 	63 	63 
000690 	335 	38 	63 	63 
000691 	335 	38 	63 	63 
000692 	328 	38 	63 	63 
000693 	328 	38 	63 	63 
000694 	314 	38 	63 	63 
000695 	314 	38 	63 	63 
000696 	307 	38 	63 	63 
000697 	307 	38 	63 	63 
000698 	300 	38 	63 	63 
000699 	293 	45 	64 	63 
000700 	293 	45 	64 	63 
000701 	296 	49 	53 	53 
000702 	296 	49 	53 	53 
000703 	296 	49 	53 	53 
000704 	293 	38 	64 	63 
000705 	293 	38 	64 	63 
000706 	293 	38 	64 	63 
000707 	286 	38 	64 	63 
000708 	290 	43 	53 	53 
000709 	286 	45 	64 	63 
000710 	296 	49 	53 	53 
000711 	293 	45 	64 	63 
000712 	293 	45 	64 	63 
000713 	293 	45 	64 	63 
000714 	293 	45 	64 	63 
000715 	286 	38 	76 	75 
000716 	300 	45 	63 	63 
000717 	300 	45 	63 	63 
000718 	307 	45 	63 	63 
000719 	314 	45 	63 	63 
000720 	311 	38 	75 	75 
000721 	311 	38 	75 	75 
000722 	321 	38 	63 	63 
000723 	321 	45 	63 	63 
000724 	319 	38 	76 	75 
000725 	319 	38 	76 	75 
000726 	319 	38 	76 	75 
000727 	319 	38 	76 	75 
000728 	319 	38 	76 	75 
000729 	324 	42 	70 	69 
000730 	328 	45 	63 	63 
000731 	335 	45 	63 	63 
000732 	335 	45 	63 	63 
000733 	342 	52 	63 	63 
000734 	342 	52 	63 	63 
000735 	342 	52 	63 	63 
000736 	348 	60 	53 	53 
000737 	342 	60 	53 	53 
000738 	342 	60 	53 	53 
000739 	335 	52 	63 	63 
000740 	335 	52 	63 	63 
000741 	342 	45 	63 	63 
000742 	336 	46 	75 	76 
000743 	349 	52 	63 	63 
000744 	349 	52 	63 	63 
000745 	349 	52 	63 	63 
000746 	349 	52 	63 	63 
000747 	349 	52 	63 	63 
000748 	349 	52 	63 	63 
000749 	349 	45 	63 	63 
000750 	342 	45 	63 	63 
000751 	327 	29 	76 	76 
000752 	327 	29 	76 	76 
000753 	327 	29 	76 	76 
