Identity  : 	id10921
Reference : 	L5-_w54gZ-I
Offset    : 	-1
FV Conf   : 	17.146
ASD Conf  : 	7.563

FRAME 	X 	Y 	W 	H 
044669 	122 	66 	130 	130 
044670 	122 	66 	130 	130 
044671 	122 	66 	130 	130 
044672 	122 	66 	130 	130 
044673 	137 	66 	130 	130 
044674 	137 	66 	130 	130 
044675 	137 	66 	130 	130 
044676 	137 	66 	130 	130 
044677 	137 	66 	130 	130 
044678 	137 	66 	130 	130 
044679 	137 	66 	130 	130 
044680 	137 	66 	130 	130 
044681 	137 	66 	130 	130 
044682 	151 	66 	130 	130 
044683 	151 	66 	130 	130 
044684 	161 	78 	109 	109 
044685 	173 	78 	109 	109 
044686 	173 	78 	109 	109 
044687 	173 	78 	109 	109 
044688 	173 	78 	109 	109 
044689 	173 	78 	109 	109 
044690 	173 	78 	109 	109 
044691 	173 	78 	109 	109 
044692 	173 	78 	109 	109 
044693 	173 	78 	109 	109 
044694 	165 	66 	130 	130 
044695 	165 	66 	130 	130 
044696 	165 	66 	130 	130 
044697 	165 	66 	130 	130 
044698 	173 	78 	109 	109 
044699 	173 	78 	109 	109 
044700 	173 	78 	109 	109 
044701 	173 	78 	109 	109 
044702 	185 	78 	109 	109 
044703 	185 	66 	109 	109 
044704 	185 	66 	109 	109 
044705 	185 	66 	109 	109 
044706 	185 	66 	109 	109 
044707 	185 	66 	109 	109 
044708 	185 	66 	109 	109 
044709 	180 	66 	130 	130 
044710 	185 	66 	109 	109 
044711 	185 	66 	109 	109 
044712 	165 	51 	130 	130 
044713 	165 	37 	130 	130 
044714 	165 	37 	130 	130 
044715 	147 	27 	156 	156 
044716 	147 	27 	156 	156 
044717 	165 	51 	130 	130 
044718 	151 	51 	130 	130 
044719 	151 	51 	130 	130 
044720 	151 	37 	130 	130 
044721 	151 	37 	130 	130 
044722 	151 	37 	130 	130 
044723 	137 	37 	130 	130 
044724 	137 	37 	130 	130 
044725 	137 	37 	130 	130 
044726 	137 	37 	130 	130 
044727 	137 	23 	130 	130 
044728 	137 	23 	130 	130 
044729 	137 	23 	130 	130 
044730 	137 	23 	130 	130 
044731 	137 	23 	130 	130 
044732 	137 	23 	130 	130 
044733 	137 	23 	130 	130 
044734 	137 	23 	130 	130 
044735 	137 	23 	130 	130 
044736 	137 	37 	130 	130 
044737 	137 	37 	130 	130 
044738 	150 	54 	108 	109 
044739 	150 	66 	108 	109 
044740 	150 	66 	108 	109 
044741 	151 	66 	130 	130 
044742 	151 	66 	130 	130 
044743 	161 	78 	109 	109 
044744 	161 	78 	109 	109 
044745 	161 	78 	109 	109 
044746 	137 	66 	130 	130 
044747 	137 	66 	130 	130 
044748 	137 	66 	130 	130 
044749 	137 	66 	130 	130 
044750 	137 	66 	130 	130 
044751 	137 	66 	130 	130 
044752 	137 	66 	130 	130 
044753 	150 	78 	108 	109 
044754 	150 	78 	108 	109 
044755 	161 	78 	109 	109 
044756 	161 	78 	109 	109 
044757 	173 	78 	109 	109 
044758 	165 	66 	130 	130 
044759 	185 	66 	109 	109 
044760 	180 	66 	130 	130 
044761 	197 	66 	109 	109 
044762 	194 	51 	130 	130 
044763 	209 	66 	109 	109 
044764 	221 	66 	109 	109 
044765 	221 	66 	109 	109 
044766 	221 	66 	109 	109 
044767 	233 	66 	109 	109 
044768 	233 	66 	109 	109 
044769 	233 	66 	109 	109 
044770 	233 	66 	109 	109 
044771 	233 	66 	109 	109 
044772 	233 	66 	109 	109 
044773 	233 	54 	109 	109 
044774 	233 	54 	109 	109 
044775 	233 	54 	109 	109 
044776 	233 	54 	109 	109 
