Identity  : 	id10936
Reference : 	1y9XR62zKvs
Offset    : 	0
FV Conf   : 	15.834
ASD Conf  : 	5.889

FRAME 	X 	Y 	W 	H 
000680 	251 	80 	130 	130 
000681 	233 	79 	156 	156 
000682 	233 	79 	156 	156 
000683 	233 	79 	156 	156 
000684 	251 	80 	130 	130 
000685 	251 	80 	130 	130 
000686 	251 	80 	130 	130 
000687 	251 	80 	130 	130 
000688 	251 	80 	130 	130 
000689 	251 	80 	130 	130 
000690 	251 	80 	130 	130 
000691 	251 	80 	130 	130 
000692 	251 	80 	130 	130 
000693 	251 	80 	130 	130 
000694 	251 	80 	130 	130 
000695 	251 	80 	130 	130 
000696 	251 	80 	130 	130 
000697 	251 	80 	130 	130 
000698 	251 	80 	130 	130 
000699 	251 	80 	130 	130 
000700 	251 	80 	130 	130 
000701 	251 	80 	130 	130 
000702 	251 	80 	130 	130 
000703 	251 	66 	130 	130 
000704 	251 	80 	130 	130 
000705 	251 	80 	130 	130 
000706 	251 	80 	130 	130 
000707 	266 	80 	130 	130 
000708 	266 	80 	130 	130 
000709 	266 	80 	130 	130 
000710 	266 	80 	130 	130 
000711 	266 	80 	130 	130 
000712 	266 	80 	130 	130 
000713 	266 	80 	130 	130 
000714 	266 	94 	130 	130 
000715 	269 	102 	108 	109 
000716 	251 	94 	130 	130 
000717 	251 	94 	130 	130 
000718 	251 	94 	130 	130 
000719 	251 	94 	130 	130 
000720 	233 	79 	156 	156 
000721 	251 	80 	130 	130 
000722 	251 	80 	130 	130 
000723 	251 	80 	130 	130 
000724 	251 	80 	130 	130 
000725 	251 	66 	130 	130 
000726 	251 	66 	130 	130 
000727 	251 	66 	130 	130 
000728 	251 	66 	130 	130 
000729 	251 	66 	130 	130 
000730 	251 	66 	130 	130 
000731 	251 	66 	130 	130 
000732 	251 	66 	130 	130 
000733 	251 	66 	130 	130 
000734 	251 	66 	130 	130 
000735 	251 	66 	130 	130 
000736 	251 	66 	130 	130 
000737 	251 	66 	130 	130 
000738 	251 	66 	130 	130 
000739 	251 	66 	130 	130 
000740 	251 	66 	130 	130 
000741 	251 	66 	130 	130 
000742 	251 	66 	130 	130 
000743 	266 	66 	130 	130 
000744 	266 	66 	130 	130 
000745 	267 	44 	156 	156 
000746 	267 	44 	156 	156 
000747 	267 	44 	156 	156 
000748 	267 	44 	156 	156 
000749 	267 	44 	156 	156 
000750 	267 	44 	156 	156 
000751 	267 	44 	156 	156 
000752 	267 	44 	156 	156 
000753 	267 	44 	156 	156 
000754 	267 	27 	156 	156 
000755 	267 	27 	156 	156 
000756 	267 	27 	156 	156 
000757 	267 	27 	156 	156 
000758 	267 	27 	156 	156 
000759 	267 	27 	156 	156 
000760 	280 	37 	130 	130 
000761 	280 	37 	130 	130 
000762 	280 	37 	130 	130 
000763 	280 	37 	130 	130 
000764 	280 	37 	130 	130 
000765 	280 	23 	130 	130 
000766 	280 	23 	130 	130 
000767 	280 	23 	130 	130 
000768 	280 	23 	130 	130 
000769 	280 	23 	130 	130 
000770 	280 	23 	130 	130 
000771 	280 	23 	130 	130 
000772 	281 	31 	108 	108 
000773 	281 	31 	108 	108 
000774 	266 	23 	130 	130 
000775 	266 	23 	130 	130 
000776 	266 	37 	130 	130 
000777 	266 	37 	130 	130 
000778 	266 	37 	130 	130 
000779 	266 	37 	130 	130 
000780 	266 	37 	130 	130 
000781 	266 	37 	130 	130 
000782 	266 	37 	130 	130 
000783 	266 	37 	130 	130 
000784 	266 	37 	130 	130 
000785 	266 	37 	130 	130 
000786 	266 	37 	130 	130 
000787 	266 	37 	130 	130 
000788 	266 	51 	130 	130 
000789 	266 	51 	130 	130 
000790 	266 	51 	130 	130 
000791 	266 	51 	130 	130 
000792 	266 	51 	130 	130 
000793 	269 	54 	108 	109 
000794 	251 	51 	130 	130 
000795 	266 	51 	130 	130 
000796 	266 	51 	130 	130 
000797 	266 	66 	130 	130 
000798 	266 	66 	130 	130 
000799 	266 	66 	130 	130 
000800 	266 	80 	130 	130 
000801 	266 	80 	130 	130 
000802 	266 	80 	130 	130 
000803 	266 	80 	130 	130 
000804 	266 	80 	130 	130 
000805 	266 	80 	130 	130 
000806 	266 	66 	130 	130 
000807 	266 	66 	130 	130 
000808 	266 	66 	130 	130 
000809 	266 	66 	130 	130 
000810 	251 	66 	130 	130 
000811 	251 	66 	130 	130 
000812 	251 	51 	130 	130 
000813 	251 	51 	130 	130 
000814 	251 	51 	130 	130 
000815 	251 	66 	130 	130 
000816 	251 	66 	130 	130 
000817 	251 	66 	130 	130 
000818 	251 	66 	130 	130 
000819 	251 	66 	130 	130 
000820 	251 	66 	130 	130 
000821 	251 	66 	130 	130 
000822 	251 	66 	130 	130 
000823 	251 	66 	130 	130 
000824 	251 	66 	130 	130 
000825 	251 	66 	130 	130 
000826 	237 	66 	130 	130 
000827 	237 	66 	130 	130 
000828 	237 	66 	130 	130 
000829 	216 	44 	156 	156 
000830 	216 	44 	156 	156 
000831 	223 	51 	130 	130 
000832 	216 	44 	156 	156 
000833 	223 	51 	130 	130 
000834 	223 	51 	130 	130 
000835 	223 	51 	130 	130 
000836 	216 	44 	156 	156 
000837 	216 	44 	156 	156 
000838 	216 	44 	156 	156 
000839 	216 	44 	156 	156 
