Identity  : 	id10936
Reference : 	xtua_Uq8kUU
Offset    : 	0
FV Conf   : 	16.229
ASD Conf  : 	6.937

FRAME 	X 	Y 	W 	H 
002441 	161 	102 	109 	109 
002442 	161 	90 	109 	109 
002443 	137 	80 	130 	130 
002444 	137 	80 	130 	130 
002445 	137 	80 	130 	130 
002446 	150 	90 	108 	109 
002447 	150 	90 	108 	109 
002448 	150 	90 	108 	109 
002449 	150 	102 	108 	109 
002450 	150 	102 	108 	109 
002451 	150 	102 	108 	109 
002452 	150 	90 	108 	109 
002453 	150 	90 	108 	109 
002454 	150 	90 	108 	109 
002455 	150 	90 	108 	109 
002456 	150 	90 	108 	109 
002457 	150 	90 	108 	109 
002458 	137 	80 	130 	130 
002459 	150 	78 	108 	109 
002460 	150 	78 	108 	109 
002461 	150 	78 	108 	109 
002462 	137 	66 	130 	130 
002463 	137 	66 	130 	130 
002464 	137 	66 	130 	130 
002465 	150 	78 	108 	109 
002466 	150 	78 	108 	109 
002467 	150 	78 	108 	109 
002468 	150 	78 	108 	109 
002469 	150 	78 	108 	109 
002470 	150 	78 	108 	109 
002471 	150 	78 	108 	109 
002472 	150 	78 	108 	109 
002473 	150 	78 	108 	109 
002474 	150 	78 	108 	109 
002475 	150 	78 	108 	109 
002476 	150 	78 	108 	109 
002477 	150 	78 	108 	109 
002478 	150 	78 	108 	109 
002479 	150 	78 	108 	109 
002480 	150 	90 	108 	109 
002481 	150 	90 	108 	109 
002482 	150 	90 	108 	109 
002483 	150 	90 	108 	109 
002484 	150 	90 	108 	109 
002485 	150 	90 	108 	109 
002486 	150 	90 	108 	109 
002487 	150 	90 	108 	109 
002488 	150 	90 	108 	109 
002489 	150 	90 	108 	109 
002490 	150 	90 	108 	109 
002491 	150 	90 	108 	109 
002492 	150 	78 	108 	109 
002493 	150 	78 	108 	109 
002494 	150 	78 	108 	109 
002495 	150 	78 	108 	109 
002496 	150 	78 	108 	109 
002497 	150 	78 	108 	109 
002498 	150 	78 	108 	109 
002499 	161 	78 	109 	109 
002500 	161 	78 	109 	109 
002501 	161 	78 	109 	109 
002502 	161 	78 	109 	109 
002503 	161 	78 	109 	109 
002504 	161 	78 	109 	109 
002505 	161 	78 	109 	109 
002506 	161 	78 	109 	109 
002507 	161 	78 	109 	109 
002508 	161 	78 	109 	109 
002509 	161 	78 	109 	109 
002510 	161 	66 	109 	109 
002511 	161 	66 	109 	109 
002512 	161 	66 	109 	109 
002513 	161 	66 	109 	109 
002514 	161 	66 	109 	109 
002515 	151 	51 	130 	130 
002516 	150 	66 	108 	109 
002517 	150 	78 	108 	109 
002518 	150 	78 	108 	109 
002519 	150 	78 	108 	109 
002520 	150 	90 	108 	109 
002521 	150 	90 	108 	109 
002522 	150 	90 	108 	109 
002523 	150 	90 	108 	109 
002524 	150 	90 	108 	109 
002525 	161 	78 	109 	109 
002526 	161 	78 	109 	109 
002527 	161 	78 	109 	109 
002528 	161 	78 	109 	109 
002529 	161 	78 	109 	109 
002530 	161 	78 	109 	109 
002531 	161 	78 	109 	109 
002532 	161 	78 	109 	109 
002533 	161 	78 	109 	109 
002534 	161 	78 	109 	109 
002535 	161 	78 	109 	109 
002536 	161 	90 	109 	109 
002537 	161 	90 	109 	109 
002538 	161 	90 	109 	109 
002539 	161 	90 	109 	109 
002540 	151 	66 	130 	130 
002541 	151 	66 	130 	130 
002542 	161 	78 	109 	109 
002543 	161 	78 	109 	109 
002544 	161 	78 	109 	109 
002545 	161 	78 	109 	109 
002546 	161 	78 	109 	109 
002547 	161 	78 	109 	109 
002548 	161 	78 	109 	109 
002549 	161 	78 	109 	109 
002550 	161 	78 	109 	109 
002551 	161 	78 	109 	109 
002552 	161 	90 	109 	109 
002553 	161 	90 	109 	109 
002554 	151 	80 	130 	130 
002555 	161 	90 	109 	109 
002556 	161 	90 	109 	109 
002557 	161 	90 	109 	109 
002558 	161 	90 	109 	109 
002559 	161 	90 	109 	109 
002560 	161 	90 	109 	109 
002561 	161 	90 	109 	109 
002562 	161 	78 	109 	109 
002563 	161 	78 	109 	109 
002564 	151 	66 	130 	130 
002565 	150 	66 	108 	109 
002566 	150 	66 	108 	109 
002567 	137 	51 	130 	130 
002568 	138 	66 	108 	109 
002569 	138 	54 	108 	109 
002570 	138 	66 	108 	109 
002571 	138 	66 	108 	109 
002572 	138 	66 	108 	109 
002573 	150 	66 	108 	109 
002574 	150 	66 	108 	109 
002575 	150 	66 	108 	109 
002576 	150 	78 	108 	109 
002577 	150 	78 	108 	109 
002578 	150 	78 	108 	109 
002579 	150 	78 	108 	109 
002580 	150 	78 	108 	109 
002581 	161 	78 	109 	109 
002582 	161 	78 	109 	109 
002583 	161 	78 	109 	109 
002584 	161 	78 	109 	109 
002585 	151 	66 	130 	130 
002586 	173 	78 	109 	109 
002587 	173 	78 	109 	109 
002588 	173 	78 	109 	109 
002589 	173 	78 	109 	109 
002590 	173 	78 	109 	109 
002591 	151 	66 	130 	130 
002592 	151 	66 	130 	130 
002593 	151 	66 	130 	130 
002594 	151 	66 	130 	130 
002595 	151 	66 	130 	130 
002596 	150 	90 	108 	109 
002597 	150 	90 	108 	109 
002598 	150 	78 	108 	109 
002599 	150 	78 	108 	109 
002600 	150 	78 	108 	109 
002601 	150 	78 	108 	109 
002602 	150 	78 	108 	109 
002603 	150 	78 	108 	109 
002604 	150 	78 	108 	109 
002605 	150 	78 	108 	109 
002606 	150 	78 	108 	109 
002607 	150 	78 	108 	109 
002608 	150 	90 	108 	109 
002609 	150 	90 	108 	109 
002610 	150 	90 	108 	109 
002611 	150 	90 	108 	109 
002612 	150 	90 	108 	109 
002613 	150 	90 	108 	109 
002614 	150 	90 	108 	109 
002615 	150 	90 	108 	109 
002616 	150 	90 	108 	109 
002617 	150 	90 	108 	109 
002618 	150 	90 	108 	109 
002619 	150 	90 	108 	109 
002620 	150 	90 	108 	109 
002621 	150 	90 	108 	109 
002622 	150 	90 	108 	109 
002623 	137 	66 	130 	130 
002624 	150 	78 	108 	109 
002625 	150 	78 	108 	109 
002626 	150 	78 	108 	109 
002627 	150 	78 	108 	109 
002628 	150 	78 	108 	109 
002629 	150 	78 	108 	109 
002630 	150 	90 	108 	109 
002631 	150 	90 	108 	109 
002632 	150 	90 	108 	109 
002633 	150 	90 	108 	109 
002634 	150 	102 	108 	109 
002635 	150 	102 	108 	109 
002636 	150 	102 	108 	109 
002637 	150 	102 	108 	109 
002638 	138 	102 	108 	109 
002639 	138 	102 	108 	109 
002640 	138 	102 	108 	109 
002641 	138 	102 	108 	109 
002642 	138 	102 	108 	109 
002643 	138 	102 	108 	109 
002644 	138 	102 	108 	109 
002645 	138 	102 	108 	109 
002646 	150 	102 	108 	109 
002647 	150 	102 	108 	109 
002648 	150 	102 	108 	109 
002649 	150 	102 	108 	109 
002650 	150 	102 	108 	109 
002651 	150 	90 	108 	109 
002652 	150 	90 	108 	109 
002653 	150 	90 	108 	109 
002654 	150 	90 	108 	109 
002655 	150 	90 	108 	109 
002656 	150 	90 	108 	109 
002657 	150 	90 	108 	109 
002658 	150 	90 	108 	109 
002659 	150 	90 	108 	109 
002660 	150 	90 	108 	109 
002661 	150 	90 	108 	109 
002662 	150 	90 	108 	109 
002663 	150 	90 	108 	109 
002664 	150 	90 	108 	109 
002665 	150 	90 	108 	109 
002666 	138 	90 	108 	109 
002667 	150 	90 	108 	109 
002668 	138 	90 	108 	109 
002669 	138 	90 	108 	109 
002670 	138 	90 	108 	109 
002671 	138 	90 	108 	109 
002672 	138 	90 	108 	109 
002673 	138 	90 	108 	109 
002674 	138 	90 	108 	109 
002675 	138 	90 	108 	109 
002676 	138 	90 	108 	109 
002677 	138 	90 	108 	109 
002678 	126 	90 	108 	109 
002679 	126 	90 	108 	109 
002680 	126 	90 	108 	109 
002681 	126 	90 	108 	109 
002682 	126 	90 	108 	109 
002683 	126 	90 	108 	109 
002684 	126 	90 	108 	109 
002685 	126 	90 	108 	109 
002686 	126 	90 	108 	109 
002687 	126 	90 	108 	109 
002688 	126 	90 	108 	109 
002689 	126 	90 	108 	109 
002690 	126 	90 	108 	109 
002691 	126 	90 	108 	109 
002692 	126 	90 	108 	109 
002693 	126 	90 	108 	109 
002694 	126 	90 	108 	109 
002695 	126 	90 	108 	109 
002696 	126 	90 	108 	109 
002697 	126 	90 	108 	109 
002698 	126 	90 	108 	109 
002699 	126 	90 	108 	109 
002700 	126 	90 	108 	109 
002701 	126 	90 	108 	109 
002702 	126 	90 	108 	109 
002703 	126 	90 	108 	109 
002704 	126 	90 	108 	109 
002705 	108 	80 	130 	130 
002706 	126 	102 	108 	109 
002707 	108 	80 	130 	130 
002708 	126 	102 	108 	109 
002709 	126 	102 	108 	109 
002710 	126 	102 	108 	109 
002711 	108 	80 	130 	130 
002712 	108 	80 	130 	130 
