Identity  : 	id10970
Reference : 	Z2B78980tt4
Offset    : 	-3
FV Conf   : 	19.652
ASD Conf  : 	5.240

FRAME 	X 	Y 	W 	H 
001500 	234 	115 	90 	91 
001501 	234 	115 	90 	91 
001502 	234 	115 	90 	91 
001503 	234 	115 	90 	91 
001504 	234 	115 	90 	91 
001505 	234 	115 	90 	91 
001506 	234 	115 	90 	91 
001507 	234 	115 	90 	91 
001508 	234 	115 	90 	91 
001509 	234 	115 	90 	91 
001510 	234 	115 	90 	91 
001511 	234 	115 	90 	91 
001512 	234 	115 	90 	91 
001513 	234 	115 	90 	91 
001514 	234 	115 	90 	91 
001515 	234 	115 	90 	91 
001516 	234 	115 	90 	91 
001517 	234 	115 	90 	91 
001518 	234 	115 	90 	91 
001519 	234 	115 	90 	91 
001520 	234 	115 	90 	91 
001521 	234 	115 	90 	91 
001522 	234 	115 	90 	91 
001523 	234 	115 	90 	91 
001524 	234 	115 	90 	91 
001525 	234 	115 	90 	91 
001526 	236 	121 	76 	75 
001527 	236 	121 	76 	75 
001528 	234 	115 	90 	91 
001529 	236 	121 	76 	75 
001530 	234 	115 	90 	91 
001531 	234 	115 	90 	91 
001532 	234 	115 	90 	91 
001533 	234 	115 	90 	91 
001534 	234 	115 	90 	91 
001535 	234 	115 	90 	91 
001536 	234 	115 	90 	91 
001537 	234 	115 	90 	91 
001538 	234 	115 	90 	91 
001539 	234 	115 	90 	91 
001540 	234 	115 	90 	91 
001541 	234 	115 	90 	91 
001542 	234 	115 	90 	91 
001543 	234 	115 	90 	91 
001544 	234 	115 	90 	91 
001545 	234 	115 	90 	91 
001546 	234 	115 	90 	91 
001547 	234 	115 	90 	91 
001548 	234 	115 	90 	91 
001549 	244 	121 	76 	75 
001550 	244 	121 	76 	75 
001551 	244 	121 	76 	75 
001552 	244 	121 	76 	75 
001553 	244 	121 	76 	75 
001554 	244 	121 	76 	75 
001555 	244 	121 	76 	75 
001556 	244 	121 	76 	75 
001557 	244 	121 	76 	75 
001558 	244 	121 	76 	75 
001559 	244 	121 	76 	75 
001560 	244 	121 	76 	75 
001561 	244 	115 	90 	91 
001562 	244 	112 	76 	76 
001563 	244 	121 	76 	75 
001564 	244 	115 	90 	91 
001565 	244 	121 	76 	75 
001566 	244 	121 	76 	75 
001567 	244 	115 	90 	91 
001568 	244 	115 	90 	91 
001569 	244 	121 	76 	75 
001570 	244 	115 	90 	91 
001571 	244 	115 	90 	91 
001572 	244 	115 	90 	91 
001573 	244 	115 	90 	91 
001574 	244 	115 	90 	91 
001575 	244 	115 	90 	91 
001576 	244 	115 	90 	91 
001577 	244 	115 	90 	91 
001578 	253 	121 	75 	75 
001579 	253 	121 	75 	75 
001580 	254 	115 	90 	91 
001581 	254 	115 	90 	91 
001582 	254 	115 	90 	91 
001583 	254 	115 	90 	91 
001584 	254 	115 	90 	91 
001585 	261 	121 	76 	75 
001586 	261 	121 	76 	75 
001587 	254 	115 	90 	91 
001588 	261 	121 	76 	75 
001589 	254 	115 	90 	91 
001590 	254 	115 	90 	91 
001591 	254 	115 	90 	91 
001592 	254 	115 	90 	91 
001593 	254 	115 	90 	91 
001594 	254 	115 	90 	91 
001595 	264 	115 	90 	91 
001596 	254 	115 	90 	91 
001597 	254 	115 	90 	91 
001598 	264 	115 	90 	91 
001599 	264 	115 	90 	91 
001600 	264 	115 	90 	91 
001601 	264 	115 	90 	91 
001602 	264 	115 	90 	91 
001603 	264 	115 	90 	91 
001604 	264 	115 	90 	91 
001605 	264 	115 	90 	91 
001606 	264 	115 	90 	91 
001607 	261 	121 	76 	75 
001608 	254 	115 	90 	91 
001609 	261 	121 	76 	75 
001610 	253 	121 	75 	75 
001611 	253 	121 	75 	75 
001612 	253 	121 	75 	75 
