Identity  : 	id10984
Reference : 	xtNTdpZwet4
Offset    : 	0
FV Conf   : 	15.278
ASD Conf  : 	7.191

FRAME 	X 	Y 	W 	H 
001850 	280 	37 	130 	130 
001851 	280 	37 	130 	130 
001852 	280 	37 	130 	130 
001853 	280 	37 	130 	130 
001854 	280 	37 	130 	130 
001855 	280 	37 	130 	130 
001856 	293 	54 	108 	109 
001857 	293 	54 	108 	109 
001858 	293 	54 	108 	109 
001859 	293 	54 	108 	109 
001860 	293 	54 	108 	109 
001861 	293 	54 	108 	109 
001862 	293 	54 	108 	109 
001863 	293 	54 	108 	109 
001864 	293 	54 	108 	109 
001865 	293 	54 	108 	109 
001866 	293 	54 	108 	109 
001867 	293 	54 	108 	109 
001868 	293 	54 	108 	109 
001869 	280 	51 	130 	130 
001870 	280 	51 	130 	130 
001871 	280 	51 	130 	130 
001872 	280 	51 	130 	130 
001873 	280 	51 	130 	130 
001874 	280 	51 	130 	130 
001875 	280 	51 	130 	130 
001876 	280 	51 	130 	130 
001877 	280 	51 	130 	130 
001878 	280 	51 	130 	130 
001879 	280 	51 	130 	130 
001880 	280 	51 	130 	130 
001881 	280 	51 	130 	130 
001882 	280 	51 	130 	130 
001883 	280 	51 	130 	130 
001884 	280 	51 	130 	130 
001885 	280 	51 	130 	130 
001886 	280 	51 	130 	130 
001887 	280 	51 	130 	130 
001888 	280 	51 	130 	130 
001889 	280 	51 	130 	130 
001890 	280 	51 	130 	130 
001891 	280 	51 	130 	130 
001892 	280 	51 	130 	130 
001893 	280 	51 	130 	130 
001894 	281 	66 	108 	109 
001895 	281 	66 	108 	109 
001896 	281 	66 	108 	109 
001897 	266 	51 	130 	130 
001898 	269 	54 	108 	109 
001899 	269 	54 	108 	109 
001900 	251 	51 	130 	130 
001901 	251 	51 	130 	130 
001902 	251 	51 	130 	130 
001903 	251 	51 	130 	130 
001904 	269 	66 	108 	109 
001905 	269 	66 	108 	109 
001906 	269 	66 	108 	109 
001907 	269 	66 	108 	109 
001908 	269 	66 	108 	109 
001909 	269 	66 	108 	109 
001910 	269 	54 	108 	109 
001911 	269 	54 	108 	109 
001912 	269 	54 	108 	109 
001913 	269 	54 	108 	109 
001914 	269 	54 	108 	109 
001915 	269 	54 	108 	109 
001916 	269 	66 	108 	109 
001917 	269 	66 	108 	109 
001918 	269 	66 	108 	109 
001919 	251 	51 	130 	130 
001920 	251 	51 	130 	130 
001921 	269 	66 	108 	109 
001922 	281 	66 	108 	109 
001923 	281 	66 	108 	109 
001924 	281 	66 	108 	109 
001925 	281 	66 	108 	109 
001926 	269 	66 	108 	109 
001927 	269 	66 	108 	109 
001928 	269 	66 	108 	109 
001929 	269 	66 	108 	109 
001930 	269 	66 	108 	109 
001931 	266 	51 	130 	130 
001932 	266 	51 	130 	130 
001933 	266 	51 	130 	130 
001934 	269 	78 	108 	109 
001935 	269 	78 	108 	109 
001936 	251 	66 	130 	130 
001937 	257 	78 	109 	109 
001938 	257 	78 	109 	109 
001939 	257 	78 	109 	109 
001940 	257 	78 	109 	109 
001941 	257 	78 	109 	109 
001942 	257 	78 	109 	109 
001943 	257 	78 	109 	109 
001944 	257 	78 	109 	109 
001945 	251 	66 	130 	130 
001946 	251 	66 	130 	130 
001947 	251 	66 	130 	130 
001948 	251 	66 	130 	130 
001949 	251 	66 	130 	130 
001950 	257 	78 	109 	109 
001951 	251 	66 	130 	130 
001952 	251 	66 	130 	130 
001953 	257 	66 	109 	109 
001954 	257 	66 	109 	109 
001955 	251 	66 	130 	130 
001956 	251 	66 	130 	130 
001957 	257 	78 	109 	109 
001958 	257 	78 	109 	109 
001959 	257 	78 	109 	109 
001960 	257 	78 	109 	109 
001961 	257 	78 	109 	109 
001962 	257 	66 	109 	109 
001963 	257 	66 	109 	109 
001964 	257 	78 	109 	109 
001965 	257 	78 	109 	109 
001966 	257 	78 	109 	109 
001967 	257 	78 	109 	109 
001968 	257 	78 	109 	109 
001969 	257 	78 	109 	109 
001970 	257 	78 	109 	109 
001971 	257 	78 	109 	109 
001972 	237 	66 	130 	130 
001973 	237 	66 	130 	130 
001974 	237 	66 	130 	130 
001975 	237 	66 	130 	130 
001976 	237 	66 	130 	130 
001977 	237 	66 	130 	130 
001978 	237 	66 	130 	130 
001979 	257 	66 	109 	109 
001980 	257 	66 	109 	109 
001981 	257 	66 	109 	109 
001982 	257 	66 	109 	109 
001983 	257 	66 	109 	109 
001984 	257 	66 	109 	109 
001985 	257 	66 	109 	109 
001986 	257 	66 	109 	109 
001987 	257 	66 	109 	109 
001988 	257 	66 	109 	109 
001989 	257 	66 	109 	109 
001990 	257 	66 	109 	109 
001991 	257 	66 	109 	109 
001992 	257 	66 	109 	109 
001993 	257 	66 	109 	109 
001994 	257 	66 	109 	109 
001995 	257 	66 	109 	109 
001996 	257 	66 	109 	109 
001997 	257 	66 	109 	109 
001998 	257 	66 	109 	109 
001999 	257 	66 	109 	109 
002000 	257 	66 	109 	109 
002001 	257 	66 	109 	109 
002002 	257 	66 	109 	109 
002003 	257 	66 	109 	109 
002004 	257 	66 	109 	109 
002005 	257 	66 	109 	109 
002006 	257 	66 	109 	109 
002007 	257 	66 	109 	109 
002008 	257 	66 	109 	109 
002009 	257 	66 	109 	109 
002010 	257 	66 	109 	109 
002011 	257 	66 	109 	109 
002012 	257 	66 	109 	109 
002013 	257 	66 	109 	109 
002014 	257 	66 	109 	109 
002015 	257 	66 	109 	109 
002016 	257 	66 	109 	109 
002017 	257 	66 	109 	109 
002018 	257 	66 	109 	109 
002019 	257 	66 	109 	109 
002020 	257 	66 	109 	109 
002021 	257 	66 	109 	109 
002022 	257 	66 	109 	109 
002023 	257 	66 	109 	109 
002024 	257 	66 	109 	109 
002025 	257 	66 	109 	109 
002026 	257 	66 	109 	109 
002027 	257 	66 	109 	109 
002028 	257 	66 	109 	109 
002029 	257 	66 	109 	109 
002030 	257 	66 	109 	109 
002031 	257 	66 	109 	109 
002032 	257 	66 	109 	109 
002033 	257 	66 	109 	109 
002034 	257 	66 	109 	109 
002035 	257 	66 	109 	109 
002036 	257 	66 	109 	109 
002037 	257 	66 	109 	109 
002038 	257 	66 	109 	109 
002039 	257 	66 	109 	109 
002040 	269 	66 	108 	109 
002041 	269 	66 	108 	109 
002042 	269 	66 	108 	109 
002043 	269 	66 	108 	109 
002044 	269 	66 	108 	109 
002045 	269 	66 	108 	109 
002046 	269 	66 	108 	109 
002047 	269 	66 	108 	109 
002048 	269 	66 	108 	109 
002049 	269 	66 	108 	109 
002050 	269 	66 	108 	109 
002051 	269 	66 	108 	109 
002052 	269 	66 	108 	109 
002053 	269 	66 	108 	109 
002054 	269 	66 	108 	109 
002055 	269 	66 	108 	109 
002056 	269 	66 	108 	109 
002057 	269 	66 	108 	109 
002058 	269 	66 	108 	109 
002059 	269 	66 	108 	109 
002060 	269 	66 	108 	109 
002061 	269 	66 	108 	109 
002062 	269 	66 	108 	109 
002063 	257 	66 	109 	109 
002064 	257 	66 	109 	109 
002065 	257 	66 	109 	109 
002066 	257 	66 	109 	109 
002067 	257 	66 	109 	109 
002068 	257 	66 	109 	109 
002069 	257 	66 	109 	109 
002070 	257 	66 	109 	109 
002071 	257 	66 	109 	109 
002072 	257 	66 	109 	109 
002073 	257 	66 	109 	109 
002074 	257 	66 	109 	109 
002075 	257 	66 	109 	109 
002076 	257 	66 	109 	109 
002077 	257 	66 	109 	109 
002078 	257 	66 	109 	109 
002079 	257 	66 	109 	109 
002080 	257 	66 	109 	109 
002081 	257 	66 	109 	109 
002082 	257 	66 	109 	109 
002083 	257 	66 	109 	109 
002084 	257 	66 	109 	109 
002085 	257 	66 	109 	109 
002086 	257 	66 	109 	109 
002087 	257 	66 	109 	109 
002088 	257 	66 	109 	109 
002089 	257 	66 	109 	109 
002090 	257 	66 	109 	109 
002091 	257 	66 	109 	109 
002092 	257 	66 	109 	109 
002093 	257 	66 	109 	109 
002094 	257 	66 	109 	109 
002095 	257 	66 	109 	109 
002096 	257 	66 	109 	109 
002097 	257 	66 	109 	109 
002098 	257 	66 	109 	109 
002099 	257 	78 	109 	109 
002100 	257 	78 	109 	109 
002101 	257 	78 	109 	109 
002102 	257 	78 	109 	109 
002103 	257 	78 	109 	109 
002104 	251 	66 	130 	130 
002105 	251 	66 	130 	130 
002106 	251 	66 	130 	130 
002107 	251 	66 	130 	130 
002108 	257 	78 	109 	109 
002109 	257 	78 	109 	109 
002110 	257 	78 	109 	109 
002111 	257 	78 	109 	109 
002112 	257 	78 	109 	109 
002113 	257 	78 	109 	109 
002114 	257 	78 	109 	109 
002115 	257 	78 	109 	109 
002116 	257 	78 	109 	109 
002117 	257 	78 	109 	109 
002118 	257 	78 	109 	109 
002119 	257 	78 	109 	109 
002120 	257 	78 	109 	109 
002121 	257 	78 	109 	109 
002122 	257 	78 	109 	109 
002123 	257 	78 	109 	109 
002124 	257 	78 	109 	109 
002125 	257 	78 	109 	109 
002126 	257 	78 	109 	109 
002127 	257 	78 	109 	109 
002128 	257 	78 	109 	109 
002129 	257 	78 	109 	109 
002130 	257 	78 	109 	109 
002131 	251 	66 	130 	130 
002132 	269 	78 	108 	109 
002133 	266 	51 	130 	130 
002134 	266 	51 	130 	130 
002135 	266 	51 	130 	130 
002136 	266 	51 	130 	130 
002137 	266 	51 	130 	130 
002138 	266 	51 	130 	130 
002139 	266 	51 	130 	130 
002140 	266 	51 	130 	130 
002141 	266 	51 	130 	130 
002142 	281 	66 	108 	109 
002143 	281 	66 	108 	109 
002144 	281 	66 	108 	109 
002145 	281 	66 	108 	109 
002146 	281 	66 	108 	109 
