Identity  : 	id10998
Reference : 	ji8n9S0tBJ4
Offset    : 	-2
FV Conf   : 	15.360
ASD Conf  : 	8.016

FRAME 	X 	Y 	W 	H 
003730 	266 	51 	130 	130 
003731 	266 	51 	130 	130 
003732 	266 	51 	130 	130 
003733 	266 	51 	130 	130 
003734 	266 	51 	130 	130 
003735 	280 	51 	130 	130 
003736 	280 	51 	130 	130 
003737 	280 	66 	130 	130 
003738 	280 	66 	130 	130 
003739 	280 	66 	130 	130 
003740 	280 	66 	130 	130 
003741 	280 	66 	130 	130 
003742 	280 	66 	130 	130 
003743 	280 	66 	130 	130 
003744 	280 	66 	130 	130 
003745 	280 	66 	130 	130 
003746 	280 	66 	130 	130 
003747 	280 	66 	130 	130 
003748 	294 	80 	130 	130 
003749 	294 	80 	130 	130 
003750 	309 	80 	130 	130 
003751 	309 	80 	130 	130 
003752 	309 	80 	130 	130 
003753 	323 	80 	130 	130 
003754 	323 	80 	130 	130 
003755 	323 	80 	130 	130 
003756 	323 	80 	130 	130 
003757 	337 	80 	130 	130 
003758 	337 	80 	130 	130 
003759 	337 	80 	130 	130 
003760 	337 	66 	130 	130 
003761 	337 	80 	130 	130 
003762 	337 	80 	130 	130 
003763 	352 	80 	130 	130 
003764 	352 	80 	130 	130 
003765 	352 	80 	130 	130 
003766 	352 	80 	130 	130 
003767 	352 	80 	130 	130 
003768 	352 	80 	130 	130 
003769 	352 	80 	130 	130 
003770 	337 	80 	130 	130 
003771 	337 	80 	130 	130 
003772 	337 	80 	130 	130 
003773 	337 	80 	130 	130 
003774 	323 	66 	130 	130 
003775 	323 	80 	130 	130 
003776 	323 	80 	130 	130 
003777 	323 	80 	130 	130 
003778 	309 	80 	130 	130 
003779 	309 	80 	130 	130 
003780 	309 	80 	130 	130 
003781 	309 	80 	130 	130 
003782 	309 	80 	130 	130 
003783 	294 	80 	130 	130 
003784 	294 	80 	130 	130 
003785 	294 	80 	130 	130 
003786 	294 	80 	130 	130 
003787 	280 	80 	130 	130 
003788 	280 	80 	130 	130 
003789 	266 	80 	130 	130 
003790 	266 	80 	130 	130 
003791 	266 	80 	130 	130 
003792 	266 	80 	130 	130 
003793 	251 	66 	130 	130 
003794 	251 	66 	130 	130 
003795 	251 	66 	130 	130 
003796 	257 	66 	109 	109 
003797 	257 	66 	109 	109 
003798 	257 	66 	109 	109 
003799 	257 	66 	109 	109 
003800 	237 	51 	130 	130 
003801 	237 	51 	130 	130 
003802 	237 	51 	130 	130 
003803 	237 	66 	130 	130 
003804 	237 	66 	130 	130 
003805 	237 	66 	130 	130 
003806 	237 	66 	130 	130 
003807 	237 	66 	130 	130 
003808 	237 	66 	130 	130 
003809 	237 	66 	130 	130 
003810 	237 	66 	130 	130 
003811 	237 	66 	130 	130 
003812 	237 	66 	130 	130 
003813 	237 	66 	130 	130 
003814 	237 	66 	130 	130 
003815 	237 	66 	130 	130 
003816 	237 	66 	130 	130 
003817 	237 	66 	130 	130 
003818 	257 	78 	109 	109 
003819 	257 	78 	109 	109 
003820 	251 	66 	130 	130 
003821 	251 	66 	130 	130 
003822 	251 	66 	130 	130 
003823 	237 	66 	130 	130 
003824 	237 	66 	130 	130 
003825 	237 	66 	130 	130 
003826 	237 	66 	130 	130 
003827 	257 	78 	109 	109 
003828 	251 	66 	130 	130 
003829 	269 	78 	108 	109 
003830 	266 	66 	130 	130 
003831 	266 	66 	130 	130 
003832 	266 	66 	130 	130 
003833 	280 	66 	130 	130 
003834 	280 	80 	130 	130 
003835 	280 	80 	130 	130 
003836 	280 	80 	130 	130 
003837 	294 	80 	130 	130 
003838 	294 	80 	130 	130 
003839 	294 	80 	130 	130 
003840 	309 	80 	130 	130 
003841 	309 	80 	130 	130 
003842 	309 	66 	130 	130 
003843 	323 	66 	130 	130 
003844 	323 	66 	130 	130 
003845 	323 	66 	130 	130 
003846 	323 	66 	130 	130 
003847 	323 	66 	130 	130 
003848 	337 	51 	130 	130 
003849 	337 	51 	130 	130 
003850 	337 	51 	130 	130 
003851 	337 	51 	130 	130 
003852 	337 	51 	130 	130 
003853 	352 	51 	130 	130 
003854 	365 	66 	108 	109 
003855 	352 	51 	130 	130 
003856 	352 	51 	130 	130 
003857 	352 	51 	130 	130 
003858 	352 	51 	130 	130 
003859 	352 	51 	130 	130 
003860 	376 	66 	109 	109 
003861 	376 	66 	109 	109 
003862 	366 	51 	130 	130 
003863 	366 	66 	130 	130 
003864 	366 	66 	130 	130 
003865 	366 	66 	130 	130 
003866 	366 	66 	130 	130 
003867 	366 	66 	130 	130 
003868 	352 	80 	130 	130 
003869 	337 	80 	130 	130 
003870 	337 	80 	130 	130 
003871 	323 	80 	130 	130 
003872 	323 	80 	130 	130 
003873 	309 	80 	130 	130 
003874 	294 	80 	130 	130 
