Identity  : 	id11019
Reference : 	BV5J-ildy98
Offset    : 	-2
FV Conf   : 	16.505
ASD Conf  : 	6.214

FRAME 	X 	Y 	W 	H 
007762 	197 	66 	109 	109 
007763 	197 	66 	109 	109 
007764 	197 	66 	109 	109 
007765 	194 	51 	130 	130 
007766 	194 	51 	130 	130 
007767 	209 	66 	109 	109 
007768 	209 	66 	109 	109 
007769 	209 	66 	109 	109 
007770 	208 	66 	130 	130 
007771 	221 	78 	109 	109 
007772 	221 	78 	109 	109 
007773 	221 	78 	109 	109 
007774 	221 	78 	109 	109 
007775 	223 	66 	130 	130 
007776 	233 	78 	109 	109 
007777 	233 	78 	109 	109 
007778 	233 	78 	109 	109 
007779 	233 	78 	109 	109 
007780 	233 	78 	109 	109 
007781 	233 	78 	109 	109 
007782 	233 	78 	109 	109 
007783 	233 	78 	109 	109 
007784 	237 	66 	130 	130 
007785 	245 	78 	109 	109 
007786 	245 	78 	109 	109 
007787 	245 	78 	109 	109 
007788 	245 	78 	109 	109 
007789 	245 	78 	109 	109 
007790 	245 	78 	109 	109 
007791 	245 	78 	109 	109 
007792 	245 	78 	109 	109 
007793 	245 	78 	109 	109 
007794 	245 	78 	109 	109 
007795 	245 	78 	109 	109 
007796 	245 	78 	109 	109 
007797 	233 	78 	109 	109 
007798 	233 	78 	109 	109 
007799 	233 	78 	109 	109 
007800 	233 	78 	109 	109 
007801 	233 	78 	109 	109 
007802 	233 	78 	109 	109 
007803 	223 	66 	130 	130 
007804 	223 	66 	130 	130 
007805 	223 	66 	130 	130 
007806 	223 	66 	130 	130 
007807 	208 	66 	130 	130 
007808 	208 	66 	130 	130 
007809 	208 	66 	130 	130 
007810 	208 	66 	130 	130 
007811 	208 	66 	130 	130 
007812 	223 	66 	130 	130 
007813 	223 	66 	130 	130 
007814 	223 	66 	130 	130 
007815 	223 	66 	130 	130 
007816 	223 	66 	130 	130 
007817 	233 	78 	109 	109 
007818 	233 	78 	109 	109 
007819 	233 	78 	109 	109 
007820 	233 	78 	109 	109 
007821 	233 	78 	109 	109 
007822 	223 	66 	130 	130 
007823 	233 	66 	109 	109 
007824 	223 	66 	130 	130 
007825 	223 	66 	130 	130 
007826 	233 	78 	109 	109 
007827 	233 	66 	109 	109 
007828 	233 	66 	109 	109 
007829 	223 	66 	130 	130 
007830 	223 	66 	130 	130 
007831 	245 	66 	109 	109 
007832 	245 	66 	109 	109 
007833 	245 	66 	109 	109 
007834 	245 	66 	109 	109 
007835 	245 	66 	109 	109 
007836 	245 	66 	109 	109 
007837 	245 	66 	109 	109 
007838 	245 	78 	109 	109 
007839 	233 	78 	109 	109 
007840 	233 	78 	109 	109 
007841 	233 	78 	109 	109 
007842 	233 	78 	109 	109 
007843 	233 	78 	109 	109 
007844 	233 	78 	109 	109 
007845 	223 	66 	130 	130 
007846 	223 	66 	130 	130 
007847 	223 	66 	130 	130 
007848 	208 	66 	130 	130 
007849 	208 	66 	130 	130 
007850 	208 	66 	130 	130 
007851 	208 	66 	130 	130 
007852 	208 	66 	130 	130 
007853 	194 	80 	130 	130 
007854 	194 	80 	130 	130 
007855 	194 	80 	130 	130 
007856 	194 	80 	130 	130 
007857 	194 	80 	130 	130 
007858 	197 	90 	109 	109 
007859 	197 	90 	109 	109 
007860 	197 	90 	109 	109 
007861 	197 	90 	109 	109 
007862 	180 	80 	130 	130 
007863 	180 	80 	130 	130 
007864 	180 	80 	130 	130 
007865 	180 	80 	130 	130 
007866 	180 	80 	130 	130 
007867 	185 	78 	109 	109 
007868 	185 	78 	109 	109 
007869 	185 	78 	109 	109 
007870 	185 	78 	109 	109 
007871 	185 	78 	109 	109 
